"","ID","x"
"11817",15603,56
"27429",38652,4
"6898",9917,3
"6968",9988,3
"7671",10691,3
"7672",10692,3
"7681",10701,3
"9420",12485,3
"960",1030,2
"4057",6090,2
"4143",6194,2
"4666",6809,2
"4687",6833,2
"5035",7241,2
"5067",7281,2
"5237",7489,2
"5352",7670,2
"5903",8583,2
"6152",8930,2
"6354",9258,2
"6403",9342,2
"6466",9444,2
"6469",9461,2
"6495",9509,2
"6496",9510,2
"6497",9511,2
"6498",9512,2
"6499",9513,2
"6500",9514,2
"6501",9515,2
"6502",9516,2
"6503",9517,2
"6504",9518,2
"6505",9519,2
"6506",9520,2
"6507",9521,2
"6509",9523,2
"6510",9524,2
"6512",9526,2
"6513",9527,2
"6514",9528,2
"6520",9534,2
"6521",9535,2
"6522",9536,2
"6523",9537,2
"6524",9538,2
"6525",9539,2
"6526",9540,2
"6527",9541,2
"6528",9542,2
"6529",9543,2
"6530",9544,2
"6531",9545,2
"6532",9546,2
"6535",9549,2
"6536",9550,2
"6537",9551,2
"6539",9553,2
"6540",9554,2
"6541",9555,2
"6542",9556,2
"6546",9560,2
"6547",9561,2
"6548",9562,2
"6549",9563,2
"6550",9564,2
"6551",9565,2
"6553",9567,2
"6555",9569,2
"6556",9570,2
"6557",9571,2
"6558",9572,2
"6559",9573,2
"6560",9574,2
"6564",9578,2
"6566",9580,2
"6567",9581,2
"6576",9590,2
"6579",9593,2
"6583",9597,2
"6584",9598,2
"6586",9600,2
"6590",9604,2
"6591",9605,2
"6592",9606,2
"6595",9609,2
"6596",9610,2
"6597",9611,2
"6602",9616,2
"6603",9617,2
"6604",9618,2
"6609",9624,2
"6611",9626,2
"6612",9627,2
"6614",9629,2
"6615",9630,2
"6617",9632,2
"6627",9643,2
"6629",9645,2
"6631",9647,2
"6632",9648,2
"6633",9649,2
"6634",9650,2
"6635",9651,2
"6636",9652,2
"6637",9653,2
"6642",9658,2
"6644",9660,2
"6648",9664,2
"6649",9665,2
"6650",9666,2
"6651",9667,2
"6653",9669,2
"6656",9672,2
"6657",9673,2
"6659",9675,2
"6668",9684,2
"6671",9688,2
"6681",9698,2
"6682",9699,2
"6685",9702,2
"6688",9705,2
"6697",9714,2
"6698",9715,2
"6700",9717,2
"6701",9718,2
"6702",9719,2
"6703",9720,2
"6704",9721,2
"6705",9722,2
"6706",9723,2
"6707",9724,2
"6708",9725,2
"6713",9730,2
"6715",9732,2
"6716",9733,2
"6717",9734,2
"6718",9735,2
"6719",9736,2
"6720",9737,2
"6721",9738,2
"6722",9739,2
"6723",9740,2
"6724",9741,2
"6725",9742,2
"6727",9744,2
"6728",9745,2
"6729",9746,2
"6733",9751,2
"6739",9757,2
"6745",9763,2
"6746",9764,2
"6747",9765,2
"6751",9769,2
"6755",9773,2
"6756",9774,2
"6757",9775,2
"6758",9776,2
"6759",9777,2
"6760",9778,2
"6761",9779,2
"6762",9780,2
"6763",9781,2
"6770",9788,2
"6771",9789,2
"6772",9790,2
"6773",9791,2
"6774",9792,2
"6775",9793,2
"6776",9794,2
"6780",9798,2
"6781",9799,2
"6782",9800,2
"6783",9801,2
"6784",9802,2
"6785",9803,2
"6787",9805,2
"6791",9809,2
"6792",9810,2
"6793",9811,2
"6794",9812,2
"6796",9814,2
"6797",9815,2
"6798",9816,2
"6799",9817,2
"6800",9818,2
"6805",9823,2
"6806",9824,2
"6807",9825,2
"6808",9826,2
"6809",9827,2
"6810",9828,2
"6811",9829,2
"6812",9830,2
"6813",9831,2
"6814",9832,2
"6815",9833,2
"6819",9837,2
"6820",9838,2
"6821",9839,2
"6822",9840,2
"6823",9841,2
"6824",9842,2
"6825",9843,2
"6826",9844,2
"6828",9846,2
"6829",9847,2
"6830",9848,2
"6831",9849,2
"6833",9851,2
"6835",9853,2
"6836",9854,2
"6839",9857,2
"6840",9858,2
"6841",9859,2
"6842",9860,2
"6843",9861,2
"6845",9863,2
"6846",9864,2
"6847",9865,2
"6849",9867,2
"6850",9868,2
"6851",9869,2
"6852",9870,2
"6853",9871,2
"6855",9873,2
"6856",9874,2
"6858",9876,2
"6859",9877,2
"6860",9878,2
"6861",9879,2
"6862",9880,2
"6863",9881,2
"6866",9884,2
"6871",9889,2
"6872",9890,2
"6873",9891,2
"6874",9892,2
"6875",9893,2
"6876",9894,2
"6879",9897,2
"6880",9898,2
"6881",9899,2
"6884",9902,2
"6885",9903,2
"6887",9906,2
"6888",9907,2
"6889",9908,2
"6890",9909,2
"6891",9910,2
"6892",9911,2
"6897",9916,2
"6899",9918,2
"6900",9919,2
"6902",9921,2
"6903",9922,2
"6904",9923,2
"6905",9924,2
"6906",9925,2
"6907",9926,2
"6908",9927,2
"6909",9928,2
"6910",9929,2
"6911",9930,2
"6912",9931,2
"6913",9932,2
"6914",9933,2
"6915",9934,2
"6916",9935,2
"6917",9936,2
"6918",9937,2
"6919",9938,2
"6920",9939,2
"6921",9940,2
"6922",9941,2
"6923",9942,2
"6924",9943,2
"6925",9944,2
"6926",9945,2
"6927",9946,2
"6928",9947,2
"6929",9948,2
"6930",9949,2
"6931",9950,2
"6932",9951,2
"6933",9952,2
"6934",9953,2
"6935",9954,2
"6936",9955,2
"6937",9956,2
"6938",9957,2
"6939",9958,2
"6941",9960,2
"6942",9961,2
"6944",9963,2
"6946",9965,2
"6947",9966,2
"6949",9968,2
"6950",9969,2
"6951",9970,2
"6952",9971,2
"6954",9973,2
"6955",9974,2
"6957",9976,2
"6960",9979,2
"6961",9980,2
"6962",9981,2
"6964",9984,2
"6965",9985,2
"6966",9986,2
"6969",9989,2
"6979",9999,2
"6981",10001,2
"6985",10005,2
"6989",10009,2
"6995",10015,2
"7005",10025,2
"7006",10026,2
"7007",10027,2
"7008",10028,2
"7009",10029,2
"7010",10030,2
"7012",10032,2
"7014",10034,2
"7015",10035,2
"7016",10036,2
"7020",10040,2
"7021",10041,2
"7022",10042,2
"7024",10044,2
"7025",10045,2
"7026",10046,2
"7027",10047,2
"7029",10049,2
"7030",10050,2
"7031",10051,2
"7032",10052,2
"7033",10053,2
"7034",10054,2
"7036",10056,2
"7037",10057,2
"7038",10058,2
"7039",10059,2
"7040",10060,2
"7052",10072,2
"7053",10073,2
"7054",10074,2
"7056",10076,2
"7058",10078,2
"7060",10080,2
"7061",10081,2
"7062",10082,2
"7063",10083,2
"7064",10084,2
"7065",10085,2
"7067",10087,2
"7068",10088,2
"7069",10089,2
"7070",10090,2
"7071",10091,2
"7072",10092,2
"7073",10093,2
"7074",10094,2
"7075",10095,2
"7076",10096,2
"7077",10097,2
"7078",10098,2
"7080",10100,2
"7081",10101,2
"7082",10102,2
"7083",10103,2
"7084",10104,2
"7085",10105,2
"7086",10106,2
"7087",10107,2
"7088",10108,2
"7089",10109,2
"7090",10110,2
"7091",10111,2
"7092",10112,2
"7093",10113,2
"7094",10114,2
"7095",10115,2
"7096",10116,2
"7097",10117,2
"7098",10118,2
"7099",10119,2
"7100",10120,2
"7101",10121,2
"7102",10122,2
"7103",10123,2
"7104",10124,2
"7105",10125,2
"7107",10127,2
"7108",10128,2
"7109",10129,2
"7110",10130,2
"7111",10131,2
"7112",10132,2
"7113",10133,2
"7114",10134,2
"7116",10136,2
"7118",10138,2
"7120",10140,2
"7121",10141,2
"7122",10142,2
"7123",10143,2
"7127",10147,2
"7128",10148,2
"7129",10149,2
"7130",10150,2
"7131",10151,2
"7132",10152,2
"7133",10153,2
"7134",10154,2
"7135",10155,2
"7136",10156,2
"7137",10157,2
"7138",10158,2
"7139",10159,2
"7140",10160,2
"7141",10161,2
"7142",10162,2
"7143",10163,2
"7144",10164,2
"7145",10165,2
"7146",10166,2
"7147",10167,2
"7149",10169,2
"7151",10171,2
"7156",10176,2
"7157",10177,2
"7158",10178,2
"7159",10179,2
"7160",10180,2
"7161",10181,2
"7162",10182,2
"7163",10183,2
"7164",10184,2
"7165",10185,2
"7166",10186,2
"7167",10187,2
"7168",10188,2
"7169",10189,2
"7172",10192,2
"7173",10193,2
"7174",10194,2
"7177",10197,2
"7178",10198,2
"7179",10199,2
"7181",10201,2
"7182",10202,2
"7183",10203,2
"7184",10204,2
"7185",10205,2
"7186",10206,2
"7188",10208,2
"7190",10210,2
"7195",10215,2
"7196",10216,2
"7199",10219,2
"7200",10220,2
"7201",10221,2
"7202",10222,2
"7204",10224,2
"7205",10225,2
"7206",10226,2
"7207",10227,2
"7208",10228,2
"7209",10229,2
"7210",10230,2
"7211",10231,2
"7212",10232,2
"7213",10233,2
"7214",10234,2
"7215",10235,2
"7216",10236,2
"7217",10237,2
"7218",10238,2
"7219",10239,2
"7221",10241,2
"7222",10242,2
"7223",10243,2
"7225",10245,2
"7229",10249,2
"7230",10250,2
"7231",10251,2
"7232",10252,2
"7233",10253,2
"7234",10254,2
"7235",10255,2
"7236",10256,2
"7237",10257,2
"7238",10258,2
"7242",10262,2
"7243",10263,2
"7245",10265,2
"7247",10267,2
"7252",10272,2
"7253",10273,2
"7256",10276,2
"7257",10277,2
"7258",10278,2
"7259",10279,2
"7260",10280,2
"7261",10281,2
"7262",10282,2
"7263",10283,2
"7266",10286,2
"7267",10287,2
"7268",10288,2
"7269",10289,2
"7270",10290,2
"7271",10291,2
"7272",10292,2
"7273",10293,2
"7274",10294,2
"7275",10295,2
"7276",10296,2
"7277",10297,2
"7278",10298,2
"7279",10299,2
"7280",10300,2
"7281",10301,2
"7282",10302,2
"7283",10303,2
"7284",10304,2
"7285",10305,2
"7286",10306,2
"7288",10308,2
"7289",10309,2
"7290",10310,2
"7291",10311,2
"7292",10312,2
"7293",10313,2
"7294",10314,2
"7295",10315,2
"7296",10316,2
"7297",10317,2
"7302",10322,2
"7303",10323,2
"7304",10324,2
"7306",10326,2
"7307",10327,2
"7308",10328,2
"7310",10330,2
"7312",10332,2
"7314",10334,2
"7315",10335,2
"7317",10337,2
"7318",10338,2
"7319",10339,2
"7320",10340,2
"7321",10341,2
"7322",10342,2
"7323",10343,2
"7324",10344,2
"7326",10346,2
"7328",10348,2
"7329",10349,2
"7331",10351,2
"7332",10352,2
"7333",10353,2
"7335",10355,2
"7339",10359,2
"7340",10360,2
"7341",10361,2
"7342",10362,2
"7343",10363,2
"7344",10364,2
"7345",10365,2
"7346",10366,2
"7347",10367,2
"7348",10368,2
"7349",10369,2
"7350",10370,2
"7351",10371,2
