OBJECTID,OPL_G,DISTRICT_ID,POPUL,STUDENTS,ID_1,ADDRESS_1,DISTRICT_1,NEAR_FID_1,NEAR_X_1,NEAR_Y_1,NEAR_DIST_1,WALKING_NEAR_DURATION,WALKING_NEAR_DISTANCE,POINT_X,POINT_Y
34797,65,102,3.593714,0.265575,5080,"Москва, Акулово п, д.4",Восточный,944,2715815.963107,6537033.98479,630.550696,497,695,37.795958,56.008634
34798,100,102,5.528791,0.408578,5081,"Москва, Акулово п, д.6",Восточный,944,2715815.963107,6537033.98479,589.667216,432,606,37.79575,56.008318
34799,598,102,33.062171,2.443294,,"Москва, Акулово п, д.7",Восточный,944,2715815.963107,6537033.98479,,,,37.797262,56.007652
34800,978,102,54.071578,3.99589,,"Москва, Акулово п, д.9",Восточный,944,2715815.963107,6537033.98479,,,,37.796994,56.007213
34801,635,102,35.107824,2.594468,,"Москва, Акулово п, д.10",Восточный,944,2715815.963107,6537033.98479,,,,37.796594,56.007797
34802,633,102,34.997248,2.586297,,"Москва, Акулово п, д.11",Восточный,944,2715815.963107,6537033.98479,,,,37.796689,56.006808
34803,2489,102,137.611613,10.169498,,"Москва, Акулово п, д.13",Восточный,944,2715815.963107,6537033.98479,,,,37.797756,56.006596
34805,1047,102,57.886444,4.277808,,"Москва, Акулово п, д.14",Восточный,944,2715815.963107,6537033.98479,,,,37.795612,56.006477
34806,2490,102,137.666901,10.173584,,"Москва, Акулово п, д.15",Восточный,944,2715815.963107,6537033.98479,,,,37.798521,56.006389
34807,523,102,28.915578,2.136861,,"Москва, Акулово п, д.16",Восточный,944,2715815.963107,6537033.98479,,,,37.795255,56.006016
34808,4205,102,232.48567,17.180691,,"Москва, Акулово п, д.22",Восточный,944,2715815.963107,6537033.98479,,,,37.794923,56.007115
34810,7070,102,390.885538,28.886441,,"Москва, Акулово п, д.24",Восточный,944,2715815.963107,6537033.98479,,,,37.792617,56.006412
