"ID","NAME","NUMB","WEBSITE","TYPE","OKRUG","FOUNDATION","SCHOOLS_COUNT","STEP1","STEP2","STEP3","STUDENTS","STUDENTS_PER_SCHOOL","ASSIGNMENT_AREA_STUDENTS","ASSIGNMENT_AREA_STUDENTS_INTENDED"
8,"Государственное бюджетное образовательное учреждение города Москвы центр образования №57 «Пятьдесят седьмая школа»",57,"http://coc57.mskobr.ru/","центр образования","Центральный административный округ","присоединение",2,492,666,236,1394,697,302.789229,98.3441366667
17,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2054",2054,"http://sch2054.mskobr.ru/","школа","Центральный административный округ","слияние",6,758,1155,571,2484,414,20720.4367,2780.1300834857
18,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №627",627,"http://sch627.mskobr.ru/","школа","Центральный административный округ","присоединение",6,943,1089,371,2403,400.5,10210.45349,2945.6613762
19,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1429 имени Героя Советского Союза Н.А. Боброва",1429,"http://sch1429c.mskobr.ru/","школа","Центральный административный округ","слияние",1,178,235,41,454,454,12849.963473,727.4517872922
20,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1231 имени В.Д. Поленова",1231,"http://sch1231.mskobr.ru/","школа","Центральный административный округ","присоединение",6,950,1049,285,2284,380.6666666667,35640.070404,2964.4714499231
22,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1297 ",1297,"http://schuc1297.mskobr.ru/","школа","Центральный административный округ","присоединение",3,508,494,96,1098,366,21916.673901,2075.522799225
23,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1259",1259,"http://sch1259.mskobr.ru/","школа","Центральный административный округ","слияние",2,458,450,149,1057,528.5,2892.114992,664.92648345
24,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2104 «Школа на Таганке»",2104,"http://sch2104c.mskobr.ru/","школа","Центральный административный округ","слияние",2,415,521,299,1235,617.5,9797.296778,2202.4271183333
25,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1529 имени А.С. Грибоедова",1529,"http://gym1529c.mskobr.ru/","гимназия","Центральный административный округ","присоединение",2,421,525,292,1238,619,14198.470224,1181.3610463077
26,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1253",1253,"http://sch1253c.mskobr.ru/","школа","Центральный административный округ","присоединение",2,520,681,297,1498,749,14198.470224,1181.3610463077
