"OBJECTID_1";"ID";"NAME";"NUMB";"WEBSITE";"TYPE";"OKRUG";"FOUNDATION";"SCHOOLS_COUNT";"STEP1";"STEP2";"STEP3"
1;8,000000;"Государственное бюджетное образовательное учреждение города Москвы центр образования №57 «Пятьдесят седьмая школа»";57,000000;"http://coc57.mskobr.ru/";"центр образования";"ЦАО";"присоединение";3,000000;492,000000;666,000000;236,000000
2;17,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2054";2054,000000;"http://sch2054.mskobr.ru/";"школа";"ЦАО";"слияние";9,000000;758,000000;1155,000000;571,000000
3;18,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №627";627,000000;"http://sch627.mskobr.ru/";"школа";"ЦАО";"присоединение";6,000000;943,000000;1089,000000;371,000000
4;19,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1429 имени Героя Советского Союза Н.А. Боброва";1429,000000;"http://sch1429c.mskobr.ru/";"школа";"ЦАО";"слияние";1,000000;178,000000;235,000000;41,000000
5;20,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1231 имени В.Д. Поленова";1231,000000;"http://sch1231.mskobr.ru/";"школа";"ЦАО";"присоединение";6,000000;950,000000;1049,000000;285,000000
6;22,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1297 ";1297,000000;"http://schuc1297.mskobr.ru/";"школа";"ЦАО";"присоединение";3,000000;508,000000;494,000000;96,000000
7;23,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1259";1259,000000;"http://sch1259.mskobr.ru/";"школа";"ЦАО";"слияние";2,000000;458,000000;450,000000;149,000000
8;24,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2104 «Школа на Таганке»";2104,000000;"http://sch2104c.mskobr.ru/";"школа";"ЦАО";"слияние";2,000000;415,000000;521,000000;299,000000
9;25,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1529 имени А.С. Грибоедова";1529,000000;"http://gym1529c.mskobr.ru/";"гимназия";"ЦАО";"присоединение";2,000000;421,000000;525,000000;292,000000
10;26,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1253";1253,000000;"http://sch1253c.mskobr.ru/";"школа";"ЦАО";"присоединение";2,000000;520,000000;681,000000;297,000000
11;27,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2055";2055,000000;"http://sch2055c.mskobr.ru/";"школа";"ЦАО";"присоединение";2,000000;327,000000;381,000000;98,000000
12;28,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1950";1950,000000;"http://sch1950.mskobr.ru/";"школа";"ЦАО";"слияние";2,000000;282,000000;428,000000;230,000000
13;30,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1270";1270,000000;"http://sch1270c.mskobr.ru/";"школа";"ЦАО";"присоединение";1,000000;466,000000;293,000000;121,000000
14;31,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2105";2105,000000;"http://sch2105c.mskobr.ru/";"школа";"ЦАО";"слияние";4,000000;674,000000;726,000000;164,000000
15;32,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №354 имени Д.М. Карбышева ";354,000000;"http://sch354c.mskobr.ru/";"школа";"ЦАО";"присоединение";4,000000;579,000000;669,000000;210,000000
16;33,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №498";498,000000;"http://sch498.mskobr.ru/";"школа";"ЦАО";"присоединение";4,000000;835,000000;946,000000;240,000000
17;34,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №171";171,000000;"http://sch171c.mskobr.ru/";"школа";"ЦАО";"присоединение";4,000000;667,000000;794,000000;421,000000
18;35,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2107 ";2107,000000;"http://sch2107.mskobr.ru/";"школа";"ЦАО";"слияние";5,000000;749,000000;929,000000;310,000000
19;37,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1540";1540,000000;"http://gymc1540.mskobr.ru/";"гимназия";"ЦАО";"присоединение ";2,000000;160,000000;444,000000;173,000000
20;39,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1234";1234,000000;"http://sch1234c.mskobr.ru/";"школа";"ЦАО";"слияние";5,000000;786,000000;864,000000;275,000000
21;40,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1621 «Школа лидерства Лаудер Эц Хайм»";1621,000000;"http://sch1621.mskobr.ru/";"школа";"ЦАО";"слияние";1,000000;113,000000;138,000000;31,000000
