ID,NAME,OKRUG,STUDENTS,SCHOOLS
37,Куркино,СЗАО,5305,4
43,Южное Тушино,СЗАО,7425,6
122,Вешняки,ВАО,14700,14
126,Орехово-Борисово Южное,ЮАО,9304,10
46,Хорошево-Мневники,СЗАО,10046,11
117,Богородское,ВАО,11821,13
67,Северный,СВАО,2690,3
121,Орехово-Борисово Северное,ЮАО,8944,10
77,Чертаново Северное,ЮАО,6831,8
101,Бирюлево Западное,ЮАО,4920,6
36,Митино,СЗАО,14388,18
44,Северное Тушино,СЗАО,8636,11
34,Строгино,СЗАО,12511,16
10,Матушкино,ЗелАО,5332,7
141,Капотня,ЮВАО,2240,3
84,Чертаново Южное,ЮАО,11123,15
25,Ховрино,САО,6626,9
76,Савеловский,САО,3670,5
107,Москворечье-Сабурово,ЮАО,5136,7
32,Можайский,ЗАО,10149,14
134,Братеево,ЮАО,6450,9
81,Чертаново Центральное,ЮАО,5734,8
62,Хорошевский,САО,6400,9
72,Северное Бутово,ЮЗАО,6395,9
75,Восточное Дегунино,САО,6300,9
2,Филевский Парк,ЗАО,5605,8
91,Царицыно,ЮАО,5580,8
142,Выхино-Жулебино,ЮВАО,15273,22
29,Ломоносовский,ЮЗАО,7455,11
110,Красносельский,ЦАО,4050,6
145,Косино-Ухтомский,ВАО,7231,11
130,Соколиная Гора,ВАО,5245,8
66,Пресненский,ЦАО,9769,15
94,Бибирево,СВАО,12245,19
136,Рязанский,ЮВАО,5780,9
127,Марьино,ЮВАО,20452,32
45,Покровское-Стрешнево,СЗАО,3198,5
20,Старое Крюково,ЗелАО,5070,8
61,Коньково,ЮЗАО,9470,15
135,Зябликово,ЮАО,10719,17
119,Измайлово,ВАО,8050,13
69,Бескудниковский,САО,6110,10
22,Теплый Стан,ЮЗАО,6700,11
68,Хамовники,ЦАО,8525,14
105,Северное Медведково,СВАО,7280,12
33,Ново-Переделкино,ЗАО,8483,14
96,Сокольники,ВАО,5387,9
116,Бабушкинский,СВАО,5348,9
108,Басманный,ЦАО,10700,18
133,Новогиреево,ВАО,6532,11
124,Лосиноостровский,СВАО,8228,14
144,Ивановское,ВАО,8200,14
128,Перово,ВАО,8776,15
54,Западное Дегунино,САО,5251,9
80,Алтуфьевский,СВАО,3496,6
120,Лефортово,ЮВАО,9321,16
42,Головинский,САО,6324,11
60,Дмитровский,САО,5142,9
102,Восточный,ВАО,1695,3
103,Южное Медведково,СВАО,5647,10
85,Бутырский,СВАО,3368,6
86,Марфино,СВАО,2230,4
114,Ярославский,СВАО,5559,10
115,Бирюлево Восточное,ЮАО,8771,16
78,Академический,ЮЗАО,7109,13
138,Кузьминки,ЮВАО,9809,18
99,Нагатинский Затон,ЮАО,6484,12
39,Солнцево,ЗАО,8100,15
49,Левобережный,САО,2155,4
73,Лианозово,СВАО,6993,13
48,Тропарево-Никулино,ЗАО,9075,17
100,Мещанский,ЦАО,4176,8
123,Печатники,ЮВАО,5220,10
57,Обручевский,ЮЗАО,5722,11
82,Отрадное,СВАО,12348,24
88,Тверской,ЦАО,9700,19
17,Войковский,САО,6585,13
92,Останкинский,СВАО,4470,9
51,Раменки,ЗАО,6950,14
59,Ясенево,ЮЗАО,12904,26
70,Гагаринский,ЮЗАО,6415,13
58,Сокол,САО,4430,9
63,Коптево,САО,6830,14
50,Фили-Давыдково,ЗАО,6231,13
30,Кунцево,ЗАО,9480,20
71,Тимирязевский,САО,6147,13
95,Марьина Роща,СВАО,2816,6
93,Донской,ЮАО,2327,5
83,Арбат,ЦАО,2789,6
131,Люблино,ЮВАО,10679,23
132,Текстильщики,ЮВАО,13010,28
19,Дорогомилово,ЗАО,4638,10
109,Южнопортовый,ЮВАО,4986,11
65,Аэропорт,САО,3619,8
47,Очаково-Матвеевское,ЗАО,5341,12
97,Нагорный,ЮАО,6200,14
137,Новокосино,ВАО,13083,30
55,Проспект Вернадского,ЗАО,3915,9
146,Некрасовка,ЮВАО,2580,6
113,Алексеевский,СВАО,5122,12
143,Восточное Измайлово,ВАО,5522,13
14,Силино,ЗелАО,3352,8
112,Таганский,ЦАО,9625,23
87,Свиблово,СВАО,2922,7
140,Северное Измайлово,ВАО,6645,16
31,Черемушки,ЮЗАО,7880,19
106,Нагатино-Садовники,ЮАО,4086,10
16,Крюково,ЗелАО,13816,34
56,Южное Бутово,ЮЗАО,34169,84
129,Преображенское,ВАО,3625,9
79,Зюзино,ЮЗАО,6383,16
5,Щукино,СЗАО,6050,16
90,Котловка,ЮЗАО,3022,8
38,Крылатское,ЗАО,9701,26
12,Савелки,ЗелАО,3360,9
89,Якиманка,ЦАО,3624,11
111,Ростокино,СВАО,1965,6
98,Даниловский,ЮАО,5153,17
74,Беговой,САО,2086,7
104,Замоскворечье,ЦАО,6157,21
139,Гольяново,ВАО,15247,54
125,Нижегородский,ЮВАО,2137,8
118,Метрогородок,ВАО,3271,14
35,Молжаниновский,САО,130,1
