"ID","NAME","NUMB","WEBSITE","TYPE","OKRUG","FOUNDATION","SCHOOLS_COUNT","STEP1_2014","STEP1_2015","STEP2_2014","STEP2_2015","STEP3_2014","STEP3_2015","STUDENTS_2014","STUDENTS_2015","STUDENTS_PER_SCHOOL_2014","STUDENTS_PER_SCHOOL_2015","CATCHEMENT_AREA_STUDENTS"
8,"Государственное бюджетное образовательное учреждение города Москвы центр образования №57 «Пятьдесят седьмая школа»",57,"http://coc57.mskobr.ru/","центр образования","Центральный административный округ","присоединение",2,492,545,666,686,236,236,1394,1467,697,733.5,0
17,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2054",2054,"http://sch2054.mskobr.ru/","школа","Центральный административный округ","слияние",6,758,742,1155,1137,571,574,2484,2453,414,408.833333333333,17580.961636
18,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №627",627,"http://sch627.mskobr.ru/","школа","Центральный административный округ","присоединение",6,943,971,1089,1054,371,372,2403,2397,400.5,399.5,9929.817688
19,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1429 имени Героя Советского Союза Н.А. Боброва",1429,"http://sch1429c.mskobr.ru/","школа","Центральный административный округ","слияние",1,178,157,235,255,41,34,454,446,454,446,5095.617472
20,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1231 имени В.Д. Поленова",1231,"http://sch1231.mskobr.ru/","школа","Центральный административный округ","присоединение",6,950,970,1049,1105,285,281,2284,2356,380.6666666667,392.666666666667,9144.85615
22,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1297 ",1297,"http://schuc1297.mskobr.ru/","школа","Центральный административный округ","присоединение",3,508,461,494,502,96,127,1098,1090,366,363.333333333333,11177.605601
23,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1259",1259,"http://sch1259.mskobr.ru/","школа","Центральный административный округ","слияние",2,458,446,450,484,149,160,1057,1090,528.5,545,2339.059844
24,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2104 «Школа на Таганке»",2104,"http://sch2104c.mskobr.ru/","школа","Центральный административный округ","слияние",2,415,459,521,511,299,307,1235,1277,617.5,638.5,874.658677
25,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1529 имени А.С. Грибоедова",1529,"http://gym1529c.mskobr.ru/","гимназия","Центральный административный округ","присоединение",2,421,446,525,517,292,298,1238,1261,619,630.5,3632.17585
26,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1253",1253,"http://sch1253c.mskobr.ru/","школа","Центральный административный округ","присоединение",2,520,554,681,773,297,321,1498,1648,749,824,5784.7935
27,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2055",2055,"http://sch2055c.mskobr.ru/","школа","Центральный административный округ","присоединение",2,327,308,381,406,98,89,806,803,403,401.5,3437.514746
28,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1950",1950,"http://sch1950.mskobr.ru/","школа","Центральный административный округ","слияние",2,282,275,428,455,230,236,940,966,470,483,2974.439588
30,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1270",1270,"http://sch1270c.mskobr.ru/","школа","Центральный административный округ","присоединение",1,466,533,293,305,121,122,880,960,880,960,1387.266499
31,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2105",2105,"http://sch2105c.mskobr.ru/","школа","Центральный административный округ","слияние",4,674,705,726,711,164,198,1564,1614,391,403.5,15917.295387
32,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №354 имени Д.М. Карбышева ",354,"http://sch354c.mskobr.ru/","школа","Центральный административный округ","присоединение",2,579,609,669,697,210,204,1458,1510,729,755,2543.067707
33,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №498",498,"http://sch498.mskobr.ru/","школа","Центральный административный округ","присоединение",4,835,825,946,948,240,209,2021,1982,505.25,495.5,4975.598546
34,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №171",171,"http://sch171c.mskobr.ru/","школа","Центральный административный округ","присоединение",3,667,726,794,880,421,418,1882,2024,627.3333333333,674.666666666667,7559.667777
35,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2107 ",2107,"http://sch2107.mskobr.ru/","школа","Центральный административный округ","слияние",4,749,777,929,966,310,306,1988,2049,497,512.25,36342.093726
37,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1540",1540,"http://gymc1540.mskobr.ru/","гимназия","Центральный административный округ","присоединение ",2,160,219,444,419,173,142,777,780,388.5,390,4068.785466
39,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1234",1234,"http://sch1234c.mskobr.ru/","школа","Центральный административный округ","слияние",4,786,827,864,875,275,274,1925,1976,481.25,494,4552.312318
40,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1621 «Школа лидерства Лаудер Эц Хайм»",1621,"http://sch1621.mskobr.ru/","школа","Центральный административный округ","слияние",1,113,114,138,146,31,35,282,295,282,295,2257.385853
41,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2095 «Покровский квартал»",2095,"http://sch2095c.mskobr.ru/","школа","Центральный административный округ","слияние",7,871,829,1086,1062,483,582,2440,2473,348.5714285714,353.285714285714,46316.563169
42,"Государственное бюджетное образовательное учреждение города Москвы лицей №1799 «Многопрофильный лицей»",1799,"http://lic1799.mskobr.ru/","лицей","Центральный административный округ","слияние",5,568,611,924,1047,669,617,2161,2275,432.2,455,8251.432787
44,"Государственное бюджетное образовательное учреждение города Москвы лицей №1500 «Пушкинский»",1500,"http://lycc1500.mskobr.ru/","лицей","Центральный административный округ","присоединение",4,481,496,622,601,276,259,1379,1356,344.75,339,15318.954404
45,"Государственное бюджетное образовательное учреждение города Москвы лицей №1574",1574,"http://lyc1574.mskobr.ru/","лицей","Центральный административный округ","присоединение",4,585,577,1005,1095,487,392,2077,2064,519.25,516,17432.211978
46,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №480 имени В.В. Талалихина ",480,"http://sch480c.mskobr.ru/","школа","Центральный административный округ","присоединение",2,428,430,512,519,96,114,1036,1063,518,531.5,1916.85517
47,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1240 «Мультипрофильный образовательный комплекс «Пресненский»",1240,"http://sch1240.mskobr.ru/","школа","Центральный административный округ","слияние",3,499,527,600,588,204,207,1303,1322,434.3333333333,440.666666666667,7086.669692
48,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №345 имени А.С. Пушкина",345,"http://sch345.mskobr.ru/","школа","Центральный административный округ","слияние",2,369,331,446,484,136,125,951,940,475.5,470,6395.671605
49,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1241",1241,"http://sch1241.mskobr.ru/","школа","Центральный административный округ","присоединение",2,564,583,477,460,86,115,1127,1158,563.5,579,2239.815434
50,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2030 ",2030,"http://coc2030.mskobr.ru/","школа","Центральный административный округ","присоединение",1,481,507,553,541,170,209,1204,1257,1204,1257,2724.853937
51,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением английского языка №1285",1285,"http://sch1285sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",3,660,651,798,811,191,211,1649,1673,549.6666666667,557.666666666667,12958.436629
55,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1517",1517,"http://gym1517sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",6,1434,1574,1686,1829,435,467,3555,3870,592.5,645,26886.461984
57,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1155",1155,"http://sch1155sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,352,381,294,341,46,49,692,771,692,771,8100.906461
60,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1399 ",1399,"http://schu1399.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,285,312,331,336,106,110,722,758,722,758,3631.982483
61,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1874",1874,"http://sch1874sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",1,639,569,659,690,182,183,1480,1442,1480,1442,8149.055221
62,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1538",1538,"http://gym1538sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",4,1064,1175,1230,1332,319,299,2613,2806,653.25,701.5,4482.871609
63,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №830",830,"http://sch830sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",2,578,621,573,635,112,110,1263,1366,631.5,683,9082.417935
77,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №827",827,"http://sch827sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,725,751,714,771,123,155,1562,1677,781,838.5,1534.024626
78,"Государственное бюджетное образовательное учреждение города Москвы лицей №1560",1560,"http://lyc1560.mskobr.ru/","лицей","Северо-Западный административный округ","присоединение",6,0,1450,0,1247,123,298,123,2995,20.5,499.166666666667,10792.194876
79,"Государственное бюджетное образовательное учреждение города Москвы гимназия №1551",1551,"http://gym1551sz.mskobr.ru/","гимназия","Северо-Западный административный округ","присоединение",4,714,687,888,901,171,189,1773,1777,443.25,444.25,5506.584027
90,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2005 ",2005,"http://sch2005sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",1,895,945,841,899,227,209,1963,2053,1963,2053,614.725603
92,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1900",1900,"http://sch1900sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,711,752,674,731,160,161,1545,1644,772.5,822,2387.847138
93,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1985",1985,"http://sch1985.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,486,480,561,588,123,139,1170,1207,1170,1207,4871.788575
95,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №86 имени М.Е. Катукова",86,"http://sch86sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,358,375,493,522,83,98,934,995,467,497.5,277.462416
97,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1298",1298,"http://sch1298sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,625,625,499,531,116,126,1240,1282,1240,1282,6573.838005
99,"Государственное бюджетное образовательное учреждение города Москвы лицей №1564 имени Героя Советского Союза А.П. Белобородова",1564,"http://lyc1564.mskobr.ru/","лицей","Северо-Западный административный округ","слияние",3,494,542,1013,1027,254,232,1761,1801,587,600.333333333333,2818.069887
102,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1005 «Алые паруса»",1005,"http://sch1005sz.mskobr.ru/","школа","Северо-Западный административный округ","слияние",1,350,461,218,254,40,47,608,762,608,762,1883.908874
103,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1212",1212,"http://sch1212sz.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",2,337,377,295,306,76,78,708,761,354,380.5,393.54126
105,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1387 ",1387,"http://sch1387.mskobr.ru/","школа","Северо-Западный административный округ","присоединение",1,765,837,623,734,85,118,1473,1689,1473,1689,1949.10248
