"ID","NAME","OKRUG","OPL_G","OPL_G_BTI","POPUL","STUDENTS","STUDENTS_BTI","SCHOOLS","MEAN_STUDENTS_PER_SCHOOL","ACCESSIBLE_AREA_BY_RADIUS","NON_ACCESSIBLE_AREA_BY_RADIUS"
2,"Филевский Парк","ЗАО",1280390,1493587,90243,5986,6982.861049,8,700.625,6425.260531,557.600518
5,"Щукино","СЗАО",2157300,2091553,107269,9872,9570.67757,16,378.125,8624.245513,946.432057
10,"Матушкино","ЗелАО",916100,790587,38567,3890,3356.909371,7,761.714285714286,2984.17845,372.730921
12,"Савелки","ЗелАО",729900,706695,32401,2948,2854.179664,9,373.333333333333,2469.567458,384.612206
14,"Силино","ЗелАО",765100,761501,38354,3118,3102.996031,8,419,3101.736907,1.259124
16,"Крюково","ЗелАО",1834000,1693651,88213,8348,7709.449886,34,406.352941176471,7600.653356,108.79653
17,"Войковский","САО",1321080,1459980,67051,5403,5970.774955,13,506.538461538462,5970.774955,0
19,"Дорогомилово","ЗАО",1906200,1456290,69714,4150,3170.756039,10,463.8,2919.49318,251.262859
20,"Старое Крюково","ЗелАО",557770,566870,28942,2855,2901.190002,8,633.75,2845.885862,55.30414
22,"Теплый Стан","ЮЗАО",2406400,2382132,132379,10981,10869.773112,11,609.090909090909,10869.773112,0
25,"Ховрино","САО",2540200,1941966,83017,7635,5837.279886,9,736.222222222222,5369.507794,467.772092
29,"Ломоносовский","ЮЗАО",2897500,1949980,85924,6920,4657.060767,11,677.727272727273,4657.060767,0
30,"Кунцево","ЗАО",3030700,2865988,145809,12591,11907.045056,20,474,10233.205037,1673.840019
31,"Черемушки","ЮЗАО",1702560,2157778,104672,8415,10665.088018,19,414.736842105263,10634.903406,30.184612
32,"Можайский","ЗАО",2708610,2517589,134765,14373,13358.970392,14,724.928571428571,12878.839175,480.131217
33,"Ново-Переделкино","ЗАО",1926000,1892517,115836,7172,7046.897287,14,605.928571428571,6850.137106,196.760181
34,"Строгино","СЗАО",2727200,2488735,156917,13245,12086.539864,16,781.9375,11910.171367,176.368497
35,"Молжаниновский","САО",69900,38966,3607,333,185.817811,1,130,28.264191,157.55362
36,"Митино","СЗАО",3476800,3427497,180354,19686,19406.652409,18,799.333333333333,19094.667936,311.984473
37,"Куркино","СЗАО",1227760,978944,26824,4319,3443.897336,4,1326.25,2394.518056,1049.37928
38,"Крылатское","ЗАО",1850630,1739896,80131,6093,5728.243185,26,373.115384615385,5142.883838,585.359347
39,"Солнцево","ЗАО",1616770,1961665,117049,9642,11699.033681,15,540,10896.761719,802.271962
42,"Головинский","САО",1806400,1802290,102079,7107,7090.684194,11,574.909090909091,6283.192298,807.491896
43,"Южное Тушино","СЗАО",1739600,1743390,105713,8756,8775.332178,6,1237.5,7561.053607,1214.278571
