"ID","NAME","NUMB","TYPE","CLOSED","ADDRESS","OKRUG","RAYON","COMPLEX_ID","RATING","STUDENTS_2014","STUDENTS_2015","STUDENTS_2016","STUDENTS_PROJECT_CATCHMENT","STUDENTS_PROJECT_COMPLEX","STUDENTS_PROJECT_SNIP","DIST_TO_CENTER"
10001,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №459",459,"школа",FALSE,"","ЮВАО","Нижегородский",499,,348,348,0,0,458,554,5680.72547379908
10002,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1718",1718,"прогимназия",FALSE,"","ВАО","Северное Измайлово",685,,487,503,514,0,292,664,12138.853606259
10003,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1770 «Московский Кадетский Музыкальный Корпус»",1770,"школа",FALSE,"","ЮАО","Нагатинский Затон",851,,612,657,691,0,1073,1576,8678.21498031288
10005,"Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1704",1704,"начальная школа",FALSE,"","ЗелАО","Савёлки",801,,520,552,544,0,324,365,36747.1309625564
10006,"Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа №1771",1771,"начальная школа",FALSE,"","ЮАО","Орехово-Борисово Южное",361,,470,495,517,0,435,387,17753.827550907
10007,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1620",1620,"начальная школа",FALSE,"","ЮЗАО","Ломоносовский",587,,404,430,459,0,298,318,9843.30518692973
10008,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1632",1632,"начальная школа",FALSE,"","ЮАО","Зябликово",852,,495,568,602,0,811,377,17037.4473586183
10009,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1649",1649,"начальная школа",FALSE,"","ЮЗАО","Черёмушки",591,,212,238,260,2014,1007,889,9616.52366565851
10010,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1658",1658,"начальная школа",FALSE,"","ЗАО","Кунцево",704,,369,405,421,0,338,464,11821.9687212503
10011,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1856",1856,"начальная школа",FALSE,"","СВАО","Северное Медведково",262,,429,427,426,0,993,776,15402.9903762665
10012,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1616",1616,"начальная школа",FALSE,"","ЮЗАО","Тёплый Стан",523,,503,534,556,0,595,505,16921.3015113778
10013,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1645",1645,"начальная школа",FALSE,"","ЮВАО","Кузьминки",415,,568,405,427,0,357,268,10623.9675552573
10014,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1676",1676,"начальная школа",FALSE,"","ЮЗАО","Зюзино",585,,350,350,352,0,402,345,10752.3932395816
10015,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1850",1850,"начальная школа",FALSE,"","ЮЗАО","Тёплый Стан",528,,293,318,328,0,427,375,16007.44785592
10016,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1755",1755,"прогимназия",FALSE,"","ЦАО","Арбат",39,,481,494,503,0,530,202,2462.39801267387
10017,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1776",1776,"прогимназия",FALSE,"","САО","Ховрино",135,,619,669,716,0,582,322,13476.5984799374
10018,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1938",1938,"прогимназия",FALSE,"","СЗАО","Митино",107,,549,581,608,0,600,346,18772.8112034002
10019,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1858",1858,"школа",FALSE,"","ЮВАО","Капотня",845,192,1208,1264,1195,716,716,1058,17247.533623427
10020,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №126",126,"школа",FALSE,"","ЮЗАО","Тёплый Стан",528,,293,318,328,0,427,450,16136.8650299819
10021,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №530",530,"школа",FALSE,"","ЮВАО","Южнопортовый",448,,392,396,396,0,493,402,6292.16242953359
10022,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1279",1279,"школа",FALSE,"","ЮЗАО","Зюзино",570,133,644,669,707,664,664,949,10108.8503191574
10023,"Государственное бюджетное образовательное учреждение города Москвы киноколледж №40 «Московская международная киношкола»",40,"колледж",FALSE,"","ЮАО","Донской",963,,82,82,93,0,0,174,4346.66154342005
10024,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат с углубленным изучением предметной области «Искусство» №95",95,"школа-интернат",FALSE,"","ЮЗАО","Черёмушки",591,,212,238,260,0,1007,433,11631.4580076539
10026,"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат №69 «Второй московский кадетский корпус»",69,"кадетская школа-интернат",FALSE,"","ЮЗАО","Обручевский",856,,209,188,153,0,0,286,11104.1774448307
10027,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат №95",95,"школа-интернат",FALSE,"","ЮЗАО","Зюзино",856,,209,188,153,0,0,758,9804.0821381137
10028,"Государственное бюджетное образовательное учреждение города Москвы «Воробьевы горы»",,"лицей",FALSE,"","ЮЗАО","Гагаринский",857,,296,398,467,0,229,31,6982.24499564764
10029,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1657",1657,"начальная школа",FALSE,"","ЮЗАО","Тёплый Стан",528,,293,318,328,0,427,454,16648.4443109193
10030,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №109 «Подразделение в ФНКЦ ДГОИ им. Димы Рогачева»",109,"школа",FALSE,"","ЮЗАО","Обручевский",966,,506,517,528,1011,337,41,13734.4565783958
10031,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1122",1122,"школа",FALSE,"","СВАО","Лианозово",235,,549,541,548,0,527,516,15654.489871035
10032,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1426",1426,"школа",FALSE,"","ЮАО","Бирюлёво Восточное",363,,789,862,911,1131,1260,468,19452.5837035927
10033,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1778 «Московский Шереметьевский кадетский корпус»",1778,"школа",FALSE,"","СВАО","Лосиноостровский",283,,600,616,641,654,654,394,14227.4680713969
10034,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1784 «Кадетская школа»",1784,"школа",FALSE,"","САО","Беговой",206,,259,264,272,1177,588,702,4381.94763155842
10035,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №205 имени Героя Советского Союза Е.К. Лютикова",205,"школа",FALSE,"","САО","Савёловский",211,,431,435,406,1234,823,516,6536.3585534032
10036,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №271",271,"школа",FALSE,"","СВАО","Останкинский",825,,124,124,0,0,363,417,7021.77822967051
10037,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №300",300,"школа",FALSE,"","СВАО","Южное Медведково",271,,587,608,622,0,756,615,13668.1763774242
10038,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №496",496,"школа",FALSE,"","ЮАО","Нагатинский Затон",887,,60,530,508,0,1192,1022,9747.09677667507
10039,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №564",564,"школа",FALSE,"","ЮАО","Донской",965,,634,361,178,0,0,505,6984.75426377407
10040,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №96",96,"школа",FALSE,"","ЦАО","Пресненский",47,,434,441,570,0,1155,891,3559.09608349078
10041,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1259",1259,"школа",FALSE,"","ЦАО","Замоскворечье",23,178,528,545,568,686,196,355,2541.6879321403
10042,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1233",1233,"школа",FALSE,"","ЦАО","Арбат",20,,381,393,412,0,852,270,1549.98359325182
10043,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования №514",514,"школа",FALSE,"","ЮАО","Нагатинский Затон",887,298,60,530,508,2385,1192,673,9880.86732067015
10044,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат «Интеллектуал»",,"школа-интернат",FALSE,"","ЗАО","Фили-Давыдково",863,11,320,348,408,0,650,290,10521.9537656837
