OBJECTID,SCHOOL_ID,SCHOOL_BLOCK_ID,FEATURE_ID,ORIG_FID,Shape_Length,Shape_Area
1390,10016,16,1390,1390,5091.801493,148.214686
1391,10016,16,1391,1391,5091.863061,8024.395975
1429,10016,16,1429,1429,6101.645822,4394.330974
1430,10016,16,1430,1430,6103.171542,31520.327257
1431,10016,16,1431,1431,5810.725322,1235.176803
1435,10016,16,1435,1435,5334.753918,4813.301995
1436,10016,16,1436,1436,5334.776656,7320.173927
1437,10016,16,1437,1437,6030.683386,7365.621833
1438,10016,16,1438,1438,6030.676271,6428.922272
1441,10016,16,1441,1441,6242.517553,411.780786
1442,10016,16,1442,1442,6242.534074,7198.597681
1443,10016,16,1443,1443,5044.791667,10942.053342
1444,10016,16,1444,1444,5044.999144,19758.286929
1445,10016,16,1445,1445,5256.227809,112.9496
1446,10016,16,1446,1446,5256.729384,23016.055606
1451,10016,16,1451,1451,5590.440887,4353.594795
1452,10016,16,1452,1452,5590.447749,5826.477375
1453,10016,16,1453,1453,5182.183185,16854.493725
1454,10016,16,1454,1454,5182.208021,16449.089209
1458,10016,16,1458,1458,5520.132649,13996.751672
1459,10016,16,1459,1459,5520.112724,9467.03755
1463,10016,16,1463,1463,5386.857602,262.570192
1464,10016,16,1464,1464,5387.019833,13370.298291
1468,10016,16,1468,1468,5635.851263,23499.428393
1469,10016,16,1469,1469,5635.577661,517.513047
1473,10016,16,1473,1473,5695.544682,2505.443883
1474,10016,16,1474,1474,5695.587469,8716.139995
1477,10016,16,1477,1477,5527.606326,484.561559
1478,10016,16,1478,1478,5527.632812,5706.638892
1479,10016,16,1479,1479,5767.574275,23515.939372
1480,10016,16,1480,1480,5767.249213,2200.740365
1487,10016,16,1487,1487,5712.611529,5964.564183
1488,10016,16,1488,1488,5712.599551,818.520334
1503,10016,16,1503,1503,5827.081504,18527.693637
1504,10016,16,1504,1504,5826.965345,12972.909354
1506,10016,16,1506,1506,5658.641914,8879.497885
1507,10016,16,1507,1507,5658.620967,6088.243452
1510,10016,16,1510,1510,5906.478214,2014.20603
1511,10016,16,1511,1511,5906.862977,34481.214125
1568,10016,16,1568,1568,5742.948304,6433.387975
1569,10016,16,1569,1569,5743.652174,44724.140205
1574,10016,16,1574,1574,5703.596495,40898.893017
1575,10016,16,1575,1575,5702.685209,2692.508356
1586,10018,18,1586,1586,18959.991566,76719.472562
