OBJECTID,SCHOOL_ID,SCHOOL_BLOCK_ID,FEATURE_ID,ORIG_FID,Shape_Length,Shape_Area
22481,10109,109,22481,22481,34220.701709,11197.85777
22482,10109,109,22482,22482,34220.705443,48958.508278
22486,10109,109,22486,22486,33779.861902,243536.370384
22487,10109,109,22487,22487,34369.536168,745457.297465
22488,10109,109,22488,22488,34356.599251,181001.048585
22490,10109,109,22490,22490,33862.939553,1348.781644
22491,10109,109,22491,22491,33863.052269,257376.653689
22496,10109,109,22496,22496,34110.116186,8954.689322
22497,10109,109,22497,22497,34110.119304,14031.269493
22498,10109,109,22498,22498,33256.879109,355734.98323
22499,10109,109,22499,22499,32967.795757,54529.939326
22500,10109,109,22500,22500,35228.120775,667.135782
22501,10109,109,22501,22501,35228.143443,56527.876677
22502,10109,109,22502,22502,35810.517976,21511.623483
22503,10109,109,22503,22503,35810.5155,290.036248
22504,10109,109,22504,22504,33148.111931,550.697801
22505,10109,109,22505,22505,34988.636051,64689.502838
22506,10109,109,22506,22506,36107.903174,197440.138304
22507,10109,109,22507,22507,36108.385867,348929.945852
22508,10109,109,22508,22508,34411.254298,74828.606852
22509,10109,109,22509,22509,33754.478656,189756.517344
22510,10109,109,22510,22510,34698.141051,135240.786965
22511,10109,109,22511,22511,35253.171884,14310.094814
22512,10109,109,22512,22512,36360.666563,185437.086265
22513,10109,109,22513,22513,36362.730408,326040.37893
22514,10109,109,22514,22514,36003.279151,318762.37635
22515,10109,109,22515,22515,35996.750026,372609.114458
22516,10109,109,22516,22516,33830.594543,176972.370675
22517,10109,109,22517,22517,35864.841736,45275.483096
22518,10109,109,22518,22518,35864.833997,22057.865815
22519,10109,109,22519,22519,34737.118977,131733.576252
22520,10109,109,22520,22520,35585.961471,58154.201988
22521,10109,109,22521,22521,35592.864758,357106.977149
22522,10109,109,22522,22522,35359.018759,72648.621353
22523,10109,109,22523,22523,32864.925249,206855.144156
22529,10109,109,22529,22529,34525.463521,13518.508771
22530,10109,109,22530,22530,34668.425302,262065.074583
22531,10109,109,22531,22531,34662.019428,103328.701254
22532,10109,109,22532,22532,34799.080566,46208.530969
22533,10109,109,22533,22533,34799.088906,86095.966053
22534,10109,109,22534,22534,35512.061213,120413.429676
22535,10109,109,22535,22535,35969.630552,3614.538786
22536,10109,109,22536,22536,35970.377391,285560.029007
22537,10109,109,22537,22537,34566.1963,381538.6183
22539,10109,109,22539,22539,34442.93098,31731.682249
22540,10109,109,22540,22540,34442.944638,96758.769114
22543,10109,109,22543,22543,34315.145214,201094.744017
22544,10109,109,22544,22544,34315.372778,423979.645058
22550,10109,109,22550,22550,35032.594482,19923.661331
22551,10109,109,22551,22551,35118.582169,891443.048448
22552,10109,109,22552,22552,35011.647809,545988.055398
22553,10109,109,22553,22553,35358.731586,1081769.152255
22554,10109,109,22554,22554,35335.268048,176476.781345
31033,10150,150,31033,31033,31443.463366,301686.329275
31034,10150,150,31034,31034,31450.728483,690635.982335
