"ID","SCHOOL_ID","NAME","NUMB","CURRENT_USE","ADDRESS","OKRUG","RAYON","POINT_X","POINT_Y"
1,10001,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №459",459,"1 - 8 классы","","ЮВАО","Нижегородский",37.706303,55.738773
2,10002,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1718",1718,"2 - 3 классы","","ВАО","Северное Измайлово",37.790721,55.804788
3,10003,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1770 «Московский Кадетский Музыкальный Корпус»",1770,"девочки","","ЮАО","Нагатинский Затон",37.688638,55.686136
4,10003,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1770 «Московский Кадетский Музыкальный Корпус»",1770,"мальчики","","ЮАО","Нагатинский Затон",37.695441,55.676163
5,10005,"Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1704",1704,"начальная школа","","ЗелАО","Савёлки",37.218583,55.994643
6,10006,"Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа №1771",1771,"начальная школа","","ЮАО","Орехово-Борисово Южное",37.727179,55.606239
7,10007,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1620",1620,"начальная школа","","ЮЗАО","Ломоносовский",37.529482,55.681484
8,10008,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1632",1632,"начальная школа","","ЮАО","Зябликово",37.734156,55.614987
9,10009,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1649",1649,"начальная школа","","ЮЗАО","Черёмушки",37.573313,55.671422
10,10010,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1658",1658,"начальная школа","","ЗАО","Кунцево",37.432784,55.741612
11,10011,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1856",1856,"начальная школа","","СВАО","Северное Медведково",37.665673,55.889623
12,10012,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1616",1616,"начальная школа","","ЮЗАО","Тёплый Стан",37.498512,55.618051
13,10013,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1645",1645,"начальная школа","","ЮВАО","Кузьминки",37.774109,55.71465
14,10014,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1676",1676,"начальная школа","","ЮЗАО","Зюзино",37.580813,55.659678
15,10015,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1850",1850,"начальная школа","","ЮЗАО","Тёплый Стан",37.489515,55.630199
16,10016,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1755",1755,"начальная школа","","ЦАО","Арбат",37.580815,55.751366
17,10017,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1776",1776,"начальная школа","","САО","Ховрино",37.502672,55.855192
18,10018,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1938",1938,"начальная школа","","СЗАО","Митино",37.359074,55.8365
19,10019,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1858",1858,"начальная школа","","ЮВАО","Капотня",37.797697,55.635796
