"SCHOOL_ID","BUILDING_ID"
11452,18600
10250,16475
10183,32892
11487,24545
10860,24673
10898,26529
10940,34141
10980,32558
11015,27229
11465,32795
11059,23603
11115,26897
11125,28905
11203,29320
11467,32769
11482,32926
10781,30474
10693,30221
11034,29467
10002,34265
10006,29328
10006,33593
10008,29775
10017,31151
10212,30166
10279,30171
10692,34282
10535,32097
10520,25906
10464,30656
10420,28014
10522,6339
10549,772
10842,8517
10621,8332
10589,6385
10960,5500
10140,2758
11315,3523
11415,3623
11378,4809
11431,6766
10404,8774
10069,8619
10661,2737
10109,1817
11371,3142
11140,7574
10165,9835
10925,3899
10418,2371
11245,1809
10335,8453
11407,3725
10660,7655
11235,9862
10299,10521
11043,3316
11402,7662
11431,6749
11190,2543
10949,16534
11067,12925
11138,13943
11193,17829
11200,17324
11233,21146
11244,21890
11253,13941
11253,18871
11257,20498
11264,20844
11277,14338
11312,13039
11497,13488
11500,11699
10876,14223
10830,16963
11044,18650
10089,18598
10095,22966
10103,16116
10204,23143
10274,11545
10285,21984
10287,20907
10408,14425
10456,16778
10792,23176
10750,12075
10601,13486
10727,13952
10607,16638
10592,22372
10471,21591
10797,20886
11004,15049
11069,18175
11078,21737
11105,16490
11118,18321
11120,13268
11133,16541
11139,11826
11145,14054
11148,15291
11159,13131
11159,18395
11202,14100
10991,21118
10956,14838
10818,12887
10824,20928
10826,21036
10830,16832
10836,17196
10837,20633
10904,15385
10908,11557
10916,18635
10921,17900
10923,13803
10953,18942
10955,19433
11208,13535
11208,13546
11213,11840
11313,23108
11317,22226
11343,17146
11355,11747
11389,17677
11398,22858
11398,22865
11399,21848
11415,19213
11469,11983
11469,16896
11497,13068
11499,12050
11311,14932
11311,14898
11213,16928
11215,17563
11239,21212
11257,22067
11262,12724
11273,14757
11286,13617
11293,18570
11295,11534
11295,15047
11296,12095
11297,15152
11300,15953
10010,15419
11245,23128
10185,23300
10203,12053
10221,17930
10221,23120
10234,22902
10248,12392
10248,20939
10272,14588
10277,16095
10279,19772
10289,15854
10313,12071
10328,14590
10182,19635
10174,22753
10022,12398
10027,23223
10035,22678
10042,17514
10093,16567
10095,11827
10106,21119
10110,16925
10123,23301
10126,15468
10133,21478
10151,12304
10158,15509
10362,14387
10382,13237
10781,11510
10555,11472
10568,16402
10603,17138
10617,17650
10638,12473
10644,12468
10654,18724
10661,17646
10672,18680
10690,16969
10698,19207
10743,14148
10764,19370
10552,14212
10541,12343
10527,20835
10382,18717
10401,20662
10433,15260
10438,22311
10453,18483
10456,22375
10460,15707
10465,16595
10521,20554
10511,16443
10489,14745
10479,14657
10471,21615
10742,29169
10879,34042
10881,24284
10902,26860
10925,33533
10934,24532
10961,26442
10968,26589
10984,25950
11005,27746
11034,24612
11043,28941
11053,24463
10877,32192
10872,24619
10866,32170
10743,29801
10748,24243
10757,34015
10759,24876
10782,33618
10786,27928
10805,29162
