"OBJECTID","OBJECTID_OLD","ID","NAME","NUMB","TYPE","CLOSED","ADDRESS","OKRUG","RAYON","COMPLEX_ID","RATING","CATCHEMENT_AREA_STUDENTS"
1490,1993,10001,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №459",459,"школа",FALSE,"","ЮВАО","Нижегородский",499,,0
1451,1924,10002,"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1718",1718,"прогимназия",FALSE,"","ВАО","Северное Измайлово",685,,0
1456,1938,10003,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1770 «Московский Кадетский Музыкальный Корпус»",1770,"школа",FALSE,"","ЮАО","Нагатинский Затон",851,,0
1443,1908,10005,"Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1704",1704,"начальная школа",FALSE,"","ЗелАО","Савёлки",801,,0
1495,2003,10006,"Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа №1771",1771,"начальная школа",FALSE,"","ЮАО","Орехово-Борисово Южное",361,,0
1465,1956,10007,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1620",1620,"начальная школа",FALSE,"","ЮЗАО","Ломоносовский",587,,0
1458,1940,10008,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1632",1632,"начальная школа",FALSE,"","ЮАО","Зябликово",852,,0
1467,1959,10009,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1649",1649,"начальная школа",FALSE,"","ЮЗАО","Черёмушки",591,,2998.545719
1476,1970,10010,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1658",1658,"начальная школа",FALSE,"","ЗАО","Кунцево",704,,0
1445,1914,10011,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1856",1856,"начальная школа",FALSE,"","СВАО","Северное Медведково",262,,0
1474,1966,10012,"Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1616",1616,"начальная школа",FALSE,"","ЮЗАО","Тёплый Стан",523,,0
