ID,POINT_X,POINT_Y
1,37.639435,55.860373
2,37.804911,55.717548
3,37.606217,55.869329
4,37.611873,55.865627
5,37.613411,55.864558
6,37.779592,55.808077
7,37.720103,55.67985
8,37.350975,55.641241
9,37.419263,55.750454
10,37.482391,55.714579
11,37.474719,55.706744
12,37.776508,55.663646
13,37.834804,55.72441
14,37.62569,55.714479
15,37.626721,55.714332
16,37.67135,55.723389
17,37.509049,55.698245
18,37.688124,55.803762
19,37.82756,55.715998
20,37.728587,55.795602
21,37.507002,55.630804
22,37.830356,55.718465
23,37.581299,55.75119
24,37.52689,55.685056
25,37.474219,55.778676
26,37.477438,55.78058
27,37.451586,55.784982
28,37.453283,55.785199
29,37.457266,55.780272
30,37.457623,55.785694
31,37.471786,55.769618
32,37.463004,55.77515
33,37.580536,55.741919
34,37.597936,55.74401
35,37.178956,55.995564
36,37.182054,55.980081
37,37.190778,55.976398
38,37.603332,55.741525
39,37.632215,55.803672
40,37.633271,55.803998
41,37.491549,55.622449
42,37.574192,55.684899
43,37.539295,55.680074
44,37.381342,55.839739
45,37.388657,55.841565
46,37.592257,55.786915
47,37.505007,55.672167
48,37.399572,55.646767
49,37.359653,55.836099
50,37.449346,55.845402
51,37.450704,55.846031
52,37.456187,55.846654
53,37.654054,55.868199
54,37.750711,55.662993
55,37.751241,55.665443
56,37.642182,55.852872
57,37.754603,55.65117
58,37.576927,55.78921
59,37.610008,55.786661
60,37.552777,55.906675
61,37.529302,55.822928
62,37.690459,55.852786
63,37.659254,55.646582
64,37.597088,55.619924
65,37.601139,55.617914
66,37.494518,55.849902
67,37.43714,55.739648
68,37.428899,55.745363
69,37.430137,55.744966
70,37.497294,55.859659
71,37.414652,55.764904
72,37.92317,55.688164
73,37.371638,55.641567
74,37.816312,55.709001
75,37.823299,55.695092
76,37.766758,55.711657
77,37.728366,55.610787
78,37.495755,55.534522
79,37.860524,55.733219
80,37.504292,55.821397
81,37.579678,55.691641
82,37.579726,55.691
83,37.593372,55.692118
84,37.662884,55.707598
85,37.663861,55.708116
86,37.345754,55.855403
87,37.345821,55.854661
88,37.346736,55.856738
89,37.709005,55.807256
90,37.838039,55.762339
91,37.634879,55.803707
92,37.635144,55.802929
93,37.642074,55.810397
94,37.810513,55.807501
95,37.82785,55.804892
96,37.833479,55.802589
97,37.616216,55.895605
98,37.795689,55.793866
99,37.802662,55.792062
100,37.720004,55.690865
101,37.757115,55.673812
102,37.543757,55.692293
103,37.608288,55.722467
104,37.617754,55.736925
105,37.222124,55.994292
106,37.230033,55.998625
107,37.231727,55.998123
108,37.255401,55.989999
109,37.483937,55.780362
110,37.54374,55.601957
111,37.354046,55.83216
112,37.360511,55.830274
113,37.642875,55.87454
114,37.441841,55.862819
115,37.44525,55.862017
116,37.446775,55.857583
117,37.597183,55.779798
118,37.513556,55.709343
119,37.540485,55.864313
120,37.829253,55.818685
121,37.829541,55.824675
122,37.697635,55.63981
123,37.594355,55.629592
124,37.59522,55.63149
125,37.614363,55.713445
126,37.616607,55.718614
127,37.653728,55.668738
128,37.654025,55.665664
129,37.657402,55.672613
130,37.719088,55.874383
131,37.796661,55.806174
132,37.553359,55.880986
133,37.703448,55.763365
134,37.587545,55.865836
135,37.702347,55.623761
136,37.717174,55.601996
137,37.738183,55.602586
138,37.895525,55.71333
139,37.793137,55.793755
140,37.674741,55.782551
141,37.685399,55.786001
142,37.767692,55.803259
143,37.786341,55.805667
144,37.500521,55.805758
145,37.413764,55.652634
146,37.397964,55.719513
147,37.500362,55.69076
148,37.658285,55.817286
149,37.662647,55.818178
150,37.651042,55.889751
151,37.401533,55.80674
152,37.410689,55.809379
153,37.412406,55.807634
154,37.406464,55.812188
155,37.604665,55.760834
156,37.482165,55.772831
157,37.620987,55.602584
158,37.668262,55.681957
159,37.669167,55.682492
160,37.683637,55.788006
161,37.684761,55.793388
162,37.746598,55.619719
163,37.523368,55.741435
164,37.738816,55.617254
165,37.747851,55.623705
166,37.76794,55.635519
167,37.461107,55.716544
168,37.872591,55.741812
169,37.555452,55.875192
170,37.831778,55.816787
171,37.598087,55.737266
172,37.556414,55.698002
173,37.679171,55.751868
174,37.830349,55.760506
175,37.652208,55.648279
176,37.681319,55.676895
177,37.670232,55.784935
178,37.562034,55.73091
179,37.564869,55.726086
180,37.7769,55.662154
181,37.649058,55.720986
182,37.531872,55.804837
183,37.612885,55.642603
184,37.613038,55.641641
185,37.663418,55.752608
186,37.655131,55.768475
187,37.695661,55.779014
188,37.559719,55.782406
189,37.595734,55.787712
190,37.786712,55.76233
191,37.801192,55.756024
192,37.572385,55.649944
193,37.530593,55.874047
194,37.505131,55.797599
195,37.485594,55.653627
196,37.408218,55.642369
197,37.528371,55.686236
198,37.827946,55.71907
199,37.504455,55.672814
200,37.511264,55.8197
201,37.638663,55.853008
202,37.567573,55.866679
203,37.811775,55.705369
204,37.810743,55.806205
205,37.632508,55.769095
206,37.633649,55.764733
207,37.532761,55.896528
208,37.401337,55.646224
209,37.415939,55.71633
210,37.501793,55.855444
211,37.508309,55.799792
212,37.486314,55.794652
213,37.488587,55.797269
214,37.490867,55.801333
215,37.498274,55.791593
216,37.81478,55.808384
217,37.815406,55.803905
218,37.567689,55.870178
219,37.422032,55.732322
220,37.840538,55.698704
221,37.570382,55.661684
222,37.401723,55.814437
223,37.523113,55.859224
224,37.71931,55.744669
225,37.519157,55.678878
226,37.537085,55.60072
227,37.769802,55.655712
228,37.771399,55.654443
229,37.521086,55.545194
230,37.720539,55.693009
231,37.571144,55.897029
232,37.629972,55.777576
233,37.550088,55.606317
234,37.485407,55.684693
235,37.642717,55.837093
236,37.820941,55.809096
237,37.397383,55.708484
238,37.397695,55.709019
239,37.836609,55.734801
240,37.677591,55.734235
241,37.481649,55.628534
242,37.592257,55.738798
243,37.571469,55.669309
244,37.576591,55.651811
245,37.581644,55.661296
246,37.414117,55.736388
247,37.61361,55.871809
248,37.414125,55.737058
249,37.420337,55.740165
250,37.485889,55.848042
251,37.455522,55.725771
252,37.460896,55.66946
253,37.43142,55.860564
254,37.832804,55.74102
255,37.737011,55.608315
256,37.738542,55.607927
257,37.617062,55.605145
258,37.723924,55.613654
259,37.72611,55.616283
260,37.457426,55.800398
261,37.537704,55.689229
262,37.390575,55.657826
263,37.409109,55.645829
264,37.413404,55.64845
265,37.402261,55.653007
266,37.452287,55.80724
267,37.398732,55.649009
268,37.478753,55.770905
269,37.485568,55.774334
270,37.492608,55.77064
271,37.363526,55.639366
272,37.34351,55.636599
273,37.585919,55.691978
274,37.863513,55.819916
275,37.730967,55.795609
276,37.756988,55.632676
277,37.759255,55.631572
278,37.618355,55.877574
279,37.768899,55.671468
280,37.564412,55.684197
281,37.737486,55.643823
282,37.748498,55.647029
283,37.75695,55.648067
284,37.71355,55.651071
285,37.177826,55.998443
286,37.566767,55.904003
287,37.444353,55.848281
288,37.627603,55.726041
289,37.36302,55.841687
290,37.828032,55.82451
291,37.808288,55.818845
292,37.516907,55.598105
293,37.711363,55.877297
294,37.698427,55.866445
