OBJECTID,ID,POINT_X,POINT_Y
1,10057,37.639435,55.860373
2,10058,37.804911,55.717548
3,10064,37.606217,55.869329
4,10063,37.611873,55.865627
5,10065,37.613411,55.864558
6,10066,37.779592,55.808077
7,10072,37.720103,55.67985
8,10075,37.350975,55.641241
9,10076,37.419263,55.750454
10,10077,37.482391,55.714579
11,10079,37.474719,55.706744
12,10081,37.776508,55.663646
13,10082,37.834804,55.72441
14,10084,37.62569,55.714479
15,10083,37.626721,55.714332
16,10085,37.67135,55.723389
17,10086,37.509049,55.698245
18,10087,37.688124,55.803762
19,10088,37.82756,55.715998
20,10091,37.728587,55.795602
21,10093,37.507002,55.630804
22,10094,37.830356,55.718465
23,10095,37.581299,55.75119
24,10096,37.52689,55.685056
25,10097,37.474219,55.778676
26,10098,37.477438,55.78058
27,10102,37.451586,55.784982
28,10099,37.453283,55.785199
29,10101,37.457266,55.780272
30,10103,37.457623,55.785694
31,10104,37.471786,55.769618
32,10100,37.463004,55.77515
33,10111,37.580536,55.741919
34,10110,37.597936,55.74401
35,10116,37.178956,55.995564
36,10117,37.182054,55.980081
37,10118,37.190778,55.976398
38,10119,37.603332,55.741525
39,10123,37.632215,55.803672
40,10122,37.633271,55.803998
41,10124,37.491549,55.622449
42,10125,37.574192,55.684899
43,10126,37.539295,55.680074
44,10127,37.381342,55.839739
45,10128,37.388657,55.841565
46,10129,37.592257,55.786915
47,10130,37.505007,55.672167
48,10131,37.399572,55.646767
49,10132,37.359653,55.836099
50,10135,37.449346,55.845402
51,10133,37.450704,55.846031
52,10134,37.456187,55.846654
53,10137,37.654054,55.868199
54,10138,37.750711,55.662993
55,10139,37.751241,55.665443
56,10140,37.642182,55.852872
57,10141,37.754603,55.65117
58,10145,37.576927,55.78921
59,10146,37.610008,55.786661
60,10147,37.552777,55.906675
61,10148,37.529302,55.822928
62,10149,37.690459,55.852786
63,10150,37.659254,55.646582
64,10151,37.597088,55.619924
65,10152,37.601139,55.617914
66,10153,37.494518,55.849902
67,10154,37.43714,55.739648
68,10156,37.428899,55.745363
69,10155,37.430137,55.744966
70,10159,37.497294,55.859659
71,10162,37.414652,55.764904
72,10163,37.92317,55.688164
73,10164,37.371638,55.641567
74,10165,37.816312,55.709001
75,10166,37.823299,55.695092
76,10167,37.766758,55.711657
77,10168,37.728366,55.610787
78,10169,37.495755,55.534522
79,10170,37.860524,55.733219
80,10171,37.504292,55.821397
81,10172,37.579678,55.691641
82,10173,37.579726,55.691
83,10174,37.593372,55.692118
84,10175,37.662884,55.707598
85,10176,37.663861,55.708116
86,10178,37.345754,55.855403
87,10177,37.345821,55.854661
88,10179,37.346736,55.856738
89,10180,37.709005,55.807256
90,10181,37.838039,55.762339
91,10184,37.634879,55.803707
92,10183,37.635144,55.802929
93,10185,37.642074,55.810397
94,10186,37.810513,55.807501
95,10187,37.82785,55.804892
96,10188,37.833479,55.802589
97,10189,37.616216,55.895605
98,10190,37.795689,55.793866
99,10191,37.802662,55.792062
100,10198,37.720004,55.690865
101,10199,37.757115,55.673812
102,10201,37.543757,55.692293
103,10204,37.608288,55.722467
104,10206,37.617754,55.736925
105,10210,37.222124,55.994292
106,10208,37.230033,55.998625
107,10211,37.231727,55.998123
108,10209,37.255401,55.989999
109,10213,37.483937,55.780362
110,10214,37.54374,55.601957
111,10216,37.354046,55.83216
112,10215,37.360511,55.830274
113,10217,37.642875,55.87454
114,10220,37.441841,55.862819
115,10218,37.44525,55.862017
116,10219,37.446775,55.857583
117,10221,37.597183,55.779798
118,10226,37.513556,55.709343
119,10229,37.540485,55.864313
120,10231,37.829253,55.818685
121,10230,37.829541,55.824675
122,10232,37.697635,55.63981
123,10234,37.594355,55.629592
124,10233,37.59522,55.63149
125,10235,37.614363,55.713445
126,10236,37.616607,55.718614
127,10238,37.653728,55.668738
128,10239,37.654025,55.665664
129,10240,37.657402,55.672613
130,10241,37.719088,55.874383
131,10245,37.796661,55.806174
132,10246,37.553359,55.880986
133,10247,37.703448,55.763365
134,10059,37.587545,55.865836
135,10060,37.702347,55.623761
136,10061,37.717174,55.601996
137,10062,37.738183,55.602586
138,10067,37.895525,55.71333
139,10068,37.793137,55.793755
140,10069,37.674741,55.782551
141,10070,37.685399,55.786001
142,10071,37.767692,55.803259
143,10212,37.786341,55.805667
144,10073,37.500521,55.805758
145,10074,37.413764,55.652634
146,10078,37.397964,55.719513
147,10080,37.500362,55.69076
148,10089,37.658285,55.817286
149,10090,37.662647,55.818178
150,10092,37.651042,55.889751
151,10108,37.401533,55.80674
152,10105,37.410689,55.809379
153,10107,37.412406,55.807634
154,10106,37.406464,55.812188
155,10109,37.604665,55.760834
156,10112,37.482165,55.772831
157,10113,37.620987,55.602584
158,10114,37.668262,55.681957
159,10115,37.669167,55.682492
160,10120,37.683637,55.788006
161,10121,37.684761,55.793388
162,10136,37.746598,55.619719
163,10142,37.523368,55.741435
164,10144,37.738816,55.617254
165,10143,37.747851,55.623705
166,10157,37.76794,55.635519
167,10158,37.461107,55.716544
168,10160,37.872591,55.741812
169,10161,37.555452,55.875192
170,10182,37.831778,55.816787
171,10192,37.598087,55.737266
172,10193,37.556414,55.698002
173,10194,37.679171,55.751868
174,10195,37.830349,55.760506
175,10196,37.652208,55.648279
176,10197,37.681319,55.676895
177,10200,37.670232,55.784935
178,10203,37.562034,55.73091
179,10202,37.564869,55.726086
180,10205,37.7769,55.662154
181,10207,37.649058,55.720986
182,10222,37.531872,55.804837
183,10224,37.612885,55.642603
184,10223,37.613038,55.641641
185,10225,37.663418,55.752608
186,10228,37.655131,55.768475
187,10227,37.695661,55.779014
188,10237,37.559719,55.782406
189,10242,37.595734,55.787712
190,10243,37.786712,55.76233
191,10244,37.801192,55.756024
192,10248,37.572385,55.649944
193,10249,37.530593,55.874047
194,10250,37.505131,55.797599
195,10251,37.485594,55.653627
196,10252,37.408218,55.642369
197,10253,37.528371,55.686236
198,10255,37.827946,55.71907
199,10256,37.504455,55.672814
200,10257,37.511264,55.8197
201,10258,37.638663,55.853008
202,10261,37.567573,55.866679
203,10262,37.811775,55.705369
204,10263,37.810743,55.806205
205,10265,37.632508,55.769095
206,10266,37.633649,55.764733
207,10269,37.532761,55.896528
208,10270,37.401337,55.646224
209,10271,37.415939,55.71633
210,10273,37.501793,55.855444
211,10274,37.508309,55.799792
212,10277,37.486314,55.794652
213,10276,37.488587,55.797269
214,10275,37.490867,55.801333
215,10278,37.498274,55.791593
216,10279,37.81478,55.808384
217,10280,37.815406,55.803905
218,10283,37.567689,55.870178
219,10284,37.422032,55.732322
220,10286,37.840538,55.698704
221,10287,37.570382,55.661684
222,10288,37.401723,55.814437
223,10289,37.523113,55.859224
224,10290,37.71931,55.744669
225,10292,37.519157,55.678878
226,10293,37.537085,55.60072
227,10295,37.769802,55.655712
228,10296,37.771399,55.654443
229,10297,37.521086,55.545194
230,10298,37.720539,55.693009
231,10300,37.571144,55.897029
232,10301,37.629972,55.777576
233,10302,37.550088,55.606317
234,10303,37.485407,55.684693
235,10304,37.642717,55.837093
236,10305,37.820941,55.809096
237,10307,37.397383,55.708484
238,10306,37.397695,55.709019
239,10308,37.836609,55.734801
240,10310,37.677591,55.734235
241,10312,37.481649,55.628534
242,10313,37.592257,55.738798
243,10314,37.571469,55.669309
244,10315,37.576591,55.651811
245,10317,37.581644,55.661296
246,10318,37.414117,55.736388
247,10319,37.61361,55.871809
248,10321,37.414125,55.737058
249,10322,37.420337,55.740165
250,10323,37.485889,55.848042
251,10324,37.455522,55.725771
252,10326,37.460896,55.66946
253,10327,37.43142,55.860564
254,10328,37.832804,55.74102
255,10330,37.737011,55.608315
256,10329,37.738542,55.607927
257,10332,37.617062,55.605145
258,10334,37.723924,55.613654
259,10333,37.72611,55.616283
260,10336,37.457426,55.800398
261,10337,37.537704,55.689229
262,10339,37.390575,55.657826
263,10340,37.409109,55.645829
264,10338,37.413404,55.64845
265,10342,37.402261,55.653007
266,10344,37.452287,55.80724
267,10345,37.398732,55.649009
268,10348,37.478753,55.770905
269,10346,37.485568,55.774334
270,10347,37.492608,55.77064
271,10350,37.363526,55.639366
272,10351,37.34351,55.636599
273,10352,37.585919,55.691978
274,10354,37.863513,55.819916
275,10358,37.730967,55.795609
276,10360,37.756988,55.632676
277,10359,37.759255,55.631572
278,10361,37.618355,55.877574
279,10362,37.768899,55.671468
280,10363,37.564412,55.684197
281,10364,37.737486,55.643823
282,10366,37.748498,55.647029
283,10365,37.75695,55.648067
284,10367,37.71355,55.651071
285,10368,37.177826,55.998443
286,10369,37.566767,55.904003
287,10371,37.444353,55.848281
288,10373,37.627603,55.726041
289,10374,37.36302,55.841687
290,10377,37.828032,55.82451
291,10378,37.808288,55.818845
292,10379,37.516907,55.598105
293,10380,37.711363,55.877297
294,10381,37.698427,55.866445
295,10382,37.657266,55.866114
296,10383,37.659334,55.853709
297,10384,37.539442,55.688224
298,10385,37.532271,55.663146
299,10386,37.477567,55.633421
300,10387,37.542278,55.607239
301,10390,37.52286,55.62832
302,10388,37.52331,55.63078
303,10389,37.523582,55.626565
304,10392,37.55419,55.60588
305,10393,37.503022,55.862459
306,10395,37.484306,55.764558
307,10394,37.491362,55.7646
308,10396,37.454659,55.674151
309,10397,37.511696,55.720742
310,10399,37.560906,55.886035
311,10401,37.491729,55.883227
312,10400,37.492465,55.882516
313,10402,37.516519,55.637748
314,10403,37.417737,55.751119
315,10404,37.714999,55.877726
316,10405,37.437777,55.84859
317,10254,37.747264,55.616781
318,10259,37.345821,55.854661
319,10260,37.575923,55.904643
320,10264,37.68523,55.793127
321,10267,37.637364,55.75233
322,10268,37.541594,55.875476
323,10272,37.85052,55.739056
324,10281,37.371615,55.642629
325,10282,37.874114,55.741628
326,10285,37.553789,55.544797
327,10291,37.722899,55.815447
328,10294,37.82382,55.777902
329,10299,37.405432,55.71274
330,10309,37.812644,55.78971
331,10311,37.798085,55.639485
332,10316,37.562628,55.655252
333,10320,37.619252,55.696992
334,10325,37.770136,55.746131
335,10331,37.493502,55.61771
336,10335,37.644525,55.758635
337,10341,37.403636,55.652997
338,10343,37.409162,55.657666
339,10349,37.362237,55.640052
340,10353,37.517706,55.599246
341,10355,37.869781,55.743952
342,10356,37.827389,55.73315
343,10357,37.519305,55.651052
344,10370,37.681241,55.684217
345,10372,37.412784,55.853049
346,10375,37.540808,55.594084
347,10376,37.818367,55.81329
348,10391,37.540484,55.59236
349,10398,37.497313,55.689105
350,10406,37.718832,55.643584
351,10407,37.735912,55.650713
352,10410,37.736159,55.644147
353,10411,37.160932,55.985896
354,10412,37.153387,55.975569
355,10413,37.154985,55.986367
356,10414,37.15552,55.987268
357,10415,37.400749,55.797087
358,10417,37.581618,55.543467
359,10419,37.817683,55.828058
360,10420,37.594784,55.61683
361,10421,37.602442,55.615563
362,10422,37.575717,55.563566
363,10423,37.592731,55.501843
364,10424,37.608969,55.638214
365,10427,37.522878,55.678122
366,10428,37.364907,55.84731
367,10429,37.357524,55.850987
368,10430,37.153703,55.979912
369,10432,37.53295,55.730826
370,10434,37.550615,55.687741
371,10433,37.551669,55.688348
372,10435,37.54904,55.669956
373,10437,37.517208,55.606738
374,10438,37.590645,55.774538
375,10440,37.789087,55.712952
376,10441,37.821053,55.828027
377,10442,37.626074,55.743102
378,10443,37.587762,55.768305
379,10446,37.464521,55.781287
380,10444,37.466423,55.782289
381,10445,37.467193,55.780813
382,10447,37.593082,55.89136
383,10448,37.465808,55.662225
384,10449,37.411455,55.721024
385,10450,37.811057,55.703739
386,10451,37.814898,55.700983
387,10452,37.767482,55.663702
388,10453,37.686629,55.778903
389,10455,37.344769,55.849027
390,10454,37.350015,55.846125
391,10458,37.756022,55.656955
392,10459,37.52924,55.778221
393,10460,37.358659,55.850188
394,10462,37.506151,55.539997
395,10461,37.507804,55.540458
396,10463,37.749299,55.6534
397,10464,37.559724,55.652235
398,10465,37.535131,55.800892
399,10466,37.465177,55.873455
400,10467,37.574473,55.784764
401,10468,37.542287,55.599655
402,10469,37.468499,55.868226
403,10471,37.481656,55.77869
404,10470,37.496001,55.779656
405,10473,37.61404,55.624974
406,10472,37.613663,55.627654
407,10475,37.65178,55.632277
408,10478,37.473201,55.856166
409,10477,37.47913,55.860434
410,10479,37.813967,55.827956
411,10481,37.178803,55.985862
412,10480,37.176544,55.987322
