OBJECTID;ID;NAME;NUMB;TYPE;CURRENT_USE;ADDRESS;OKRUG;RAYON;COMPLEX_ID
1993;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №459;459;школа;1 - 8 классы;;;;499
1924;0;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1718;1718;прогимназия;2 - 3 классы;;;;685
1938;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1770 «Московский Кадетский Музыкальный Корпус»;1770;школа;девочки;;;;851
1939;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1770 «Московский Кадетский Музыкальный Корпус»;1770;школа;мальчики;;;;851
1908;0;Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа «Школа здоровья» №1704;1704;начальная школа;начальная школа;;;;801
2003;0;Государственное бюджетное образовательное учреждение города Москвы начальная общеобразовательная школа №1771;1771;начальная школа;начальная школа;;;;361
1956;0;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1620;1620;начальная школа;начальная школа;;;;587
1940;0;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1632;1632;начальная школа;начальная школа;;;;852
1959;0;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1649;1649;начальная школа;начальная школа;;;;591
1970;0;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1658;1658;начальная школа;начальная школа;;;;704
1914;0;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1856;1856;начальная школа;начальная школа;;;;262
1966;0;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1616;1616;начальная школа;начальная школа;;;;523
1929;0;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1645;1645;начальная школа;начальная школа;;;;415
1960;0;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1676;1676;начальная школа;начальная школа;;;;585
1965;0;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад компенсирующего вида №1850;1850;начальная школа;начальная школа;;;;528
1997;0;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1755;1755;прогимназия;начальная школа;;;;39
1973;0;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1776;1776;прогимназия;начальная школа;;;;135
1996;0;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1938;1938;прогимназия;начальная школа;;;;107
1936;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1858;1858;школа;начальная школа;;;;845
1963;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №126;126;школа;начальная школа;;;;528
1928;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №530;530;школа;начальная школа;;;;448
1961;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1279;1279;школа;начальная школа;;;;570
1950;0;Государственное бюджетное образовательное учреждение города Москвы киноколледж №40 «Московская международная киношкола»;40;колледж;средняя школа;;;;963
1958;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат с углубленным изучением предметной области «Искусство» №95;95;школа-интернат;средняя школа;;;;591
1937;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1858;1858;школа;средняя школа;;;;845
1947;0;Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат №69 «Второй московский кадетский корпус»;69;кадетская школа-интернат;средняя школа;;;;856
1946;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат №95;95;школа-интернат;средняя школа;;;;856
1951;0;Государственное бюджетное образовательное учреждение города Москвы «Воробьевы горы»;;лицей;;;;;857
2001;0;Государственное бюджетное образовательное учреждение города Москвы начальная школа-детский сад №1657;1657;начальная школа;;;;;528
1962;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №109 «Подразделение в ФНКЦ ДГОИ им. Димы Рогачева»;109;школа;;;;;966
1911;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1122;1122;школа;;;;;235
1948;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1426;1426;школа;;;;;363
1918;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1778 «Московский Шереметьевский кадетский корпус»;1778;школа;;;;;283
2007;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1784 «Кадетская школа»;1784;школа;;;;;206
1995;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №205 имени Героя Советского Союза Е.К. Лютикова;205;школа;;;;;211
1920;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №271;271;школа;;;;;825
1916;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №300;300;школа;;;;;271
1986;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №496;496;школа;;;;;887
2004;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №564;564;школа;;;;;965
1988;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №96;96;школа;;;;;47
1987;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1259;1259;школа;;;;;23
1978;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1233;1233;школа;;;;;20
1985;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования №514;514;школа;;;;;887
1971;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат «Интеллектуал»;;школа-интернат;;;;;863
1975;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат №42;42;школа-интернат;;;;;874
1977;0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат с углубленным изучением отдельных предметов №16 «ШИК 16»;16;школа-интернат;;;;;964
1919;0;Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №1099;1099;центр образования;;;;;263
1984;0;Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №1317;1317;центр образования;;;;;886
1921;0;Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №287 имени С.К.Годовикова;287;центр образования;;;;;825
1969;0;Государственное бюджетное образовательное учреждение города Москвы центр образования №1130;1130;центр образования;;;;;821
1907;0;Государственное бюджетное образовательное учреждение города Москвы центр образования №1863;1863;центр образования;;;ЮЗАО;Южное Бутово;530
1983;0;Государственное бюджетное образовательное учреждение города Москвы центр образования №46;46;центр образования;;;;;885
1942;0;Государственное бюджетное образовательное учреждение города Москвы центр образования №943;943;центр образования;;;;;854
1974;0;Новая школа ЖК «Головино»;;школа;;;;;203
1972;0;Новая школа ЖК «Мичурино»;;школа;;;;;776
1964;0;Новая школа ЖК «Теплый Край»;;школа;;;;;528
1;19;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1138;1138;школа;средняя школа;129329, город Москва, Тенистый проезд, д. 8, строение 1;СВАО;Свиблово;293
2;20;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №398;398;школа;;109542, Москва, ул. Хлобыстова, д. 14, корп. 3;ЮВАО;Выхино-Жулебино;431
193;21;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №745;745;школа;;127562 г. Москва, Алтуфьевское шоссе, д. 30а;СВАО;Отрадное;304
194;22;Государственное автономное образовательное учреждение города Москвы центр образования №548 «Царицыно»;548;центр образования;5 - 8 классы;115582 г.Москва, ул. Домодедовская д35, к.2;ЮАО;Орехово-Борисово Северное;855
195;22;Государственное автономное образовательное учреждение города Москвы центр образования №548 «Царицыно»;548;центр образования;9 - 11 классы;115582 г.Москва, ул. Домодедовская д35, к.2;ЮАО;Орехово-Борисово Северное;855
197;22;Государственное автономное образовательное учреждение города Москвы центр образования №548 «Царицыно»;548;центр образования;начальная школа;115582 г.Москва, ул. Домодедовская д35, к.2;ЮАО;Орехово-Борисово Северное;855
4;23;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1627;1627;прогимназия;начальная школа;127490, г. Москва, ул. Пестеля, д.5,9А;СВАО;Отрадное;291
3;23;Государственное бюджетное образовательное учреждение города Москвы прогимназия №1709;1709;прогимназия;начальная школа;127490, г. Москва, ул. Пестеля, д.5,9А;СВАО;Отрадное;291
