OBJECTID;ID;OPL_G;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
10001;10001;22421;37.764853;55.709157;160;0.003142;37.766758;55.711657
10002;10002;27293;37.779644;55.711929;851;0.00534;37.775638;55.708399
10003;10003;21581;37.768548;55.707542;861;0.002445;37.770975;55.707234
10004;10004;94;37.192891;55.603117;903;0.028311;37.214527;55.621377
10005;10005;32;37.192143;55.602664;903;0.029175;37.214527;55.621377
10006;10006;42;37.193135;55.603246;903;0.028041;37.214527;55.621377
10007;10007;114;37.193353;55.602896;903;0.028104;37.214527;55.621377
10008;10008;132;37.192922;55.602684;903;0.028568;37.214527;55.621377
10009;10009;133;37.192536;55.60244;903;0.02902;37.214527;55.621377
10010;10010;68;37.192654;55.602938;903;0.028607;37.214527;55.621377
10011;10011;83;37.192174;55.603176;903;0.028825;37.214527;55.621377
10012;10012;101;37.191779;55.602977;903;0.029257;37.214527;55.621377
10013;10013;33;37.192162;55.602238;903;0.029436;37.214527;55.621377
10014;10014;57;37.192438;55.602825;903;0.028845;37.214527;55.621377
10015;10015;2747;37.785575;55.751399;946;0.002812;37.786589;55.754023
10016;10016;5134;37.809477;55.753829;1964;0.003993;37.813308;55.752697
10017;10017;7112;37.809188;55.75327;1964;0.004159;37.813308;55.752697
10018;10018;4575;37.824581;55.74953;1210;0.004857;37.820916;55.746343
10019;10019;4872;37.824346;55.749203;1210;0.004466;37.820916;55.746343
10020;10020;3526;37.81067;55.753296;1964;0.002705;37.813308;55.752697
10021;10021;4505;37.823006;55.749838;1210;0.004072;37.820916;55.746343
10022;10022;4956;37.825929;55.748886;1210;0.005621;37.820916;55.746343
10023;10023;4919;37.825702;55.748555;1210;0.005272;37.820916;55.746343
10024;10024;2576;37.811123;55.753945;1964;0.002516;37.813308;55.752697
10025;10025;4560;37.823231;55.750167;1210;0.00447;37.820916;55.746343
10026;10026;15612;37.82144;55.749862;1210;0.003558;37.820916;55.746343
10027;10027;3546;37.807921;55.753712;900;0.002926;37.805016;55.754064
10028;10028;8744;37.820004;55.749848;902;0.003545;37.819334;55.746367
10029;10029;3630;37.820538;55.750397;1210;0.004072;37.820916;55.746343
10030;10030;3525;37.819489;55.750541;902;0.004177;37.819334;55.746367
10031;10031;3522;37.806195;55.75396;900;0.001183;37.805016;55.754064
10032;10032;3536;37.811362;55.753199;1964;0.002008;37.813308;55.752697
10033;10033;3624;37.826338;55.750965;1095;0.003646;37.82739;55.754457
10034;10034;3512;37.807124;55.753829;900;0.002121;37.805016;55.754064
10035;10035;8639;37.8212;55.752834;1515;0.002406;37.820326;55.755077
10036;10036;5180;37.805696;55.754568;900;0.000847;37.805016;55.754064
10037;10037;3444;37.825638;55.751051;1095;0.003829;37.82739;55.754457
10038;10038;3237;37.829619;55.750497;1095;0.004544;37.82739;55.754457
10039;10039;3672;37.828922;55.750599;1095;0.00415;37.82739;55.754457
10040;10040;3666;37.828179;55.750704;1095;0.003834;37.82739;55.754457
10041;10041;2455;37.825092;55.751721;1095;0.003572;37.82739;55.754457
10042;10042;3623;37.824092;55.751926;1213;0.003351;37.822524;55.754889
10043;10043;3368;37.824494;55.751213;1213;0.00417;37.822524;55.754889
10044;10044;8648;37.823057;55.751909;1213;0.003026;37.822524;55.754889
10045;10045;2502;37.811812;55.753848;1964;0.001887;37.813308;55.752697
10046;10046;3775;37.821617;55.75217;1213;0.002865;37.822524;55.754889
10047;10047;1568;37.821542;55.751618;1213;0.003414;37.822524;55.754889
10048;10048;3621;37.815603;55.753033;1964;0.00232;37.813308;55.752697
10049;10049;3473;37.815316;55.752391;1964;0.002031;37.813308;55.752697
10050;10050;4070;37.82996;55.749248;1095;0.005808;37.82739;55.754457
10051;10051;3341;37.828316;55.749485;1095;0.005057;37.82739;55.754457
10052;10052;3520;37.812045;55.753102;1964;0.001326;37.813308;55.752697
10053;10053;2708;37.823723;55.751333;1213;0.003752;37.822524;55.754889
10054;10054;3585;37.777651;55.75064;1336;0.003759;37.778294;55.746936
10055;10055;4050;37.799834;55.753405;276;0.002949;37.801192;55.756024
10056;10056;3529;37.789275;55.753746;946;0.0027;37.786589;55.754023
10057;10057;3546;37.789625;55.753146;946;0.00316;37.786589;55.754023
10058;10058;3566;37.789971;55.75254;946;0.003692;37.786589;55.754023
10059;10059;960;37.788304;55.753023;946;0.001985;37.786589;55.754023
10060;10060;8931;37.787701;55.752747;946;0.001692;37.786589;55.754023
10061;10061;2503;37.786327;55.753142;946;0.000918;37.786589;55.754023
10062;10062;950;37.768244;55.747499;367;0.002334;37.770136;55.746131
10063;10063;3524;37.78669;55.752633;946;0.001393;37.786589;55.754023
10064;10064;2489;37.801309;55.753209;276;0.002816;37.801192;55.756024
10065;10065;3978;37.781301;55.750592;1120;0.001085;37.782041;55.749798
10066;10066;967;37.788481;55.752681;946;0.002319;37.786589;55.754023
10067;10067;2541;37.778025;55.750179;1336;0.003254;37.778294;55.746936
10068;10068;4266;37.771801;55.747907;367;0.002435;37.770136;55.746131
10069;10069;15432;37.773577;55.748442;367;0.004145;37.770136;55.746131
10070;10070;9518;37.77504;55.748006;1336;0.003425;37.778294;55.746936
10071;10071;4207;37.774323;55.747596;1336;0.004025;37.778294;55.746936
10072;10072;13239;37.814828;55.750781;1965;0.001579;37.813352;55.751342
10073;10073;1019;37.77728;55.750156;1336;0.003376;37.778294;55.746936
10074;10074;9913;37.770074;55.74781;367;0.00168;37.770136;55.746131
10075;10075;3668;37.827006;55.750866;1095;0.00361;37.82739;55.754457
10076;10076;3480;37.787025;55.752073;946;0.001997;37.786589;55.754023
10077;10077;3621;37.804626;55.752536;899;0.00147;37.804404;55.75399
10078;10078;3664;37.809095;55.751677;1965;0.004269;37.813352;55.751342
10079;10079;17177;37.810661;55.751309;1965;0.00269;37.813352;55.751342
10080;10080;3663;37.811673;55.75161;1965;0.001699;37.813352;55.751342
10081;10081;3679;37.811668;55.751331;1965;0.001683;37.813352;55.751342
10082;10082;16979;37.796594;55.751983;1426;0.005869;37.792691;55.7476
10083;10083;3560;37.801522;55.754618;276;0.001443;37.801192;55.756024
10084;10084;2484;37.802009;55.753413;899;0.002463;37.804404;55.75399
10085;10085;2281;37.807943;55.752315;900;0.003409;37.805016;55.754064
10086;10086;3688;37.809105;55.751957;1964;0.004266;37.813308;55.752697
10087;10087;3657;37.804624;55.752259;899;0.001744;37.804404;55.75399
10088;10088;3378;37.795266;55.754487;1663;0.003804;37.792849;55.757426
10089;10089;3381;37.796033;55.75399;1663;0.004684;37.792849;55.757426
10090;10090;3437;37.795149;55.753825;1663;0.004272;37.792849;55.757426
10091;10091;4341;37.802153;55.755037;276;0.001377;37.801192;55.756024
10092;10092;2761;37.795958;55.75331;1663;0.005157;37.792849;55.757426
10093;10093;3512;37.80235;55.754502;276;0.001912;37.801192;55.756024
10094;10094;8930;37.794261;55.753841;1663;0.003852;37.792849;55.757426
10095;10095;3538;37.793049;55.754166;1663;0.003265;37.792849;55.757426
10096;10096;3538;37.793351;55.75365;1663;0.003808;37.792849;55.757426
10097;10097;16420;37.817953;55.750251;902;0.004122;37.819334;55.746367
10098;10098;3523;37.793663;55.753114;1663;0.004387;37.792849;55.757426
10099;10099;17031;37.806521;55.751879;900;0.002653;37.805016;55.754064
10100;10100;26515;37.788798;55.75028;946;0.004345;37.786589;55.754023
10101;10101;12911;37.805595;55.752857;900;0.001338;37.805016;55.754064
10102;10102;7796;37.809914;55.752283;1964;0.003418;37.813308;55.752697
10103;10103;3523;37.800327;55.754764;276;0.001527;37.801192;55.756024
10104;10104;2567;37.800944;55.75536;276;0.000708;37.801192;55.756024
10105;10105;5416;37.779933;55.748699;1120;0.002376;37.782041;55.749798
10106;10106;8638;37.77712;55.748769;1336;0.002176;37.778294;55.746936
10107;10107;10479;37.571341;55.705616;641;0.001676;37.572533;55.706797
10108;10108;12026;37.5723;55.705099;641;0.001713;37.572533;55.706797
10109;10109;71;37.721851;55.798438;1959;0.003321;37.720972;55.801642
10110;10110;14029;37.719494;55.801644;1959;0.001477;37.720972;55.801642
10111;10111;2851;37.718503;55.803439;892;0.002257;37.716885;55.801866
10112;10112;2388;37.577616;55.73967;862;0.000768;37.577201;55.740317
10113;10113;2727;37.578732;55.740597;862;0.001557;37.577201;55.740317
10114;10114;1567;37.579402;55.741787;96;0.001141;37.580536;55.741919
10115;10115;718;37.578864;55.740936;862;0.001775;37.577201;55.740317
10116;10116;1843;37.57817;55.740894;862;0.001128;37.577201;55.740317
10117;10117;1371;37.656724;55.761877;854;0.001786;37.65558;55.760505
