"OBJECTID";"ADDRESS";"ID";"POINT_X";"POINT_Y";"OBJECTID_1";"IN_FID";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
1;"Москва, 11-я Парковая ул, д.24";1;37,806874;55,794695;1;1;1909;0,001039;37,806797;55,795732
2;"Москва, 11-я Парковая ул, д.26А";2;37,805850;55,795626;2;2;1909;0,000952;37,806797;55,795732
3;"Москва, 13-я Парковая ул, д.11";3;37,812138;55,795808;3;3;1908;0,003194;37,814725;55,793934
4;"Москва, 13-я Парковая ул, д.4";4;37,812893;55,794239;4;4;1908;0,001857;37,814725;55,793934
5;"Москва, 13-я Парковая ул, д.8/25";5;37,813100;55,795322;5;5;1908;0,002137;37,814725;55,793934
6;"Москва, 15-я Парковая ул, д.16, корп.1";6;37,819487;55,794740;6;6;840;0,003981;37,815758;55,796135
7;"Москва, 15-я Парковая ул, д.16, корп.2";7;37,820232;55,794796;7;7;840;0,004670;37,815758;55,796135
8;"Москва, 15-я Парковая ул, д.16, корп.3";8;37,821068;55,794806;8;8;1986;0,005105;37,821235;55,799909
9;"Москва, 15-я Парковая ул, д.18, корп.1";9;37,819478;55,796056;9;9;840;0,003720;37,815758;55,796135
10;"Москва, 15-я Парковая ул, д.18, корп.2";10;37,821077;55,795666;10;10;1986;0,004245;37,821235;55,799909
11;"Москва, 15-я Парковая ул, д.19";11;37,818606;55,794431;11;11;840;0,003318;37,815758;55,796135
12;"Москва, 15-я Парковая ул, д.20";12;37,819755;55,797144;12;12;1986;0,003135;37,821235;55,799909
13;"Москва, 15-я Парковая ул, д.23";13;37,818714;55,796051;13;13;840;0,002957;37,815758;55,796135
14;"Москва, Измайловский бульв., д.46";14;37,806021;55,796309;14;14;1909;0,000967;37,806797;55,795732
15;"Москва, Измайловский бульв., д.48";15;37,806936;55,796334;15;15;1909;0,000618;37,806797;55,795732
16;"Москва, Измайловский бульв., д.50";16;37,807773;55,796268;16;16;1909;0,001113;37,806797;55,795732
17;"Москва, Измайловский бульв., д.54";17;37,809947;55,796359;17;17;1907;0,001183;37,808852;55,795909
18;"Москва, Измайловский бульв., д.56";18;37,810881;55,796440;18;18;1907;0,002097;37,808852;55,795909
19;"Москва, Измайловский бульв., д.58";19;37,811878;55,796405;19;19;1907;0,003066;37,808852;55,795909
20;"Москва, Измайловский бульв., д.58/13";20;37,811878;55,796405;20;20;1907;0,003066;37,808852;55,795909
21;"Москва, Измайловский бульв., д.60/10";21;37,813630;55,796597;21;21;840;0,002177;37,815758;55,796135
22;"Москва, Измайловский бульв., д.64";22;37,816971;55,796410;22;22;840;0,001243;37,815758;55,796135
23;"Москва, Измайловский бульв., д.66";23;37,817852;55,796613;23;23;840;0,002147;37,815758;55,796135
24;"Москва, Измайловский бульв., д.67, корп.1";24;37,815669;55,797387;24;24;840;0,001255;37,815758;55,796135
25;"Москва, Измайловский бульв., д.72";25;37,820942;55,796628;25;25;1986;0,003294;37,821235;55,799909
26;"Москва, Измайловский бульв., д.77";26;37,822954;55,797184;26;26;1986;0,003221;37,821235;55,799909
