OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
45008;Москва, бульв. Матроса Железняка, д.10;41728;37.526132;55.828464;1165;0.00102;37.527094;55.828808
45009;Москва, бульв. Матроса Железняка, д.11;41729;37.524309;55.829193;1165;0.002811;37.527094;55.828808
45010;Москва, бульв. Матроса Железняка, д.11А;41730;37.523411;55.829283;1165;0.003713;37.527094;55.828808
45011;Москва, бульв. Матроса Железняка, д.13;41731;37.524901;55.829455;1165;0.002285;37.527094;55.828808
45012;Москва, бульв. Матроса Железняка, д.13А;41732;37.524148;55.829997;1165;0.003176;37.527094;55.828808
45013;Москва, бульв. Матроса Железняка, д.14, корп.1;41733;37.526249;55.829648;1165;0.00119;37.527094;55.828808
45014;Москва, бульв. Матроса Железняка, д.14, корп.2;41734;37.526456;55.829324;1165;0.000821;37.527094;55.828808
45015;Москва, бульв. Матроса Железняка, д.15/9;41735;37.525548;55.830447;1165;0.002252;37.527094;55.828808
45016;Москва, бульв. Матроса Железняка, д.16;41736;37.526528;55.830245;1165;0.001544;37.527094;55.828808
45017;Москва, бульв. Матроса Железняка, д.18/12;41737;37.527381;55.831903;1165;0.003108;37.527094;55.828808
45018;Москва, бульв. Матроса Железняка, д.7/20;41738;37.524363;55.827625;1067;0.002746;37.523881;55.824922
45019;Москва, бульв. Матроса Железняка, д.8;41739;37.526204;55.827499;1165;0.001582;37.527094;55.828808
45020;Москва, бульв. Матроса Железняка, д.9;41740;37.52474;55.828632;1165;0.00236;37.527094;55.828808
45021;Москва, бульв. Матроса Железняка, д.9А;41741;37.523131;55.82856;1067;0.003715;37.523881;55.824922
45022;Москва, Вучетича ул, д.10, корп.1;41742;37.559459;55.809777;770;0.001574;37.560575;55.808666
45023;Москва, Астрадамская ул, д.1, корп.1;41743;37.565731;55.810653;1797;0.004188;37.568842;55.813458
45024;Москва, Астрадамская ул, д.1, корп.2;41744;37.564832;55.810653;770;0.004697;37.560575;55.808666
45025;Москва, Астрадамская ул, д.1, корп.3;41745;37.563987;55.810435;770;0.003844;37.560575;55.808666
45026;Москва, Астрадамская ул, д.1, корп.4;41746;37.56334;55.810267;770;0.003196;37.560575;55.808666
45027;Москва, Вучетича ул, д.10;41747;37.559739;55.809276;770;0.001035;37.560575;55.808666
45028;Москва, Вучетича ул, д.11, корп.1;41748;37.558302;55.809858;770;0.002567;37.560575;55.808666
45029;Москва, Вучетича ул, д.11, корп.2;41749;37.557655;55.809453;770;0.003024;37.560575;55.808666
45030;Москва, Вучетича ул, д.12;41750;37.560977;55.809726;770;0.001134;37.560575;55.808666
45031;Москва, Вучетича ул, д.14;41751;37.55929;55.810232;770;0.002026;37.560575;55.808666
45032;Москва, Вучетича ул, д.4;41752;37.56096;55.807632;770;0.001102;37.560575;55.808666
45033;Москва, Вучетича ул, д.5;41753;37.559774;55.807526;770;0.001392;37.560575;55.808666
45034;Москва, Вучетича ул, д.7;41754;37.55901;55.808122;770;0.001655;37.560575;55.808666
45035;Москва, Вучетича ул, д.8;41755;37.561248;55.80915;770;0.000828;37.560575;55.808666
45036;Москва, Вучетича ул, д.9, корп.1;41756;37.558885;55.808644;770;0.00169;37.560575;55.808666
45037;Москва, Вучетича ул, д.9, корп.2;41757;37.55804;55.808785;770;0.002536;37.560575;55.808666
45038;Москва, Дмитровский проезд, д.14;41758;37.56883;55.808264;1798;0.004765;37.56927;55.81301
45039;Москва, Дмитровский проезд, д.16;41759;37.566647;55.808026;1798;0.005631;37.56927;55.81301
45040;Москва, Дмитровский проезд, д.16, корп.2;41760;37.566252;55.808451;1798;0.005466;37.56927;55.81301
45041;Москва, Дмитровский проезд, д.18;41761;37.564302;55.807643;770;0.003864;37.560575;55.808666
45042;Москва, Дмитровский проезд, д.20, корп.1;41762;37.562424;55.807572;770;0.002149;37.560575;55.808666
45043;Москва, Дмитровский проезд, д.20, корп.2;41763;37.562335;55.807303;770;0.002225;37.560575;55.808666
45044;Москва, Соломенной Сторожки проезд, д.10;41764;37.563187;55.809049;770;0.00264;37.560575;55.808666
45045;Москва, Соломенной Сторожки проезд, д.10А;41765;37.56299;55.809726;770;0.002638;37.560575;55.808666
45046;Москва, Соломенной Сторожки проезд, д.12А;41766;37.562182;55.809407;770;0.00177;37.560575;55.808666
45047;Москва, Соломенной Сторожки проезд, д.14;41767;37.56185;55.808355;770;0.001312;37.560575;55.808666
45048;Москва, Соломенной Сторожки проезд, д.16А;41768;37.560368;55.807805;770;0.000885;37.560575;55.808666
45049;Москва, Соломенной Сторожки проезд, д.3;41769;37.566655;55.809473;1798;0.004397;37.56927;55.81301
45050;Москва, Соломенной Сторожки проезд, д.3А;41770;37.566494;55.809965;1798;0.00412;37.56927;55.81301
45051;Москва, Соломенной Сторожки проезд, д.5;41771;37.566027;55.809119;1798;0.005064;37.56927;55.81301
45052;Москва, Соломенной Сторожки проезд, д.5, корп.1;41772;37.56484;55.808781;770;0.004267;37.560575;55.808666
45053;Москва, Соломенной Сторожки проезд, д.5А;41773;37.565891;55.809605;1798;0.004795;37.56927;55.81301
45054;Москва, Соломенной Сторожки проезд, д.6;41774;37.565398;55.809898;1797;0.004952;37.568842;55.813458
45055;Москва, Соломенной Сторожки проезд, д.8;41775;37.564202;55.809246;770;0.003674;37.560575;55.808666
45056;Москва, Тимирязевская ул, д.11;41776;37.569144;55.809544;1798;0.003467;37.56927;55.81301
45057;Москва, Тимирязевская ул, д.11, корп.1;41777;37.568677;55.810106;1798;0.002963;37.56927;55.81301
45058;Москва, Тимирязевская ул, д.13;41778;37.5675;55.809903;1798;0.003574;37.56927;55.81301
45059;Москва, Тимирязевская ул, д.15;41779;37.568272;55.81054;1798;0.002662;37.56927;55.81301
45060;Москва, Тимирязевская ул, д.7;41780;37.569845;55.808639;1798;0.004408;37.56927;55.81301
45061;Москва, Тимирязевская ул, д.9;41781;37.568155;55.808901;1798;0.004256;37.56927;55.81301
45062;Москва, Чуксин туп, д.2;41782;37.559415;55.806924;770;0.002092;37.560575;55.808666
45063;Москва, Чуксин туп, д.3;41783;37.559307;55.806058;770;0.002898;37.560575;55.808666
45064;Москва, Чуксин туп, д.4;41784;37.558302;55.807359;770;0.002621;37.560575;55.808666
45065;Москва, Чуксин туп, д.5;41785;37.558167;55.80617;770;0.003467;37.560575;55.808666
45066;Москва, Чуксин туп, д.7;41786;37.557385;55.805745;770;0.004324;37.560575;55.808666
45067;Москва, Соломенной Сторожки проезд, д.14А;41787;37.56185;55.808355;770;0.001312;37.560575;55.808666
45068;Москва, Соломенной Сторожки проезд, д.1А;41788;37.566655;55.809473;1798;0.004397;37.56927;55.81301
45069;Москва, Соломенной Сторожки проезд, д.4/16;41789;37.565398;55.809898;1797;0.004952;37.568842;55.813458
45070;Москва, Дмитровский проезд, д.4, корп.1;41790;37.577093;55.811138;1914;0.002095;37.575291;55.812206
