"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
1;"Москва, Пятницкая ул, д.47, стр.4";" ";" ";" ";"Россия, Москва, Пятницкая улица, 47с4";7456;37,628873;55,736887;1033;0,001899;37,629695;55,735176
2;"Москва, Садовническая ул, д.53";" ";" ";" ";"Россия, Москва, Садовническая улица, 53";7457;37,639734;55,742366;1632;0,002681;37,639775;55,739686
3;"Москва, Старомонетный пер, д.11";" ";" ";" ";"Россия, Москва, Старомонетный переулок, 11";7458;37,618426;55,741114;242;0,004129;37,618077;55,737000
4;"Москва, 1-й Монетчиковский пер, д.8";" ";" ";" ";"Россия, Москва, 1-й Монетчиковский переулок, 8";7459;37,628469;55,732484;1033;0,002958;37,629695;55,735176
5;"Москва, 1-й Новокузнецкий пер, д.10, стр.1";" ";" ";" ";"Россия, Москва, 1-й Новокузнецкий переулок, 10с1";7460;37,631378;55,735059;1033;0,001688;37,629695;55,735176
6;"Москва, 1-й Новокузнецкий пер, д.11";" ";" ";" ";"Россия, Москва, 1-й Новокузнецкий переулок, 11";7461;37,631163;55,734794;1033;0,001517;37,629695;55,735176
7;"Москва, 1-й Новокузнецкий пер, д.13";" ";" ";" ";"Россия, Москва, 1-й Новокузнецкий переулок, 13";7462;37,630751;55,734657;1033;0,001176;37,629695;55,735176
8;"Москва, 1-й Новокузнецкий пер, д.5-7";" ";" ";" ";"Россия, Москва, 1-й Новокузнецкий переулок, 5-7";7463;37,632305;55,734678;1634;0,002095;37,634393;55,734853
9;"Москва, 2-й Кадашёвский пер, д.16, стр.1";" ";" ";" ";"Россия, Москва, 2-й Кадашевский переулок, 16с1";7464;37,621901;55,743745;1493;0,000687;37,621435;55,744250
10;"Москва, 2-й Монетчиковский пер, д.2/12";" ";" ";" ";"Россия, Москва, 2-й Монетчиковский переулок, 2/12";7465;37,628926;55,731712;1033;0,003547;37,629695;55,735176
11;"Москва, 2-й Раушский пер, д.3";" ";" ";" ";"Россия, Москва, 2-й Раушский переулок, 3";7466;37,634685;55,746754;1024;0,003986;37,637190;55,743654
12;"Москва, 3-й Кадашёвский пер, д.4";" ";" ";" ";"Россия, Москва, 3-й Кадашевский переулок, 4";7467;37,624201;55,742406;558;0,001996;37,626074;55,743102
13;"Москва, 3-й Кадашёвский пер, д.5, стр.1";" ";" ";" ";"Россия, Москва, 3-й Кадашевский переулок, 5с1";7468;37,623635;55,741911;22;0,002670;37,626287;55,742235
14;"Москва, 3-й Кадашёвский пер, д.5, стр.5";" ";" ";" ";"Россия, Москва, 3-й Кадашевский переулок, 5с5";7469;37,623752;55,741597;22;0,002613;37,626287;55,742235
15;"Москва, 3-й Кадашёвский пер, д.6/13, стр.1";" ";" ";" ";"Россия, Москва, 3-й Кадашевский переулок, 6/13с1";7470;37,622665;55,742119;1493;0,002461;37,621435;55,744250
16;"Москва, 3-й Монетчиковский пер, д.10/1";" ";" ";" ";"Россия, Москва, 3-й Монетчиковский переулок, 10/1";7471;37,629071;55,732083;1033;0,003155;37,629695;55,735176
17;"Москва, 3-й Монетчиковский пер, д.15";" ";" ";" ";"Россия, Москва, 3-й Монетчиковский переулок, 15";7472;37,629987;55,731470;1033;0,003717;37,629695;55,735176
18;"Москва, 3-й Монетчиковский пер, д.17";" ";" ";" ";"Россия, Москва, 3-й Монетчиковский переулок, 17";7473;37,629816;55,731074;1033;0,004102;37,629695;55,735176
19;"Москва, 4-й Монетчиковский пер, д.1/6, стр.1";" ";" ";" ";"Россия, Москва, 4-й Монетчиковский переулок, 1/6с1";7474;37,631756;55,733148;1633;0,002777;37,634133;55,731710
20;"Москва, 4-й Монетчиковский пер, д.1/6, стр.3";" ";" ";" ";"Россия, Москва, 4-й Монетчиковский переулок, 1/6с3";7475;37,630875;55,732879;1033;0,002582;37,629695;55,735176
21;"Москва, 4-й Монетчиковский пер, д.9, стр.1";" ";" ";" ";"Россия, Москва, 4-й Монетчиковский переулок, 9с1";7476;37,629816;55,732742;1033;0,002437;37,629695;55,735176
22;"Москва, 5-й Монетчиковский пер, д.13";" ";" ";" ";"Россия, Москва, 5-й Монетчиковский переулок, 13";7477;37,630122;55,731814;1033;0,003388;37,629695;55,735176
23;"Москва, 5-й Монетчиковский пер, д.14";" ";" ";" ";"Россия, Москва, 5-й Монетчиковский переулок, 14";7478;37,630929;55,732347;1033;0,003086;37,629695;55,735176
24;"Москва, 5-й Монетчиковский пер, д.16";" ";" ";" ";"Россия, Москва, 5-й Монетчиковский переулок, 16";7479;37,630507;55,732326;1033;0,002962;37,629695;55,735176
25;"Москва, 5-й Монетчиковский пер, д.18";" ";" ";" ";"Россия, Москва, 5-й Монетчиковский переулок, 18";7480;37,630301;55,732300;1033;0,002938;37,629695;55,735176
26;"Москва, 5-й Монетчиковский пер, д.20, стр.1";" ";" ";" ";"Россия, Москва, 5-й Монетчиковский переулок, 20с1";7481;37,630050;55,732230;1033;0,002967;37,629695;55,735176
27;"Москва, 5-й Монетчиковский пер, д.20, стр.3";" ";" ";" ";"Россия, Москва, 5-й Монетчиковский переулок, 20с3";7482;37,630005;55,732413;1033;0,002780;37,629695;55,735176
28;"Москва, 5-й Монетчиковский пер, д.6, стр.1";" ";" ";" ";"Россия, Москва, 5-й Монетчиковский переулок, 6с1";7483;37,633229;55,732722;1633;0,001356;37,634133;55,731710
29;"Москва, 5-й Монетчиковский пер, д.8/10";" ";" ";" ";"Россия, Москва, 5-й Монетчиковский переулок, 8/10";7484;37,632241;55,732655;1633;0,002114;37,634133;55,731710
30;"Москва, 6-й Монетчиковский пер, д.15/17";" ";" ";" ";"Россия, Москва, 6-й Монетчиковский переулок, 15/17";7485;37,633419;55,731926;1633;0,000745;37,634133;55,731710
31;"Москва, 6-й Монетчиковский пер, д.19";" ";" ";" ";"Россия, Москва, 6-й Монетчиковский переулок, 19";7486;37,633463;55,731565;1633;0,000684;37,634133;55,731710
32;"Москва, 6-й Монетчиковский пер, д.5";" ";" ";" ";"Россия, Москва, 6-й Монетчиковский переулок, 5";7487;37,632583;55,733476;1634;0,002273;37,634393;55,734853
33;"Москва, Большая Ордынка ул, д.11/6, стр.1";" ";" ";" ";"Россия, Москва, улица Большая Ордынка, 11/6с1";7488;37,625396;55,744038;558;0,001155;37,626074;55,743102
