OBJECTID;ADDRESS;settlement;street;building_n;geocoded;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
2501;Москва, Хамовнический Вал ул, д.4; ; ; ;Россия, Москва, улица Хамовнический Вал, 4;9956;37.576779;55.716752;14;0.000055;37.576798;55.716804
2502;Москва, Хамовнический Вал ул, д.8; ; ; ;Россия, Москва, улица Хамовнический Вал, 8;9957;37.574919;55.716788;14;0.001878;37.576798;55.716804
2503;Москва, Благовещенский пер, д.5; ; ; ;Россия, Москва, Благовещенский переулок, 5;9958;37.598545;55.767913;1905;0.002536;37.600646;55.769336
2504;Москва, Большая Дмитровка ул, д.1; ; ; ;Россия, Москва, улица Большая Дмитровка, 1;9959;37.616439;55.758923;1532;0.006117;37.614366;55.764679
2505;Москва, Большая Дмитровка ул, д.14; ; ; ;Россия, Москва, улица Большая Дмитровка, 14;9960;37.614446;55.761776;1532;0.002904;37.614366;55.764679
2506;Москва, Большая Дмитровка ул, д.16, корп.1; ; ; ;Россия, Москва, улица Большая Дмитровка, 16к1;9961;37.614221;55.761967;1532;0.002714;37.614366;55.764679
2507;Москва, Большая Дмитровка ул, д.2; ; ; ;Россия, Москва, улица Большая Дмитровка, 2;9962;37.617733;55.758766;1532;0.006804;37.614366;55.764679
2508;Москва, Большая Дмитровка ул, д.21/7; ; ; ;Россия, Москва, улица Большая Дмитровка, 21/7;9963;37.610287;55.765392;2063;0.002178;37.609802;55.763268
2509;Москва, Большая Дмитровка ул, д.5А; ; ; ;Россия, Москва, улица Большая Дмитровка, 5а;9964;37.61537;55.759709;1532;0.00507;37.614366;55.764679
2510;Москва, Воротниковский пер, д.11, стр.1; ; ; ;Россия, Москва, Воротниковский переулок, 11с1;9965;37.601286;55.770416;1905;0.001255;37.600646;55.769336
2511;Москва, Воротниковский пер, д.11, стр.2; ; ; ;Россия, Москва, Воротниковский переулок, 11с2;9966;37.600917;55.770223;1905;0.000927;37.600646;55.769336
2512;Москва, Воротниковский пер, д.11, стр.3; ; ; ;Россия, Москва, Воротниковский переулок, 11с3;9967;37.600855;55.77043;1905;0.001114;37.600646;55.769336
2513;Москва, Воротниковский пер, д.2/11; ; ; ;Россия, Москва, Воротниковский переулок, 2/11;9968;37.60319;55.769038;1676;0.00004;37.60315;55.769032
2514;Москва, Воротниковский пер, д.4; ; ; ;Россия, Москва, Воротниковский переулок, 4;9969;37.602939;55.769356;1676;0.000387;37.60315;55.769032
2515;Москва, Воротниковский пер, д.5/9; ; ; ;Россия, Москва, Воротниковский переулок, 5/9;9970;37.601851;55.769519;1675;0.000979;37.602111;55.768574
2516;Москва, Воротниковский пер, д.7, стр.1; ; ; ;Россия, Москва, Воротниковский переулок, 7с1;9971;37.600746;55.769641;1905;0.000321;37.600646;55.769336
2517;Москва, Воротниковский пер, д.7, стр.2; ; ; ;Россия, Москва, Воротниковский переулок, 7с2;9972;37.600512;55.769757;1905;0.000441;37.600646;55.769336
2518;Москва, Воротниковский пер, д.7, стр.3; ; ; ;Россия, Москва, Воротниковский переулок, 7с3;9973;37.600144;55.769838;1905;0.000709;37.600646;55.769336
2519;Москва, Воротниковский пер, д.7, стр.4; ; ; ;Россия, Москва, Воротниковский переулок, 7с4;9974;37.60107;55.76997;1905;0.000762;37.600646;55.769336
2520;Москва, Воротниковский пер, д.7, стр.5; ; ; ;Россия, Москва, Воротниковский переулок, 7с5;9975;37.601519;55.769979;1905;0.001084;37.600646;55.769336
2521;Москва, Воротниковский пер, д.8, стр.1; ; ; ;Россия, Москва, Воротниковский переулок, 8с1;9976;37.602005;55.770284;1905;0.001656;37.600646;55.769336
2522;Москва, Воротниковский пер, д.8, стр.2; ; ; ;Россия, Москва, Воротниковский переулок, 8с2;9977;37.60222;55.77043;1676;0.001679;37.60315;55.769032
2523;Москва, Воротниковский пер, д.8, стр.4; ; ; ;Россия, Москва, Воротниковский переулок, 8с4;9978;37.602381;55.770253;1676;0.001443;37.60315;55.769032
2524;Москва, Глинищевский пер, д.5/7; ; ; ;Россия, Москва, Глинищевский переулок, 5/7;9979;37.610799;55.76363;2063;0.00106;37.609802;55.763268
2525;Москва, Дегтярный пер, д.15, корп.1; ; ; ;Россия, Москва, Дегтярный переулок, 15к1;9980;37.604322;55.769047;1676;0.001172;37.60315;55.769032
