"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"12456";"288";"416"
"12457";"459";"640"
"12458";"500";"706"
"12459";"361";"473"
"12460";"472";"621"
"12461";"381";"508"
"12462";"442";"602"
"12463";"470";"645"
"12464";"213";"301"
"12465";"330";"455"
"12466";"71";"108"
"12467";"89";"133"
"12468";"166";"244"
"12469";"214";"316"
"12470";"298";"412"
"12471";"377";"505"
"12472";"273";"387"
"12473";"369";"537"
"12474";"237";"337"
"12475";"176";"249"
"12476";"182";"259"
"12477";"238";"329"
"12478";"187";"258"
"12479";"234";"323"
"12480";"279";"387"
"12481";"187";"253"
"12482";"407";"588"
"12483";"69";"99"
"12484";"48";"68"
"12485";"36";"49"
"12486";"347";"500"
"12487";"556";"747"
"12488";"278";"391"
"12489";"156";"212"
"12490";"456";"636"
"12491";"357";"493"
"12492";"515";"721"
"12493";"249";"354"
"12494";"115";"165"
"12495";"33";"46"
"12496";"407";"532"
"12497";"186";"248"
"12498";"180";"237"
"12499";"126";"171"
"12500";"284";"376"
"12501";"367";"491"
"12502";"347";"482"
"12503";"341";"451"
"12504";"355";"492"
"12505";"423";"576"
"12506";"171";"232"
"12507";"215";"289"
"12508";"222";"304"
"12509";"242";"329"
"12510";"264";"361"
"12511";"195";"265"
"12512";"211";"287"
"12513";"312";"435"
"12514";"21";"30"
"12515";"156";"234"
"12516";"156";"234"
"12517";"272";"396"
"12518";"225";"331"
"12519";"5";"6"
"12520";"330";"455"
"12521";"272";"386"
"12522";"184";"267"
"12523";"338";"478"
"12524";"450";"641"
"12525";"266";"376"
"12526";"341";"490"
"12527";"352";"506"
"12528";"222";"322"
"12529";"303";"426"
"12530";"335";"452"
"12531";"263";"368"
"12532";"303";"422"
"12533";"264";"368"
"12534";"272";"377"
"12535";"115";"160"
"12536";"176";"253"
"12537";"207";"292"
"12538";"253";"358"
"12539";"335";"452"
"12540";"53";"73"
"12541";"221";"314"
"12542";"151";"218"
"12543";"52";"72"
"12544";"0";"0"
"12545";"73";"102"
"12546";"0";"0"
"12547";"141";"203"
"12548";"68";"99"
"12549";"202";"286"
"12550";"95";"139"
"12551";"210";"290"
"12552";"448";"604"
"12553";"485";"658"
"12554";"435";"600"
"12555";"391";"537"
"12556";"386";"527"
"12557";"463";"637"
"12558";"366";"504"
"12559";"180";"261"
"12560";"22";"33"
"12561";"234";"335"
"12562";"242";"344"
"12563";"287";"405"
"12564";"287";"405"
"12565";"206";"294"
"12566";"206";"294"
"12567";"266";"366"
"12568";"302";"421"
"12569";"318";"445"
"12570";"420";"586"
"12571";"402";"561"
"12572";"629";"880"
"12573";"561";"782"
"12574";"344";"473"
"12575";"311";"419"
"12576";"330";"444"
"12577";"485";"644"
"12578";"579";"783"
"12579";"586";"795"
"12580";"456";"623"
"12581";"559";"748"
"12582";"617";"833"
"12583";"616";"831"
"12584";"676";"906"
"12585";"511";"695"
"12586";"717";"967"
"12587";"811";"1099"
"12588";"477";"665"
"12589";"791";"1074"
"12590";"480";"669"
"12591";"449";"620"
"12592";"863";"1192"
"12593";"608";"830"
"12594";"554";"775"
"12595";"541";"740"
"12596";"847";"1152"
"12597";"854";"1161"
"12598";"781";"1063"
"12599";"758";"1023"
"12600";"750";"1032"
