"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"1";"175";"249"
"2";"52";"68"
"3";"391";"548"
"4";"107";"154"
"5";"230";"326"
"6";"365";"496"
"7";"397";"536"
"8";"677";"895"
"9";"359";"489"
"10";"592";"782"
"11";"456";"622"
"12";"395";"520"
"13";"297";"409"
"14";"118";"160"
"15";"159";"217"
"16";"119";"160"
"17";"106";"142"
"18";"111";"148"
"19";"120";"168"
"20";"120";"168"
"21";"157";"211"
"22";"215";"296"
"23";"231";"318"
"24";"365";"503"
"25";"511";"675"
"26";"418";"546"
"27";"292";"388"
"28";"264";"370"
"29";"349";"490"
"30";"63";"91"
"31";"111";"129"
"32";"3";"4"
"33";"112";"145"
"34";"214";"270"
"35";"468";"627"
"36";"538";"718"
"37";"279";"392"
"38";"336";"450"
"39";"23";"35"
"40";"81";"121"
"41";"28";"39"
"42";"89";"124"
"43";"127";"177"
"44";"315";"442"
"45";"165";"227"
"46";"115";"156"
"47";"273";"375"
"48";"289";"398"
"49";"211";"296"
"50";"139";"200"
"51";"182";"258"
"52";"187";"268"
"53";"157";"226"
"54";"100";"139"
"55";"60";"83"
"56";"220";"301"
"57";"124";"165"
"58";"288";"392"
"59";"288";"391"
"60";"315";"430"
"61";"49";"66"
"62";"226";"316"
"63";"318";"443"
"64";"362";"511"
"65";"205";"290"
"66";"251";"356"
"67";"290";"421"
"68";"290";"418"
"69";"35";"49"
"70";"86";"126"
"71";"86";"125"
"72";"78";"109"
"73";"78";"109"
"74";"78";"109"
"75";"148";"205"
"76";"205";"273"
"77";"243";"326"
"78";"247";"327"
"79";"216";"298"
"80";"134";"180"
"81";"75";"101"
"82";"59";"81"
"83";"97";"138"
"84";"290";"402"
"85";"336";"473"
"86";"109";"158"
"87";"66";"97"
"88";"177";"252"
"89";"223";"316"
"90";"120";"174"
"91";"226";"320"
"92";"208";"294"
"93";"208";"294"
"94";"228";"318"
"95";"373";"527"
"96";"32";"45"
"97";"224";"319"
"98";"32";"39"
"99";"100";"141"
"100";"182";"278"
"101";"151";"232"
"102";"216";"300"
"103";"216";"300"
"104";"216";"300"
"105";"216";"300"
"106";"216";"300"
"107";"191";"253"
"108";"230";"305"
"109";"263";"352"
"110";"296";"395"
"111";"128";"196"
"112";"296";"424"
"113";"419";"585"
"114";"395";"568"
"115";"291";"402"
"116";"275";"380"
