"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"31721";"146";"201"
"31722";"232";"327"
"31723";"249";"372"
"31724";"149";"204"
"31725";"173";"241"
"31726";"337";"476"
"31727";"222";"304"
"31728";"227";"321"
"31729";"333";"509"
"31730";"586";"853"
"31731";"490";"721"
"31732";"427";"629"
"31733";"539";"734"
"31734";"371";"507"
"31735";"442";"663"
"31736";"549";"810"
"31737";"83";"109"
"31738";"340";"469"
"31739";"584";"803"
"31740";"610";"845"
"31741";"485";"661"
"31742";"433";"587"
"31743";"367";"501"
"31744";"335";"457"
"31745";"172";"237"
"31746";"170";"228"
"31747";"182";"256"
"31748";"260";"361"
"31749";"296";"388"
"31750";"540";"683"
"31751";"348";"462"
"31752";"514";"666"
"31753";"406";"544"
"31754";"536";"707"
"31755";"581";"780"
"31756";"485";"699"
"31757";"512";"702"
"31758";"247";"319"
"31759";"515";"709"
"31760";"372";"533"
"31761";"461";"675"
"31762";"301";"440"
"31763";"384";"529"
"31764";"325";"486"
"31765";"219";"325"
"31766";"92";"144"
"31767";"290";"442"
"31768";"191";"292"
"31769";"206";"311"
"31770";"101";"143"
"31771";"269";"359"
"31772";"201";"273"
"31773";"457";"596"
"31774";"491";"653"
"31775";"508";"676"
"31776";"270";"399"
"31777";"156";"204"
"31778";"91";"121"
"31779";"49";"72"
"31780";"155";"202"
"31781";"89";"115"
"31782";"26";"34"
"31783";"359";"469"
"31784";"182";"234"
"31785";"361";"485"
"31786";"223";"289"
"31787";"436";"598"
"31788";"433";"589"
"31789";"410";"581"
"31790";"410";"581"
"31791";"272";"374"
"31792";"245";"345"
"31793";"539";"734"
"31794";"285";"435"
"31795";"447";"649"
"31796";"517";"695"
"31797";"598";"839"
"31798";"598";"839"
"31799";"9255";"12691"
"31800";"9244";"12675"
"31801";"9195";"12612"
"31802";"9192";"12607"
"31803";"9159";"12561"
"31804";"9181";"12592"
"31805";"9160";"12562"
"31806";"9139";"12533"
"31807";"9139";"12533"
"31808";"9139";"12533"
"31809";"9102";"12484"
"31810";"9102";"12484"
"31811";"9059";"12424"
"31812";"9059";"12424"
"31813";"9062";"12426"
"31814";"9267";"12709"
"31815";"9255";"12691"
"31816";"9267";"12709"
"31817";"9287";"12737"
"31818";"9313";"12777"
"31819";"9335";"12805"
"31820";"9012";"12356"
"31821";"8991";"12327"
"31822";"8992";"12327"
"31823";"8957";"12279"
"31824";"8977";"12306"
"31825";"9267";"12709"
"31826";"8950";"12270"
"31827";"8962";"12286"
"31828";"9255";"12691"
"31829";"9139";"12533"
"31830";"9267";"12709"
"31831";"9287";"12737"
"31832";"8978";"12308"
"31833";"8901";"12202"
"31834";"8956";"12278"
"31835";"8949";"12268"
"31836";"8926";"12236"
"31837";"8949";"12268"
"31838";"9267";"12709"
"31839";"9287";"12737"
"31840";"9287";"12737"
"31841";"9243";"12674"
"31842";"9273";"12718"
"31843";"8906";"12208"
"31844";"8877";"12167"
"31845";"8877";"12167"
"31846";"8806";"12071"
"31847";"8788";"12047"
"31848";"8852";"12134"
"31849";"8859";"12144"
"31850";"8840";"12115"
"31851";"8806";"12070"
"31852";"8869";"12159"
"31853";"8886";"12173"
"31854";"8881";"12166"
"31855";"8884";"12170"
"31856";"8886";"12173"
"31857";"9320";"12785"
"31858";"9320";"12786"
"31859";"9322";"12789"
"31860";"9292";"12744"
"31861";"9330";"12799"
"31862";"8910";"12203"
"31863";"8915";"12210"
"31864";"8916";"12210"
"31865";"8900";"12190"
"31866";"9313";"12777"
"31867";"9313";"12777"
"31868";"9267";"12712"
"31869";"9313";"12777"
"31870";"9315";"12779"
"31871";"9332";"12801"
"31872";"9260";"12703"
"31873";"9335";"12805"
"31874";"9258";"12700"
"31875";"9256";"12696"
"31876";"9242";"12676"
"31877";"9226";"12655"
"31878";"9255";"12691"
"31879";"9267";"12709"
"31880";"356";"509"
"31881";"319";"416"
"31882";"427";"581"
"31883";"491";"655"
"31884";"454";"619"
"31885";"488";"654"
"31886";"538";"727"
"31887";"575";"773"
"31888";"203";"268"
"31889";"609";"814"
"31890";"621";"831"
"31891";"688";"905"
"31892";"345";"448"
"31893";"351";"475"
"31894";"376";"497"
"31895";"326";"436"
"31896";"417";"555"
"31897";"369";"500"
"31898";"452";"605"
"31899";"113";"162"
"31900";"240";"341"
"31901";"405";"561"
"31902";"1757";"2394"
"31903";"1710";"2313"
"31904";"1668";"2253"
"31905";"1427";"1906"
"31906";"1098";"1500"
"31907";"1132";"1543"
"31908";"1147";"1564"
"31909";"1629";"2197"
"31910";"1610";"2166"
"31911";"1550";"2081"
"31912";"1504";"2014"
"31913";"1488";"1993"
"31914";"1498";"2009"
"31915";"1476";"1978"
"31916";"9130";"12524"
"31917";"9025";"12377"
"31918";"9031";"12385"
"31919";"9072";"12439"
"31920";"9059";"12420"
"31921";"9185";"12589"
"31922";"9219";"12637"
"31923";"9293";"12732"
"31924";"9293";"12732"
"31925";"9293";"12732"
"31926";"328";"454"
"31927";"219";"308"
"31928";"275";"379"
"31929";"295";"409"
"31930";"179";"239"
"31931";"81";"116"
"31932";"130";"186"
"31933";"148";"211"
"31934";"151";"215"
"31935";"652";"887"
"31936";"714";"967"
"31937";"686";"929"
"31938";"662";"898"
"31939";"587";"800"
"31940";"585";"798"
"31941";"631";"857"
"31942";"633";"865"
"31943";"541";"734"
"31944";"904";"1222"
"31945";"609";"814"
"31946";"450";"629"
"31947";"326";"428"
"31948";"253";"350"
"31949";"68";"80"
"31950";"306";"428"
"31951";"334";"465"
"31952";"287";"397"
"31953";"354";"490"
"31954";"206";"310"
"31955";"203";"311"
"31956";"463";"651"
"31957";"369";"515"
"31958";"216";"309"
"31959";"320";"458"
"31960";"57";"84"
"31961";"33";"46"
"31962";"64";"80"
"31963";"398";"565"
"31964";"441";"617"
"31965";"514";"707"
"31966";"548";"765"
"31967";"712";"989"
"31968";"775";"1059"
"31969";"868";"1167"
"31970";"819";"1099"
"31971";"842";"1117"
"31972";"485";"683"
"31973";"444";"626"
"31974";"207";"281"
"31975";"86";"128"
"31976";"53";"76"
"31977";"71";"101"
"31978";"230";"328"
"31979";"126";"181"
"31980";"180";"261"
"31981";"321";"422"
"31982";"247";"357"
"31983";"269";"363"
"31984";"114";"151"
"31985";"187";"250"
"31986";"452";"642"
"31987";"628";"833"
"31988";"280";"394"
"31989";"254";"350"
"31990";"142";"179"
