OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y;NEAR_FC
1;Москва, Куусинена ул, д.4А;40165;37.516602;55.780278;115;0.002871;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2;Москва, Полины Осипенко ул, д.1, корп.1;40166;37.536122;55.778882;31;0.006913;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
3;Москва, Полины Осипенко ул, д.1, корп.2;40167;37.536122;55.778882;31;0.006913;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
4;Москва, Полины Осипенко ул, д.1, корп.3;40168;37.536122;55.778882;31;0.006913;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
5;Москва, Полины Осипенко ул, д.1, корп.4;40169;37.536122;55.778882;31;0.006913;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
6;Москва, Полины Осипенко ул, д.1, корп.5;40170;37.536122;55.778882;31;0.006913;37.52924;55.778221;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
7;Москва, Авиаконструктора Сухого ул, д.1, стр.1;40171;37.543964;55.786145;122;0.009942;37.545111;55.796022;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
8;Москва, Берёзовой Рощи проезд, д.12;40172;37.520411;55.791176;96;0.005333;37.520611;55.796507;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
9;Москва, Берёзовой Рощи проезд, д.3, корп.1;40173;37.519;55.78652;140;0.00635;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
10;Москва, Берёзовой Рощи проезд, д.3, корп.2;40174;37.518505;55.78734;140;0.006335;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
11;Москва, Берёзовой Рощи проезд, д.3, стр.1;40175;37.517571;55.787476;140;0.005679;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
12;Москва, Берёзовой Рощи проезд, д.3, стр.2;40176;37.518505;55.78734;140;0.006335;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
13;Москва, Берёзовой Рощи проезд, д.3, стр.3;40177;37.517571;55.787476;140;0.005679;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
14;Москва, Берёзовой Рощи проезд, д.3, стр.4;40178;37.517571;55.787476;140;0.005679;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
15;Москва, Зорге ул, д.10, корп.1;40179;37.512558;55.782014;140;0.001883;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
16;Москва, Зорге ул, д.10, корп.2;40180;37.512046;55.78241;140;0.001825;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
17;Москва, Зорге ул, д.10, корп.3;40181;37.511787;55.782861;140;0.001742;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
18;Москва, Зорге ул, д.10, стр.2;40182;37.513295;55.782081;140;0.001672;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
19;Москва, Зорге ул, д.12;40183;37.511616;55.783392;140;0.001706;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
20;Москва, Зорге ул, д.12, корп.1;40184;37.512477;55.783396;140;0.000881;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
21;Москва, Зорге ул, д.14, корп.1;40185;37.511598;55.784055;140;0.001712;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
22;Москва, Зорге ул, д.14, корп.2;40186;37.510843;55.784373;140;0.002517;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
23;Москва, Зорге ул, д.14, корп.3;40187;37.511013;55.784859;140;0.002525;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
24;Москва, Зорге ул, д.16;40188;37.510528;55.785406;140;0.003213;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
25;Москва, Зорге ул, д.22, корп.1;40189;37.508597;55.788829;110;0.005252;37.50656;55.79367;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
26;Москва, Зорге ул, д.22, корп.2;40190;37.509046;55.788995;110;0.005294;37.50656;55.79367;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
27;Москва, Зорге ул, д.22, стр.4;40191;37.509586;55.788889;110;0.005658;37.50656;55.79367;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
28;Москва, Зорге ул, д.6, корп.1;40192;37.513906;55.779473;115;0.000604;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
29;Москва, Зорге ул, д.6, корп.2;40193;37.513368;55.779859;115;0.0012;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
30;Москва, Зорге ул, д.6, корп.3;40194;37.513124;55.780318;115;0.001716;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
31;Москва, Куусинена ул, д.1;40195;37.516439;55.77838;115;0.00241;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
32;Москва, Куусинена ул, д.11, корп.1;40196;37.514203;55.782274;140;0.001741;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
33;Москва, Куусинена ул, д.11, корп.2;40197;37.51397;55.782724;140;0.001236;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
34;Москва, Куусинена ул, д.11, корп.3;40198;37.513412;55.783119;140;0.000646;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
35;Москва, Куусинена ул, д.15, корп.1;40199;37.512856;55.784257;140;0.000661;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
36;Москва, Куусинена ул, д.15, корп.2;40200;37.513106;55.784754;140;0.001016;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
37;Москва, Куусинена ул, д.15, корп.3;40201;37.512703;55.785128;140;0.001493;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
38;Москва, Куусинена ул, д.17, корп.1;40202;37.511876;55.785063;140;0.001922;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
39;Москва, Куусинена ул, д.17, корп.2;40203;37.511751;55.785654;140;0.002442;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
40;Москва, Куусинена ул, д.17, корп.3;40204;37.511328;55.786197;140;0.003129;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
41;Москва, Куусинена ул, д.19, корп.1;40205;37.51201;55.786389;140;0.002927;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
42;Москва, Куусинена ул, д.19, корп.2;40206;37.512028;55.786844;140;0.003336;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
43;Москва, Куусинена ул, д.19, корп.3;40207;37.511364;55.787189;140;0.003935;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
44;Москва, Куусинена ул, д.19А;40208;37.511257;55.787968;140;0.004677;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
45;Москва, Куусинена ул, д.2, корп.1;40209;37.517625;55.778254;115;0.003598;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
46;Москва, Куусинена ул, д.2, корп.2;40210;37.519198;55.778521;115;0.005126;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
47;Москва, Куусинена ул, д.21;40211;37.509487;55.789922;110;0.004755;37.50656;55.79367;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
48;Москва, Куусинена ул, д.21А;40212;37.510107;55.788515;140;0.005724;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
49;Москва, Куусинена ул, д.21Б;40213;37.510583;55.789263;110;0.005966;37.50656;55.79367;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
50;Москва, Куусинена ул, д.3;40214;37.515343;55.778673;115;0.001278;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
51;Москва, Куусинена ул, д.4, корп.1;40215;37.517158;55.779179;115;0.003087;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
52;Москва, Куусинена ул, д.4, корп.2;40216;37.518658;55.779417;115;0.004603;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
53;Москва, Куусинена ул, д.4, корп.3;40217;37.517796;55.779706;115;0.003798;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
54;Москва, Куусинена ул, д.4А, корп.1;40218;37.516602;55.780278;115;0.002871;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
55;Москва, Куусинена ул, д.4А, корп.1, стр.2;40219;37.517625;55.778254;115;0.003598;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
56;Москва, Куусинена ул, д.4А, корп.2;40220;37.517518;55.780435;115;0.003762;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
57;Москва, Куусинена ул, д.4А, корп.3;40221;37.518668;55.780618;115;0.004895;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
58;Москва, Куусинена ул, д.4А, корп.4;40222;37.519611;55.780775;115;0.005836;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
59;Москва, Куусинена ул, д.4А, корп.5;40223;37.520527;55.780936;115;0.006757;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
60;Москва, Куусинена ул, д.4А, корп.5, стр.2;40224;37.517625;55.778254;115;0.003598;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
61;Москва, Куусинена ул, д.4А, корп.5, стр.3;40225;37.515343;55.778673;115;0.001278;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
62;Москва, Куусинена ул, д.5;40226;37.515766;55.779277;115;0.001723;37.514085;55.778896;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
63;Москва, Куусинена ул, д.6, корп.1;40227;37.515685;55.782262;140;0.002825;37.513284;55.783753;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
