"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"45169";"517";"694"
"45170";"387";"519"
"45171";"516";"706"
"45172";"329";"450"
"45173";"328";"449"
"45174";"746";"1002"
"45175";"644";"859"
"45176";"774";"1046"
"45177";"625";"838"
"45178";"621";"831"
"45179";"761";"1031"
"45180";"597";"799"
"45181";"590";"785"
"45182";"71";"105"
"45183";"292";"407"
"45184";"363";"498"
"45185";"363";"498"
"45186";"304";"425"
"45187";"304";"425"
"45188";"836";"1126"
"45189";"430";"599"
"45190";"627";"837"
"45191";"699";"944"
"45192";"542";"723"
"45193";"544";"726"
"45194";"544";"726"
"45195";"753";"1016"
"45196";"832";"1124"
"45197";"685";"922"
"45198";"410";"551"
"45199";"752";"1015"
"45200";"848";"1142"
"45201";"773";"1043"
"45202";"655";"879"
"45203";"405";"561"
"45204";"482";"668"
"45205";"1028";"1394"
"45206";"883";"1191"
"45207";"1026";"1389"
"45208";"1092";"1489"
"45209";"507";"699"
"45210";"492";"679"
"45211";"846";"1137"
"45212";"1089";"1479"
"45213";"19";"27"
"45214";"340";"459"
"45215";"110";"141"
"45216";"255";"341"
"45217";"124";"159"
"45218";"383";"538"
"45219";"311";"429"
"45220";"311";"429"
"45221";"349";"491"
"45222";"335";"469"
"45223";"355";"497"
"45224";"352";"496"
"45225";"647";"875"
"45226";"316";"440"
"45227";"337";"436"
"45228";"378";"495"
"45229";"380";"481"
"45230";"378";"495"
"45231";"265";"367"
"45232";"281";"390"
"45233";"353";"477"
"45234";"282";"383"
"45235";"338";"453"
"45236";"178";"230"
"45237";"214";"279"
"45238";"391";"526"
"45239";"267";"362"
"45240";"537";"733"
"45241";"537";"733"
"45242";"428";"573"
"45243";"622";"849"
"45244";"488";"661"
"45245";"532";"722"
"45246";"532";"722"
"45247";"477";"646"
"45248";"553";"747"
"45249";"627";"851"
"45250";"662";"896"
"45251";"670";"914"
"45252";"662";"896"
"45253";"280";"387"
"45254";"482";"664"
"45255";"442";"608"
"45256";"473";"652"
"45257";"466";"642"
"45258";"596";"819"
"45259";"163";"242"
"45260";"523";"685"
"45261";"368";"489"
"45262";"632";"873"
"45263";"119";"175"
"45264";"163";"242"
"45265";"11";"15"
"45266";"56";"77"
"45267";"164";"238"
"45268";"214";"303"
"45269";"523";"685"
"45270";"250";"353"
"45271";"193";"273"
"45272";"259";"347"
"45273";"139";"197"
"45274";"224";"316"
"45275";"66";"95"
"45276";"1371";"1871"
"45277";"733";"996"
"45278";"857";"1171"
"45279";"876";"1198"
"45280";"919";"1261"
"45281";"370";"486"
"45282";"208";"275"
"45283";"218";"287"
"45284";"347";"467"
"45285";"428";"576"
"45286";"985";"1282"
"45287";"248";"328"
"45288";"404";"539"
"45289";"515";"694"
"45290";"584";"797"
"45291";"1252";"1705"
"45292";"875";"1135"
"45293";"502";"695"
"45294";"224";"295"
"45295";"208";"272"
"45296";"198";"269"
"45297";"252";"342"
"45298";"195";"265"
"45299";"318";"458"
"45300";"359";"500"
"45301";"325";"452"
"45302";"301";"425"
"45303";"284";"394"
"45304";"162";"225"
"45305";"207";"290"
"45306";"289";"411"
"45307";"432";"609"
"45308";"329";"466"
"45309";"363";"517"
"45310";"257";"364"
"45311";"64";"88"
"45312";"515";"717"
"45313";"151";"209"
"45314";"29";"39"
"45315";"410";"560"
"45316";"297";"409"
"45317";"330";"443"
"45318";"164";"227"
"45319";"235";"332"
"45320";"416";"567"
"45321";"220";"304"
"45322";"230";"325"
"45323";"276";"388"
"45324";"237";"334"
"45325";"261";"351"
"45326";"442";"599"
"45327";"318";"432"
"45328";"582";"811"
"45329";"297";"409"
"45330";"416";"578"
"45331";"428";"589"
"45332";"221";"299"
"45333";"171";"230"
"45334";"130";"179"
"45335";"242";"339"
"45336";"210";"292"
"45337";"370";"500"
"45338";"369";"499"
"45339";"251";"346"
"45340";"77";"107"
"45341";"165";"226"
"45342";"64";"86"
"45343";"69";"98"
"45344";"364";"492"
"45345";"218";"288"
"45346";"361";"490"
"45347";"329";"448"
"45348";"466";"641"
"45349";"361";"499"
"45350";"277";"388"
"45351";"393";"544"
"45352";"277";"388"
"45353";"277";"388"
"45354";"277";"388"
"45355";"277";"388"
"45356";"277";"388"
"45357";"277";"388"
"45358";"450";"620"
"45359";"277";"388"
"45360";"280";"381"
"45361";"457";"613"
"45362";"492";"667"
"45363";"531";"723"
"45364";"479";"651"
"45365";"285";"384"
"45366";"386";"523"
"45367";"436";"596"
"45368";"463";"630"
"45369";"361";"491"
"45370";"470";"641"
"45371";"383";"524"
"45372";"32";"43"
"45373";"44";"61"
"45374";"41";"58"
"45375";"81";"112"
"45376";"10";"15"
"45377";"8";"10"
"45378";"551";"739"
"45379";"4";"6"
"45380";"528";"754"
"45381";"528";"754"
"45382";"528";"754"
"45383";"501";"674"
"45384";"420";"563"
"45385";"350";"470"
"45386";"249";"331"
"45387";"88";"119"
"45388";"167";"228"
"45389";"126";"171"
"45390";"287";"390"
"45391";"391";"526"
"45392";"391";"526"
"45393";"519";"710"
"45394";"218";"306"
"45395";"227";"319"
"45396";"247";"356"
"45397";"262";"379"
"45398";"401";"555"
"45399";"443";"612"
"45400";"456";"629"
"45401";"420";"571"
"45402";"215";"316"
"45403";"196";"287"
"45404";"489";"664"
"45405";"413";"572"
"45406";"399";"554"
"45407";"463";"629"
"45408";"375";"519"
"45409";"387";"534"
"45410";"242";"347"
"45411";"308";"435"
"45412";"431";"589"
"45413";"358";"486"
"45414";"391";"526"
"45415";"378";"508"
"45416";"83";"111"
"45417";"235";"345"
"45418";"201";"297"
"45419";"442";"603"
"45420";"379";"526"
"45421";"451";"621"
"45422";"395";"542"
"45423";"302";"412"
"45424";"302";"412"
"45425";"203";"280"
"45426";"200";"275"
"45427";"230";"312"
"45428";"154";"210"
"45429";"225";"310"
"45430";"189";"262"
"45431";"261";"365"
"45432";"510";"701"
"45433";"503";"688"
"45434";"305";"428"
"45435";"251";"352"
"45436";"343";"484"
"45437";"452";"619"
"45438";"376";"517"
"45439";"411";"564"
"45440";"429";"597"
"45441";"463";"646"
"45442";"538";"740"
"45443";"476";"655"
"45444";"513";"708"
"45445";"526";"726"
"45446";"526";"726"
"45447";"280";"384"
"45448";"280";"384"
"45449";"213";"293"
"45450";"536";"727"
"45451";"4";"7"
"45452";"4";"7"
"45453";"207";"286"
"45454";"141";"194"
"45455";"4";"7"
"45456";"91";"124"
"45457";"197";"272"
"45458";"91";"124"
"45459";"109";"146"
"45460";"584";"792"
"45461";"140";"189"
"45462";"504";"685"
"45463";"174";"241"
"45464";"246";"338"
"45465";"4";"7"
"45466";"91";"124"
"45467";"91";"124"
"45468";"280";"384"
"45469";"375";"519"
"45470";"561";"762"
"45471";"286";"393"
"45472";"252";"346"
"45473";"0";"0"
"45474";"511";"704"
"45475";"114";"156"
"45476";"69";"91"
"45477";"69";"91"
"45478";"25";"30"
"45479";"25";"30"
"45480";"25";"30"
"45481";"53";"70"
"45482";"53";"70"
"45483";"53";"70"
"45484";"107";"143"
"45485";"107";"143"
"45486";"107";"143"
"45487";"160";"224"
"45488";"143";"199"
"45489";"388";"515"
"45490";"417";"573"
"45491";"412";"566"
"45492";"360";"474"
"45493";"365";"481"
"45494";"215";"304"
