OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
5001;Москва, Новодачная ул, д.11;23687;37.526789;55.928858;179;0.008087;37.525744;55.936879
5002;Москва, Новодачная ул, д.12;23688;37.527767;55.929055;179;0.00808;37.525744;55.936879
5003;Москва, Новодачная ул, д.13;23689;37.527434;55.928794;179;0.008259;37.525744;55.936879
5004;Москва, Новодачная ул, д.14;23690;37.528343;55.928874;179;0.008415;37.525744;55.936879
5005;Москва, Новодачная ул, д.15;23691;37.528091;55.928647;179;0.008559;37.525744;55.936879
5006;Москва, Новодачная ул, д.16;23692;37.528935;55.928829;179;0.008659;37.525744;55.936879
5007;Москва, Новодачная ул, д.17;23693;37.527812;55.928142;179;0.008977;37.525744;55.936879
5008;Москва, Новодачная ул, д.18;23694;37.529366;55.928737;179;0.00891;37.525744;55.936879
5009;Москва, Новодачная ул, д.19;23695;37.527759;55.92792;179;0.009181;37.525744;55.936879
5010;Москва, Новодачная ул, д.2;23696;37.527938;55.931254;179;0.006036;37.525744;55.936879
5011;Москва, Новодачная ул, д.20;23697;37.529896;55.928658;179;0.00921;37.525744;55.936879
5012;Москва, Новодачная ул, д.21;23698;37.528;55.927639;179;0.009511;37.525744;55.936879
5013;Москва, Новодачная ул, д.22;23699;37.529555;55.928334;179;0.009355;37.525744;55.936879
5014;Москва, Новодачная ул, д.23;23700;37.528135;55.927219;179;0.00995;37.525744;55.936879
5015;Москва, Новодачная ул, д.24;23701;37.529106;55.928178;179;0.009327;37.525744;55.936879
5016;Москва, Новодачная ул, д.25;23702;37.528378;55.926923;179;0.010298;37.525744;55.936879
5017;Москва, Новодачная ул, д.26;23703;37.529403;55.92778;179;0.009807;37.525744;55.936879
5018;Москва, Новодачная ул, д.27;23704;37.528665;55.92663;179;0.010657;37.525744;55.936879
5019;Москва, Новодачная ул, д.28;23705;37.528972;55.927431;179;0.009983;37.525744;55.936879
5020;Москва, Новодачная ул, д.29;23706;37.528818;55.926454;179;0.010869;37.525744;55.936879
5021;Москва, Новодачная ул, д.3;23707;37.528099;55.930982;179;0.006349;37.525744;55.936879
5022;Москва, Новодачная ул, д.30;23708;37.529312;55.926932;179;0.010566;37.525744;55.936879
5023;Москва, Новодачная ул, д.31;23709;37.528989;55.926217;179;0.011144;37.525744;55.936879
5024;Москва, Новодачная ул, д.32;23710;37.529384;55.926866;179;0.010653;37.525744;55.936879
5025;Москва, Новодачная ул, д.33;23711;37.529132;55.92598;179;0.011413;37.525744;55.936879
5026;Москва, Новодачная ул, д.35;23712;37.529088;55.925681;179;0.011685;37.525744;55.936879
5027;Москва, Новодачная ул, д.36;23713;37.529761;55.926065;179;0.011536;37.525744;55.936879
5028;Москва, Новодачная ул, д.38;23714;37.529924;55.925737;179;0.011899;37.525744;55.936879
5029;Москва, Новодачная ул, д.4;23715;37.527946;55.930538;179;0.006711;37.525744;55.936879
5030;Москва, Новодачная ул, д.47;23716;37.533777;55.923095;46;0.009745;37.542795;55.926793
5031;Москва, Новодачная ул, д.48;23717;37.527246;55.92774;179;0.009261;37.525744;55.936879
5032;Москва, Новодачная ул, д.5;23718;37.527741;55.930341;179;0.006835;37.525744;55.936879
5033;Москва, Новодачная ул, д.50;23719;37.528055;55.926402;179;0.010727;37.525744;55.936879
5034;Москва, Новодачная ул, д.51;23720;37.528361;55.926069;179;0.011121;37.525744;55.936879
5035;Москва, Новодачная ул, д.52;23721;37.528494;55.925621;179;0.011588;37.525744;55.936879
5036;Москва, Новодачная ул, д.54;23722;37.530723;55.923624;46;0.012481;37.542795;55.926793
5037;Москва, Новодачная ул, д.56;23723;37.530066;55.923549;46;0.013134;37.542795;55.926793
5038;Москва, Новодачная ул, д.57;23724;37.531172;55.923654;46;0.012039;37.542795;55.926793
5039;Москва, Новодачная ул, д.58;23725;37.531891;55.923619;46;0.011356;37.542795;55.926793
5040;Москва, Новодачная ул, д.59;23726;37.533381;55.923578;46;0.009946;37.542795;55.926793
5041;Москва, Новодачная ул, д.6;23727;37.527471;55.93014;179;0.006956;37.525744;55.936879
5042;Москва, Новодачная ул, д.60А;23728;37.534163;55.924033;46;0.009061;37.542795;55.926793
5043;Москва, Новодачная ул, д.61;23729;37.531998;55.923063;46;0.011421;37.542795;55.926793
5044;Москва, Новодачная ул, д.63;23730;37.527193;55.929716;179;0.007307;37.525744;55.936879
5045;Москва, Новодачная ул, д.63А;23731;37.532852;55.922923;46;0.010669;37.542795;55.926793
5046;Москва, Новодачная ул, д.64;23732;37.532815;55.922802;46;0.010747;37.542795;55.926793
5047;Москва, Новодачная ул, д.65;23733;37.533571;55.923054;46;0.009953;37.542795;55.926793
5048;Москва, Новодачная ул, д.67;23734;37.533724;55.922675;46;0.009961;37.542795;55.926793
5049;Москва, Новодачная ул, д.69;23735;37.535583;55.922399;46;0.008445;37.542795;55.926793
5050;Москва, Новодачная ул, д.7;23736;37.527373;55.929948;179;0.007118;37.525744;55.936879
5051;Москва, Новодачная ул, д.70;23737;37.535591;55.922166;46;0.00856;37.542795;55.926793
5052;Москва, Новодачная ул, д.9;23738;37.527066;55.92953;179;0.007467;37.525744;55.936879
