"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"21187";"164";"229"
"21188";"256";"363"
"21189";"313";"443"
"21190";"160";"224"
"21191";"163";"229"
"21192";"256";"352"
"21193";"189";"259"
"21194";"258";"351"
"21195";"156";"200"
"21196";"155";"204"
"21197";"132";"163"
"21198";"132";"163"
"21199";"132";"163"
"21200";"132";"163"
"21201";"132";"163"
"21202";"132";"163"
"21203";"365";"512"
"21204";"273";"390"
"21205";"260";"372"
"21206";"226";"323"
"21207";"127";"180"
"21208";"109";"157"
"21209";"57";"82"
"21210";"60";"85"
"21211";"424";"570"
"21212";"437";"590"
"21213";"388";"524"
"21214";"219";"313"
"21215";"313";"427"
"21216";"265";"372"
"21217";"202";"279"
"21218";"274";"382"
"21219";"1";"1"
"21220";"132";"163"
"21221";"156";"200"
"21222";"155";"204"
"21223";"180";"243"
"21224";"153";"203"
"21225";"264";"351"
"21226";"328";"439"
"21227";"328";"465"
"21228";"228";"315"
"21229";"379";"515"
"21230";"379";"499"
"21231";"317";"440"
"21232";"194";"268"
"21233";"417";"579"
"21234";"323";"454"
"21235";"282";"385"
"21236";"161";"225"
"21237";"220";"280"
"21238";"322";"463"
"21239";"152";"212"
"21240";"13";"18"
"21241";"166";"240"
"21242";"48";"70"
"21243";"29";"41"
"21244";"66";"90"
"21245";"189";"260"
"21246";"122";"167"
"21247";"327";"437"
"21248";"452";"646"
"21249";"452";"620"
"21250";"664";"901"
"21251";"313";"421"
"21252";"157";"215"
"21253";"282";"363"
"21254";"146";"205"
"21255";"341";"478"
"21256";"294";"411"
"21257";"402";"562"
"21258";"274";"366"
"21259";"132";"175"
"21260";"19";"26"
"21261";"132";"175"
"21262";"142";"177"
"21263";"228";"278"
"21264";"263";"330"
"21265";"252";"342"
"21266";"175";"247"
"21267";"317";"423"
"21268";"233";"325"
"21269";"140";"204"
"21270";"140";"204"
"21271";"140";"204"
"21272";"140";"204"
"21273";"140";"204"
"21274";"0";"0"
"21275";"0";"0"
"21276";"88";"135"
"21277";"670";"909"
"21278";"604";"850"
"21279";"135";"182"
"21280";"188";"261"
"21281";"447";"628"
"21282";"88";"110"
"21283";"497";"699"
"21284";"107";"144"
"21285";"158";"218"
"21286";"565";"790"
"21287";"88";"135"
"21288";"149";"219"
"21289";"725";"1006"
"21290";"115";"173"
"21291";"170";"248"
"21292";"225";"321"
"21293";"196";"281"
"21294";"260";"369"
"21295";"244";"348"
"21296";"500";"703"
"21297";"605";"851"
"21298";"654";"915"
"21299";"667";"933"
"21300";"699";"976"
"21301";"319";"433"
"21302";"235";"325"
"21303";"294";"407"
"21304";"430";"601"
"21305";"338";"476"
"21306";"400";"562"
"21307";"171";"230"
"21308";"146";"198"
"21309";"175";"231"
"21310";"171";"229"
"21311";"140";"195"
"21312";"215";"277"
"21313";"176";"233"
"21314";"229";"297"
"21315";"45";"62"
"21316";"65";"97"
"21317";"129";"160"
"21318";"181";"240"
"21319";"138";"178"
"21320";"168";"234"
"21321";"143";"202"
"21322";"166";"235"
"21323";"302";"397"
"21324";"336";"449"
"21325";"396";"526"
"21326";"412";"551"
"21327";"444";"593"
"21328";"492";"670"
"21329";"528";"720"
"21330";"123";"160"
"21331";"445";"620"
"21332";"438";"614"
"21333";"359";"501"
"21334";"565";"782"
"21335";"486";"685"
"21336";"691";"963"
"21337";"41";"50"
"21338";"75";"95"
"21339";"649";"911"
"21340";"344";"474"
"21341";"298";"413"
"21342";"238";"339"
"21343";"338";"467"
"21344";"200";"288"
"21345";"298";"413"
"21346";"237";"337"
"21347";"282";"398"
"21348";"282";"398"
"21349";"282";"398"
"21350";"282";"398"
"21351";"337";"475"
"21352";"389";"548"
"21353";"416";"568"
"21354";"437";"612"
"21355";"338";"471"
"21356";"319";"440"
"21357";"318";"431"
"21358";"259";"358"
"21359";"185";"241"
"21360";"27";"35"
"21361";"278";"381"
"21362";"194";"278"
"21363";"118";"170"
"21364";"118";"170"
"21365";"92";"139"
"21366";"259";"365"
"21367";"108";"146"
"21368";"70";"94"
"21369";"32";"49"
"21370";"80";"104"
"21371";"194";"271"
"21372";"126";"174"
"21373";"126";"175"
"21374";"126";"174"
"21375";"590";"784"
"21376";"183";"227"
"21377";"301";"407"
"21378";"254";"336"
"21379";"133";"179"
"21380";"194";"271"
"21381";"633";"833"
"21382";"633";"833"
"21383";"254";"329"
"21384";"194";"257"
"21385";"167";"231"
"21386";"195";"268"
"21387";"259";"348"
"21388";"332";"444"
"21389";"178";"235"
"21390";"396";"540"
"21391";"590";"784"
"21392";"457";"630"
"21393";"589";"779"
"21394";"607";"806"
"21395";"627";"838"
"21396";"590";"795"
"21397";"659";"880"
"21398";"593";"790"
"21399";"606";"808"
"21400";"606";"808"
"21401";"617";"824"
"21402";"619";"827"
"21403";"610";"814"
"21404";"622";"831"
"21405";"183";"227"
"21406";"504";"665"
"21407";"578";"773"
"21408";"578";"773"
"21409";"487";"643"
"21410";"63";"83"
"21411";"521";"684"
"21412";"129";"168"
