OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
2500;Москва, бульв. Яна Райниса, д.18, корп.А;36964;37.417741;55.849949;159;0.003826;37.414007;55.849118
2501;Москва, бульв. Яна Райниса, д.19/13;36965;37.427776;55.848027;145;0.002506;37.430085;55.847054
2502;Москва, бульв. Яна Райниса, д.20;36966;37.416547;55.850434;159;0.00286;37.414007;55.849118
2503;Москва, бульв. Яна Райниса, д.22;36967;37.415262;55.850555;159;0.001908;37.414007;55.849118
2504;Москва, бульв. Яна Райниса, д.22, корп.А;36968;37.415262;55.850555;159;0.001908;37.414007;55.849118
2505;Москва, бульв. Яна Райниса, д.28;36969;37.411454;55.851156;129;0.001568;37.410016;55.851783
2506;Москва, бульв. Яна Райниса, д.28, корп.А;36970;37.411454;55.851156;129;0.001568;37.410016;55.851783
2507;Москва, бульв. Яна Райниса, д.33, корп.1;36971;37.419044;55.848559;144;0.002584;37.421404;55.847503
2508;Москва, бульв. Яна Райниса, д.33, корп.2;36972;37.419044;55.848559;144;0.002584;37.421404;55.847503
2509;Москва, бульв. Яна Райниса, д.35, корп.2;36973;37.416188;55.848629;159;0.002234;37.414007;55.849118
2510;Москва, бульв. Яна Райниса, д.36/11;36974;37.40884;55.851064;129;0.001377;37.410016;55.851783
2511;Москва, бульв. Яна Райниса, д.4, корп.А;36975;37.430767;55.850711;118;0.001878;37.430219;55.852508
2512;Москва, бульв. Яна Райниса, д.42;36976;37.40884;55.851064;129;0.001377;37.410016;55.851783
2513;Москва, бульв. Яна Райниса, д.44/17;36977;37.409261;55.850094;158;0.001312;37.409622;55.848833
2514;Москва, бульв. Яна Райниса, д.46/14;36978;37.406566;55.849993;157;0.001286;37.406414;55.848717
2515;Москва, бульв. Яна Райниса, д.48;36979;37.405731;55.849548;157;0.001075;37.406414;55.848717
2516;Москва, бульв. Яна Райниса, д.50;36980;37.404258;55.850181;157;0.002606;37.406414;55.848717
2517;Москва, бульв. Яна Райниса, д.52, корп.1;36981;37.404258;55.850181;157;0.002606;37.406414;55.848717
2518;Москва, бульв. Яна Райниса, д.52, корп.2;36982;37.404258;55.850181;157;0.002606;37.406414;55.848717
2519;Москва, бульв. Яна Райниса, д.6;36983;37.429259;55.85062;118;0.002117;37.430219;55.852508
2520;Москва, 1-й Тушинский проезд, д.6;36984;37.421541;55.833707;162;0.001766;37.420049;55.832764
2521;Москва, 1-й Тушинский проезд, д.8;36985;37.420401;55.833759;162;0.001055;37.420049;55.832764
2522;Москва, Аэродромная ул, д.4, корп.1;36986;37.432654;55.845067;145;0.003247;37.430085;55.847054
2523;Москва, Волоколамское шоссе, д.16, корп.1;36987;37.492472;55.810081;105;0.003311;37.495731;55.80949
2524;Москва, Волоколамское шоссе, д.16, корп.2;36988;37.492472;55.810081;105;0.003311;37.495731;55.80949
2525;Москва, Волоколамское шоссе, д.16, корп.3;36989;37.492472;55.810081;105;0.003311;37.495731;55.80949
2526;Москва, Волоколамское шоссе, д.20;36990;37.490828;55.81042;105;0.004989;37.495731;55.80949
2527;Москва, Волоколамское шоссе, д.43, корп.1;36991;37.46952;55.813935;78;0.008537;37.469588;55.805399
2528;Москва, Волоколамское шоссе, д.58;36992;37.465964;55.81657;139;0.007508;37.458958;55.813871
2529;Москва, Волоколамское шоссе, д.88, корп.4;36993;37.443954;55.824545;127;0.005972;37.449736;55.823044
2530;Москва, Долгова ул, д.2, корп.1;36994;37.456792;55.830291;134;0.001919;37.455039;55.831072
2531;Москва, Донелайтиса проезд, д.20, корп.2;36995;37.421012;55.842479;144;0.005039;37.421404;55.847503
2532;Москва, Досфлота проезд, д.10, корп.1;36996;37.457995;55.846011;32;0.000983;37.457523;55.84515
2533;Москва, Досфлота проезд, д.39, корп.2;36997;37.457987;55.845056;32;0.000473;37.457523;55.84515
2534;Москва, Лодочная ул, д.1, корп.1;36998;37.438843;55.837758;201;0.002452;37.440994;55.838937
2535;Москва, Лодочная ул, д.15;36999;37.458677;55.839384;125;0.002565;37.456118;55.839551
2536;Москва, Лодочная ул, д.27;37000;37.462298;55.836968;203;0.002618;37.461838;55.839547
2537;Москва, Лодочная ул, д.3, корп.1;37001;37.440091;55.837822;201;0.001433;37.440994;55.838937
2538;Москва, Лодочная ул, д.31, корп.1;37002;37.464553;55.839608;203;0.002715;37.461838;55.839547
2539;Москва, Лодочная ул, д.31, корп.2;37003;37.463708;55.839593;203;0.001871;37.461838;55.839547
2540;Москва, Лодочная ул, д.35, корп.1;37004;37.464058;55.840785;126;0.002246;37.461821;55.840595
2541;Москва, Лодочная ул, д.35, корп.2;37005;37.463142;55.840705;126;0.001326;37.461821;55.840595
2542;Москва, Лодочная ул, д.39, корп.1;37006;37.463269;55.84178;126;0.001871;37.461821;55.840595
2543;Москва, Малая Набережная ул, д.3;37007;37.457698;55.834193;134;0.004101;37.455039;55.831072
2544;Москва, Малая Набережная ул, д.5;37008;37.456629;55.834249;134;0.003553;37.455039;55.831072
2545;Москва, Малая Набережная ул, д.7;37009;37.455578;55.834305;134;0.003277;37.455039;55.831072
2546;Москва, Парусный проезд, д.2;37010;37.451115;55.847714;29;0.001559;37.452052;55.848961
2547;Москва, Подмосковная ул, д.1, корп.6;37011;37.45504;55.83027;134;0.000802;37.455039;55.831072
2548;Москва, Свободы ул, д.1;37012;37.449784;55.823023;127;0.000052;37.449736;55.823044
2549;Москва, Свободы ул, д.11;37013;37.451743;55.828363;128;0.003003;37.449912;55.825983
2550;Москва, Свободы ул, д.11, корп.1;37014;37.451743;55.828363;128;0.003003;37.449912;55.825983
2551;Москва, Свободы ул, д.13;37015;37.450629;55.828854;164;0.002631;37.449169;55.831044
2552;Москва, Свободы ул, д.13, корп.2, стр.1;37016;37.451338;55.829375;164;0.002737;37.449169;55.831044
2553;Москва, Свободы ул, д.13/2, корп.1;37017;37.450629;55.828854;164;0.002631;37.449169;55.831044
2554;Москва, Свободы ул, д.21;37018;37.452066;55.832701;164;0.003338;37.449169;55.831044
2555;Москва, Свободы ул, д.36, корп.2;37019;37.457267;55.843524;32;0.001644;37.457523;55.84515
2556;Москва, Свободы ул, д.4;37020;37.453054;55.82489;132;0.000109;37.453164;55.824885
2557;Москва, Свободы ул, д.4, корп.1;37021;37.451914;55.824162;132;0.001444;37.453164;55.824885
2558;Москва, Свободы ул, д.4, корп.2;37022;37.452236;55.824975;132;0.000931;37.453164;55.824885
2559;Москва, Свободы ул, д.45;37023;37.453244;55.846219;28;0.002658;37.450594;55.846009
2560;Москва, Свободы ул, д.49, корп.4;37024;37.449533;55.847917;27;0.000787;37.449794;55.84866
2561;Москва, Свободы ул, д.4А;37025;37.453054;55.82489;132;0.000109;37.453164;55.824885
2562;Москва, Свободы ул, д.6, корп.3;37026;37.452515;55.82587;132;0.001179;37.453164;55.824885
2563;Москва, Свободы ул, д.7;37027;37.451842;55.82709;128;0.002224;37.449912;55.825983
2564;Москва, Свободы ул, д.73;37028;37.44665;55.86072;50;0.00314;37.446775;55.857583
2565;Москва, Свободы ул, д.73, корп.2;37029;37.44665;55.86072;50;0.00314;37.446775;55.857583
2566;Москва, Свободы ул, д.73, корп.3;37030;37.44665;55.86072;50;0.00314;37.446775;55.857583
2567;Москва, Свободы ул, д.75/2;37031;37.444979;55.860735;48;0.001957;37.44304;55.861005
2568;Москва, Свободы ул, д.8/4, корп.1;37032;37.453612;55.828066;133;0.001475;37.454693;55.827062
2569;Москва, Свободы ул, д.8/4, корп.2;37033;37.453835;55.826745;133;0.000913;37.454693;55.827062
2570;Москва, Свободы ул, д.81;37034;37.445311;55.861878;48;0.002433;37.44304;55.861005
2571;Москва, Свободы ул, д.81, корп.3;37035;37.442094;55.861802;46;0.001048;37.441841;55.862819
2572;Москва, Свободы ул, д.81, корп.4;37036;37.442041;55.861141;48;0.001007;37.44304;55.861005
2573;Москва, Свободы ул, д.81, корп.5;37037;37.442149;55.860276;48;0.00115;37.44304;55.861005
