"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"39470";"553";"786"
"39471";"372";"531"
"39472";"560";"797"
"39473";"560";"797"
"39474";"372";"531"
"39475";"577";"821"
"39476";"577";"821"
"39477";"203";"288"
"39478";"468";"665"
"39479";"602";"857"
"39480";"602";"857"
"39481";"388";"553"
"39482";"388";"553"
"39483";"699";"984"
"39484";"398";"567"
"39485";"413";"589"
"39486";"444";"633"
"39487";"124";"170"
"39488";"124";"170"
"39489";"1211";"1730"
"39490";"1248";"1773"
"39491";"483";"688"
"39492";"1280";"1814"
"39493";"1335";"1867"
"39494";"1334";"1865"
"39495";"484";"689"
"39496";"1159";"1662"
"39497";"504";"717"
"39498";"1141";"1635"
"39499";"559";"795"
"39500";"1299";"1841"
"39501";"203";"287"
"39502";"582";"829"
"39503";"1124";"1611"
"39504";"595";"846"
"39505";"1325";"1875"
"39506";"611";"869"
"39507";"1130";"1619"
"39508";"1244";"1782"
"39509";"1234";"1764"
"39510";"1146";"1641"
"39511";"1187";"1702"
"39512";"1325";"1875"
"39513";"141";"197"
"39514";"1178";"1688"
"39515";"1175";"1682"
"39516";"1157";"1659"
"39517";"1165";"1667"
"39518";"1136";"1629"
"39519";"1136";"1629"
"39520";"1076";"1544"
"39521";"1140";"1633"
"39522";"1152";"1650"
"39523";"1880";"2613"
"39524";"1927";"2675"
"39525";"1956";"2714"
"39526";"1980";"2745"
"39527";"203";"287"
"39528";"1140";"1633"
"39529";"1841";"2561"
"39530";"1920";"2666"
"39531";"1960";"2718"
"39532";"1991";"2758"
"39533";"2024";"2801"
"39534";"2068";"2856"
"39535";"1167";"1671"
"39536";"1886";"2622"
"39537";"1920";"2665"
"39538";"1971";"2733"
"39539";"2007";"2778"
"39540";"2028";"2805"
"39541";"2060";"2847"
"39542";"1167";"1671"
"39543";"1167";"1671"
"39544";"158";"222"
"39545";"235";"334"
"39546";"117";"152"
"39547";"123";"171"
"39548";"213";"282"
"39549";"231";"307"
"39550";"608";"835"
"39551";"646";"888"
"39552";"445";"629"
"39553";"326";"454"
"39554";"350";"492"
"39555";"459";"634"
"39556";"428";"591"
"39557";"374";"521"
"39558";"370";"515"
"39559";"162";"228"
"39560";"138";"191"
"39561";"171";"235"
"39562";"488";"685"
"39563";"499";"695"
"39564";"499";"695"
"39565";"508";"712"
"39566";"472";"663"
"39567";"397";"557"
"39568";"380";"532"
"39569";"380";"532"
"39570";"332";"458"
"39571";"360";"499"
"39572";"760";"1051"
"39573";"488";"685"
"39574";"697";"971"
"39575";"678";"941"
"39576";"652";"903"
"39577";"405";"563"
"39578";"724";"1005"
"39579";"753";"1044"
"39580";"749";"1038"
"39581";"1547";"2195"
"39582";"1665";"2327"
"39583";"1547";"2195"
"39584";"1772";"2471"
"39585";"1592";"2236"
"39586";"1518";"2153"
"39587";"1316";"1875"
"39588";"1298";"1852"
"39589";"1260";"1800"
"39590";"1253";"1792"
"39591";"1547";"2195"
"39592";"1547";"2195"
"39593";"1547";"2195"
"39594";"503";"700"
"39595";"486";"676"
"39596";"516";"719"
"39597";"1493";"2107"
"39598";"1639";"2304"
"39599";"1547";"2195"
"39600";"1547";"2195"
"39601";"1547";"2195"
"39602";"1547";"2195"
"39603";"1547";"2195"
"39604";"1547";"2195"
"39605";"1547";"2195"
"39606";"1547";"2195"
