OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
2501;Москва, Кантемировская ул, д.5, корп.2;29964;37.677301;55.635121;198;0.001331;37.676418;55.634125
2502;Москва, Кантемировская ул, д.5, корп.3;29965;37.67837;55.63507;199;0.002093;37.680105;55.633899
2503;Москва, Кантемировская ул, д.5, корп.4;29966;37.675647;55.636447;198;0.002447;37.676418;55.634125
2504;Москва, Кантемировская ул, д.7;29967;37.671848;55.635371;198;0.004735;37.676418;55.634125
2505;Москва, Кантемировская ул, д.8, корп.1;29968;37.675728;55.638358;197;0.002647;37.674764;55.640823
2506;Москва, Каспийская ул, д.10;29969;37.680966;55.630024;199;0.003969;37.680105;55.633899
2507;Москва, Каспийская ул, д.12, корп.1;29970;37.676779;55.625241;231;0.004609;37.672988;55.627863
2508;Москва, Каспийская ул, д.18, корп.1;29971;37.676878;55.626659;232;0.003642;37.674107;55.629023
2509;Москва, Каспийская ул, д.18, корп.2;29972;37.676276;55.626909;232;0.003029;37.674107;55.629023
2510;Москва, Каспийская ул, д.2, корп.2;29973;37.683401;55.634307;200;0.001404;37.682056;55.634713
2511;Москва, Каспийская ул, д.2/1;29974;37.683554;55.634822;200;0.001501;37.682056;55.634713
2512;Москва, Каспийская ул, д.20, корп.1;29975;37.676107;55.625948;231;0.003659;37.672988;55.627863
2513;Москва, Каспийская ул, д.20, корп.2;29976;37.675172;55.626014;231;0.002861;37.672988;55.627863
2514;Москва, Каспийская ул, д.20, корп.3;29977;37.673932;55.626822;231;0.001405;37.672988;55.627863
2515;Москва, Каспийская ул, д.22, корп.2;29978;37.675692;55.625652;231;0.003493;37.672988;55.627863
2516;Москва, Каспийская ул, д.24, корп.1;29979;37.674651;55.624809;231;0.003476;37.672988;55.627863
2517;Москва, Каспийская ул, д.24, корп.2;29980;37.674139;55.625195;231;0.002904;37.672988;55.627863
2518;Москва, Каспийская ул, д.24, корп.3;29981;37.673662;55.625638;231;0.002325;37.672988;55.627863
2519;Москва, Каспийская ул, д.26, корп.1;29982;37.673376;55.624189;231;0.003693;37.672988;55.627863
2520;Москва, Каспийская ул, д.26, корп.2;29983;37.672935;55.624636;231;0.003226;37.672988;55.627863
2521;Москва, Каспийская ул, д.26, корп.3;29984;37.672431;55.625089;230;0.002628;37.670252;55.626557
2522;Москва, Каспийская ул, д.28, корп.1;29985;37.672208;55.623646;230;0.003507;37.670252;55.626557
2523;Москва, Каспийская ул, д.28, корп.2;29986;37.671731;55.624139;230;0.002834;37.670252;55.626557
2524;Москва, Каспийская ул, д.28, корп.3;29987;37.671139;55.624606;230;0.002143;37.670252;55.626557
2525;Москва, Каспийская ул, д.30, корп.1;29988;37.671372;55.623437;230;0.003314;37.670252;55.626557
2526;Москва, Каспийская ул, д.30, корп.2;29989;37.67085;55.6239;230;0.002723;37.670252;55.626557
2527;Москва, Каспийская ул, д.30, корп.3;29990;37.670347;55.624352;230;0.002207;37.670252;55.626557
2528;Москва, Каспийская ул, д.30, корп.4;29991;37.669799;55.624855;230;0.00176;37.670252;55.626557
2529;Москва, Каспийская ул, д.30, корп.5;29992;37.669;55.625425;230;0.001687;37.670252;55.626557
2530;Москва, Каспийская ул, д.30, корп.6;29993;37.668992;55.625703;230;0.001521;37.670252;55.626557
2531;Москва, Каспийская ул, д.30, корп.7;29994;37.668982;55.625983;230;0.001392;37.670252;55.626557
2532;Москва, Каспийская ул, д.30, корп.8;29995;37.668982;55.625139;230;0.001902;37.670252;55.626557
2533;Москва, Каспийская ул, д.4;29996;37.682987;55.632005;200;0.002862;37.682056;55.634713
2534;Москва, Каспийская ул, д.6;29997;37.682233;55.631371;199;0.003304;37.680105;55.633899
2535;Москва, Каспийская ул, д.8;29998;37.68146;55.630863;199;0.003325;37.680105;55.633899
2536;Москва, Каширское шоссе, д.58, корп.1;29999;37.671461;55.645089;268;0.001908;37.671671;55.643193
2537;Москва, Каширское шоссе, д.58, корп.2;30000;37.67103;55.644744;268;0.001678;37.671671;55.643193
2538;Москва, Каширское шоссе, д.60, корп.1;30001;37.672423;55.644867;268;0.001835;37.671671;55.643193
2539;Москва, Каширское шоссе, д.60, корп.2;30002;37.671578;55.64415;268;0.000961;37.671671;55.643193
2540;Москва, Каширское шоссе, д.62/2;30003;37.673259;55.644298;268;0.001934;37.671671;55.643193
2541;Москва, Каширское шоссе, д.66, корп.1;30004;37.675064;55.64386;197;0.003052;37.674764;55.640823
2542;Москва, Каширское шоссе, д.68, корп.1;30005;37.675863;55.643372;197;0.002777;37.674764;55.640823
2543;Москва, Каширское шоссе, д.70, корп.1;30006;37.67652;55.643276;197;0.003017;37.674764;55.640823
2544;Москва, Каширское шоссе, д.72, корп.1;30007;37.677381;55.642819;197;0.003292;37.674764;55.640823
2545;Москва, Каширское шоссе, д.78, корп.2;30008;37.681576;55.640527;200;0.005834;37.682056;55.634713
2546;Москва, Каширское шоссе, д.78, корп.3;30009;37.680543;55.640381;197;0.005796;37.674764;55.640823
2547;Москва, Каширское шоссе, д.78, корп.4;30010;37.679637;55.640232;197;0.004908;37.674764;55.640823
2548;Москва, Кошкина ул, д.11, корп.1;30011;37.67272;55.641569;268;0.001933;37.671671;55.643193
2549;Москва, Кошкина ул, д.11, корп.2;30012;37.671354;55.641473;268;0.001748;37.671671;55.643193
2550;Москва, Кошкина ул, д.12, корп.1;30013;37.671076;55.639578;268;0.003663;37.671671;55.643193
2551;Москва, Кошкина ул, д.12, корп.2;30014;37.669503;55.63939;268;0.004377;37.671671;55.643193
2552;Москва, Кошкина ул, д.12, корп.3;30015;37.668893;55.639653;268;0.004499;37.671671;55.643193
2553;Москва, Кошкина ул, д.13, корп.1;30016;37.67254;55.640848;197;0.002224;37.674764;55.640823
2554;Москва, Кошкина ул, д.17, корп.1;30017;37.672837;55.640152;197;0.00204;37.674764;55.640823
2555;Москва, Кошкина ул, д.19, корп.1;30018;37.673644;55.639324;197;0.00187;37.674764;55.640823
2556;Москва, Кошкина ул, д.4;30019;37.67254;55.643768;268;0.001042;37.671671;55.643193
2557;Москва, Кошкина ул, д.7;30020;37.672467;55.642372;268;0.001144;37.671671;55.643193
2558;Москва, Кошкина ул, д.9;30021;37.67165;55.642199;268;0.000994;37.671671;55.643193
2559;Москва, Луганская ул, д.1;30022;37.663881;55.628417;160;0.004094;37.666269;55.631744
2560;Москва, Луганская ул, д.3, корп.1;30023;37.664482;55.627783;145;0.003677;37.663414;55.624264
2561;Москва, Луганская ул, д.3, корп.2;30024;37.665407;55.627;145;0.003385;37.663414;55.624264
2562;Москва, Луганская ул, д.7, корп.1;30025;37.6667;55.625297;273;0.003061;37.666165;55.622284
2563;Москва, Медиков ул, д.1/1, корп.1;30026;37.674183;55.634973;198;0.002389;37.676418;55.634125
2564;Москва, Медиков ул, д.1/1, корп.2;30027;37.674588;55.635319;198;0.002185;37.676418;55.634125
2565;Москва, Медиков ул, д.1/1, корп.3;30028;37.67501;55.635649;198;0.002074;37.676418;55.634125
2566;Москва, Медиков ул, д.10;30029;37.675279;55.633001;198;0.001598;37.676418;55.634125
2567;Москва, Медиков ул, д.11;30030;37.681317;55.633621;199;0.001243;37.680105;55.633899
2568;Москва, Медиков ул, д.12;30031;37.676304;55.633521;198;0.000614;37.676418;55.634125
2569;Москва, Медиков ул, д.13;30032;37.682404;55.633566;200;0.001197;37.682056;55.634713
2570;Москва, Медиков ул, д.14;30033;37.676465;55.632727;198;0.001397;37.676418;55.634125
2571;Москва, Медиков ул, д.14, корп.2;30034;37.675541;55.632093;233;0.001401;37.676228;55.630872
2572;Москва, Медиков ул, д.15;30035;37.683472;55.633516;200;0.001854;37.682056;55.634713
2573;Москва, Медиков ул, д.16;30036;37.67748;55.633307;198;0.001341;37.676418;55.634125
2574;Москва, Медиков ул, д.18;30037;37.677652;55.632525;198;0.00202;37.676418;55.634125
2575;Москва, Медиков ул, д.20;30038;37.678685;55.633098;199;0.001629;37.680105;55.633899
2576;Москва, Медиков ул, д.22, корп.1;30039;37.6789;55.632093;199;0.002171;37.680105;55.633899
2577;Москва, Медиков ул, д.22, корп.3;30040;37.677857;55.631716;233;0.001836;37.676228;55.630872
2578;Москва, Медиков ул, д.24;30041;37.679905;55.632936;199;0.000983;37.680105;55.633899
2579;Москва, Медиков ул, д.26, корп.1;30042;37.68102;55.632727;199;0.001486;37.680105;55.633899
2580;Москва, Медиков ул, д.26, корп.2;30043;37.679923;55.631579;199;0.002326;37.680105;55.633899
2581;Москва, Медиков ул, д.26, корп.3;30044;37.678855;55.630888;233;0.002627;37.676228;55.630872
2582;Москва, Медиков ул, д.28, корп.1;30045;37.682197;55.632514;200;0.002202;37.682056;55.634713
2583;Москва, Медиков ул, д.28, корп.2;30046;37.680705;55.631219;199;0.002746;37.680105;55.633899
2584;Москва, Медиков ул, д.28, корп.3;30047;37.681424;55.632102;199;0.002228;37.680105;55.633899
2585;Москва, Медиков ул, д.4;30048;37.674544;55.633968;198;0.00188;37.676418;55.634125
2586;Москва, Медиков ул, д.6;30049;37.673672;55.63317;198;0.002907;37.676418;55.634125
2587;Москва, Медиков ул, д.8;30050;37.675208;55.633658;198;0.001296;37.676418;55.634125
2588;Москва, Москворечье ул, д.2, корп.1;30051;37.650764;55.645516;26;0.003116;37.652208;55.648279
2589;Москва, Москворечье ул, д.2, корп.2;30052;37.649578;55.645685;26;0.003693;37.652208;55.648279
2590;Москва, Москворечье ул, д.4, корп.3;30053;37.65301;55.643576;26;0.004771;37.652208;55.648279
2591;Москва, Москворечье ул, д.4, корп.5;30054;37.650728;55.643687;26;0.004823;37.652208;55.648279
2592;Москва, Москворечье ул, д.4, корп.6;30055;37.654772;55.643404;71;0.00444;37.658764;55.641459
2593;Москва, Москворечье ул, д.51, корп.1;30056;37.668579;55.643453;268;0.003102;37.671671;55.643193
2594;Москва, Москворечье ул, д.51, корп.2;30057;37.66936;55.644099;268;0.002482;37.671671;55.643193
2595;Москва, Москворечье ул, д.55, корп.1;30058;37.669773;55.642977;268;0.00191;37.671671;55.643193
2596;Москва, Москворечье ул, д.55, корп.2;30059;37.670573;55.643631;268;0.001182;37.671671;55.643193
2597;Москва, Москворечье ул, д.57/8;30060;37.670339;55.642448;268;0.001526;37.671671;55.643193
2598;Москва, Пролетарский пр-кт, д.17, корп.1;30061;37.657627;55.642428;71;0.001493;37.658764;55.641459
2599;Москва, Пролетарский пр-кт, д.19, корп.2;30062;37.657188;55.640883;71;0.001677;37.658764;55.641459
2600;Москва, Пролетарский пр-кт, д.19, корп.3;30063;37.65797;55.640716;71;0.001087;37.658764;55.641459
2601;Москва, Пролетарский пр-кт, д.21, корп.2;30064;37.656739;55.640421;71;0.002275;37.658764;55.641459
2602;Москва, Пролетарский пр-кт, д.21/24;30065;37.656433;55.63972;71;0.002908;37.658764;55.641459
2603;Москва, Пролетарский пр-кт, д.23;30066;37.656586;55.636899;157;0.003951;37.660345;55.635683
2604;Москва, Пролетарский пр-кт, д.25;30067;37.657098;55.636361;157;0.003317;37.660345;55.635683
2605;Москва, Пролетарский пр-кт, д.27;30068;37.657609;55.635797;157;0.002737;37.660345;55.635683
2606;Москва, Пролетарский пр-кт, д.29;30069;37.658121;55.635242;157;0.002266;37.660345;55.635683
2607;Москва, Пролетарский пр-кт, д.31;30070;37.658634;55.634685;157;0.00198;37.660345;55.635683
2608;Москва, Пролетарский пр-кт, д.33, корп.1;30071;37.659164;55.634126;157;0.001954;37.660345;55.635683
2609;Москва, Пролетарский пр-кт, д.33, корп.2;30072;37.66035;55.634197;157;0.001486;37.660345;55.635683
2610;Москва, Пролетарский пр-кт, д.33, корп.3;30073;37.660718;55.634577;157;0.001166;37.660345;55.635683
2611;Москва, Пролетарский пр-кт, д.33, корп.4;30074;37.661086;55.634968;157;0.001029;37.660345;55.635683
2612;Москва, Пролетарский пр-кт, д.35;30075;37.661256;55.633577;157;0.002294;37.660345;55.635683
2613;Москва, Пролетарский пр-кт, д.37;30076;37.661446;55.633159;157;0.002752;37.660345;55.635683
2614;Москва, Пролетарский пр-кт, д.39;30077;37.661635;55.632738;157;0.003215;37.660345;55.635683
2615;Москва, Пролетарский пр-кт, д.41;30078;37.661832;55.632315;157;0.00368;37.660345;55.635683
2616;Москва, Пролетарский пр-кт, д.43, корп.1;30079;37.663152;55.631879;159;0.0029;37.665554;55.633506
2617;Москва, Пролетарский пр-кт, д.43, корп.2;30080;37.664356;55.632835;159;0.001372;37.665554;55.633506
2618;Москва, Пролетарский пр-кт, д.43, корп.3;30081;37.664177;55.633332;159;0.001387;37.665554;55.633506
2619;Москва, Пролетарский пр-кт, д.45;30082;37.662739;55.631365;159;0.003535;37.665554;55.633506
2620;Москва, Бирюлёвская ул, д.44/6;30083;37.664348;55.586389;161;0.00191;37.665333;55.584753
2621;Москва, Бирюлёвская ул, д.46;30084;37.66486;55.585911;161;0.00125;37.665333;55.584753
2622;Москва, Бирюлёвская ул, д.48, корп.1;30085;37.665389;55.585437;161;0.000687;37.665333;55.584753
2623;Москва, Бирюлёвская ул, д.52, корп.1;30086;37.667266;55.584451;161;0.001957;37.665333;55.584753
2624;Москва, Бирюлёвская ул, д.52, корп.2;30087;37.666459;55.583749;161;0.001508;37.665333;55.584753
2625;Москва, Бирюлёвская ул, д.52, корп.3;30088;37.665524;55.583305;161;0.001459;37.665333;55.584753
2626;Москва, Бирюлёвская ул, д.56;30089;37.668632;55.582903;161;0.003782;37.665333;55.584753
2627;Москва, Бирюлёвская ул, д.58, корп.1;30090;37.670428;55.581382;185;0.004046;37.673138;55.584389
2628;Москва, Бирюлёвская ул, д.58, корп.2;30091;37.669296;55.58099;185;0.005128;37.673138;55.584389
2629;Москва, Бирюлёвская ул, д.58, корп.3;30092;37.668076;55.580634;161;0.004947;37.665333;55.584753
