"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"27464";"740";"968"
"27465";"775";"1021"
"27466";"602";"797"
"27467";"1543";"2045"
"27468";"798";"1053"
"27469";"275";"385"
"27470";"225";"327"
"27471";"351";"492"
"27472";"363";"504"
"27473";"324";"457"
"27474";"253";"363"
"27475";"201";"288"
"27476";"201";"291"
"27477";"517";"719"
"27478";"412";"590"
"27479";"258";"384"
"27480";"58";"74"
"27481";"493";"698"
"27482";"198";"273"
"27483";"120";"175"
"27484";"299";"429"
"27485";"266";"371"
"27486";"216";"305"
"27487";"75";"110"
"27488";"167";"234"
"27489";"107";"144"
"27490";"472";"661"
"27491";"517";"668"
"27492";"306";"415"
"27493";"442";"579"
"27494";"176";"252"
"27495";"209";"284"
"27496";"428";"566"
"27497";"373";"497"
"27498";"198";"272"
"27499";"184";"256"
"27500";"33";"48"
"27501";"430";"609"
"27502";"374";"518"
"27503";"486";"685"
"27504";"320";"443"
"27505";"618";"871"
"27506";"496";"685"
"27507";"450";"615"
"27508";"400";"541"
"27509";"374";"476"
"27510";"463";"625"
"27511";"336";"441"
"27512";"163";"218"
"27513";"543";"756"
"27514";"324";"456"
"27515";"178";"271"
"27516";"75";"109"
"27517";"138";"215"
"27518";"412";"583"
"27519";"180";"254"
"27520";"124";"174"
"27521";"14";"20"
"27522";"195";"275"
"27523";"229";"323"
"27524";"529";"657"
"27525";"843";"1074"
"27526";"773";"957"
"27527";"41";"55"
"27528";"368";"470"
"27529";"110";"151"
"27530";"73";"88"
"27531";"358";"455"
"27532";"320";"407"
"27533";"162";"226"
"27534";"323";"413"
"27535";"352";"449"
"27536";"265";"344"
"27537";"30";"41"
"27538";"246";"331"
"27539";"418";"539"
"27540";"279";"365"
"27541";"254";"333"
"27542";"258";"347"
"27543";"319";"436"
"27544";"310";"415"
"27545";"419";"547"
"27546";"507";"655"
"27547";"211";"298"
"27548";"173";"242"
"27549";"132";"177"
"27550";"7";"9"
"27551";"654";"904"
"27552";"272";"378"
"27553";"574";"766"
"27554";"337";"439"
"27555";"431";"582"
"27556";"82";"108"
"27557";"142";"201"
"27558";"158";"196"
"27559";"339";"461"
"27560";"470";"643"
"27561";"458";"639"
"27562";"94";"134"
"27563";"489";"679"
"27564";"329";"472"
"27565";"569";"817"
"27566";"179";"252"
"27567";"78";"116"
"27568";"187";"273"
"27569";"94";"118"
"27570";"184";"241"
"27571";"276";"366"
"27572";"211";"281"
"27573";"321";"455"
"27574";"641";"914"
"27575";"252";"340"
"27576";"364";"491"
"27577";"353";"460"
"27578";"306";"439"
"27579";"366";"494"
"27580";"770";"1025"
"27581";"290";"393"
"27582";"424";"589"
"27583";"333";"467"
"27584";"251";"351"
"27585";"249";"348"
"27586";"361";"496"
"27587";"423";"598"
"27588";"309";"436"
"27589";"422";"596"
"27590";"363";"503"
"27591";"491";"687"
"27592";"474";"664"
"27593";"441";"614"
"27594";"520";"717"
"27595";"310";"446"
"27596";"446";"608"
"27597";"516";"738"
"27598";"628";"894"
"27599";"306";"439"
"27600";"417";"582"
"27601";"377";"531"
"27602";"351";"491"
"27603";"210";"297"
"27604";"354";"496"
"27605";"330";"484"
"27606";"230";"318"
"27607";"307";"409"
"27608";"138";"175"
"27609";"214";"275"
"27610";"213";"273"
"27611";"453";"618"
"27612";"586";"787"
"27613";"616";"826"
"27614";"496";"680"
"27615";"264";"371"
"27616";"294";"430"
"27617";"256";"341"
"27618";"224";"301"
"27619";"270";"359"
"27620";"186";"252"
"27621";"224";"297"
"27622";"162";"213"
"27623";"392";"538"
"27624";"193";"257"
"27625";"99";"118"
"27626";"300";"419"
"27627";"104";"146"
"27628";"186";"259"
"27629";"401";"548"
"27630";"215";"304"
"27631";"236";"328"
"27632";"313";"427"
"27633";"352";"453"
"27634";"247";"332"
"27635";"616";"863"
"27636";"675";"948"
"27637";"132";"181"
"27638";"571";"784"
"27639";"316";"434"
"27640";"250";"345"
"27641";"183";"251"
"27642";"249";"344"
"27643";"339";"468"
"27644";"266";"362"
"27645";"313";"427"
"27646";"418";"561"
"27647";"353";"472"
"27648";"394";"527"
"27649";"723";"1024"
"27650";"237";"332"
"27651";"279";"388"
"27652";"293";"409"
"27653";"290";"409"
"27654";"187";"261"
"27655";"663";"941"
"27656";"158";"226"
"27657";"573";"816"
"27658";"734";"1035"
"27659";"168";"242"
"27660";"131";"186"
"27661";"114";"162"
"27662";"57";"80"
"27663";"40";"54"
"27664";"240";"356"
"27665";"221";"326"
"27666";"190";"276"
"27667";"251";"353"
"27668";"132";"177"
"27669";"131";"176"
"27670";"462";"626"
"27671";"495";"670"
"27672";"397";"537"
"27673";"355";"479"
"27674";"226";"310"
"27675";"405";"548"
"27676";"186";"251"
"27677";"428";"581"
"27678";"175";"235"
"27679";"376";"507"
"27680";"209";"283"
"27681";"323";"428"
"27682";"256";"347"
"27683";"134";"176"
"27684";"226";"296"
"27685";"355";"481"
"27686";"404";"539"
"27687";"419";"561"
"27688";"576";"769"
"27689";"282";"372"
"27690";"237";"313"
"27691";"202";"260"
"27692";"270";"365"
"27693";"293";"396"
"27694";"222";"314"
"27695";"157";"223"
"27696";"204";"290"
"27697";"123";"177"
"27698";"143";"204"
"27699";"174";"242"
"27700";"127";"184"
"27701";"66";"98"
"27702";"228";"308"
"27703";"247";"332"
"27704";"263";"361"
"27705";"269";"366"
"27706";"207";"280"
"27707";"287";"395"
"27708";"388";"545"
"27709";"620";"830"
"27710";"253";"339"
"27711";"135";"159"
"27712";"175";"228"
"27713";"60";"94"
"27714";"119";"177"
"27715";"182";"259"
"27716";"174";"229"
"27717";"355";"512"
"27718";"259";"352"
"27719";"512";"729"
"27720";"216";"283"
"27721";"1186";"1560"
"27722";"1174";"1547"
"27723";"1138";"1501"
"27724";"841";"1098"
"27725";"434";"591"
"27726";"867";"1156"
"27727";"833";"1112"
"27728";"830";"1093"
"27729";"1141";"1497"
"27730";"1154";"1521"
"27731";"1074";"1417"
"27732";"388";"545"
"27733";"214";"296"
"27734";"459";"605"
"27735";"177";"253"
"27736";"508";"672"
"27737";"4";"5"
"27738";"555";"740"
"27739";"121";"166"
"27740";"412";"542"
"27741";"203";"273"
"27742";"435";"565"
"27743";"477";"622"
"27744";"514";"674"
"27745";"611";"816"
"27746";"565";"747"
"27747";"447";"583"
"27748";"463";"610"
"27749";"752";"1011"
"27750";"758";"1015"
"27751";"726";"959"
"27752";"410";"536"
"27753";"358";"460"
"27754";"316";"398"
"27755";"400";"513"
"27756";"337";"423"
"27757";"432";"558"
"27758";"446";"576"
"27759";"568";"747"
"27760";"0";"0"
"27761";"78";"103"
"27762";"239";"306"
"27763";"175";"201"
"27764";"125";"148"
"27765";"158";"180"
"27766";"170";"204"
"27767";"78";"100"
"27768";"289";"373"
"27769";"328";"428"
"27770";"388";"515"
"27771";"627";"820"
"27772";"573";"766"
"27773";"676";"902"
"27774";"124";"173"
"27775";"6";"8"
"27776";"62";"81"
"27777";"89";"120"
"27778";"131";"172"
"27779";"127";"164"
"27780";"134";"173"
"27781";"430";"558"
"27782";"694";"939"
"27783";"421";"553"
"27784";"355";"456"
"27785";"419";"551"
"27786";"506";"662"
"27787";"513";"670"
"27788";"474";"625"
"27789";"757";"1033"
"27790";"641";"871"
"27791";"786";"1027"
"27792";"812";"1065"
"27793";"773";"1019"
"27794";"24";"31"
"27795";"155";"226"
"27796";"22";"31"
"27797";"315";"436"
"27798";"83";"114"
"27799";"93";"120"
"27800";"50";"70"
"27801";"50";"77"
"27802";"83";"122"
"27803";"54";"78"
"27804";"50";"65"
"27805";"121";"180"
"27806";"122";"171"
"27807";"113";"169"
"27808";"85";"110"
"27809";"184";"250"
"27810";"104";"141"
"27811";"2";"2"
"27812";"200";"270"
"27813";"198";"268"
"27814";"143";"196"
"27815";"112";"155"
"27816";"186";"250"
"27817";"178";"252"
"27818";"1054";"1378"
"27819";"161";"223"
"27820";"285";"398"
"27821";"240";"331"
"27822";"212";"286"
"27823";"180";"236"
"27824";"232";"310"
"27825";"1197";"1585"
"27826";"1118";"1472"
"27827";"324";"449"
"27828";"272";"370"
"27829";"223";"302"
"27830";"1130";"1492"
"27831";"339";"468"
"27832";"311";"424"
"27833";"916";"1211"
"27834";"855";"1136"
"27835";"701";"937"
"27836";"370";"507"
"27837";"366";"506"
"27838";"547";"746"
"27839";"698";"953"
"27840";"705";"942"
"27841";"798";"1070"
"27842";"466";"640"
"27843";"434";"596"
"27844";"393";"529"
"27845";"441";"601"
"27846";"588";"807"
"27847";"552";"755"
"27848";"631";"871"
"27849";"758";"1021"
"27850";"724";"977"
"27851";"566";"760"
"27852";"645";"872"
"27853";"702";"948"
"27854";"706";"939"
"27855";"711";"950"
"27856";"717";"958"
"27857";"293";"397"
"27858";"139";"193"
"27859";"115";"160"
"27860";"330";"453"
"27861";"213";"287"
"27862";"225";"282"
"27863";"507";"686"
"27864";"647";"875"
"27865";"419";"551"
"27866";"422";"558"
"27867";"499";"654"
"27868";"746";"1004"
"27869";"299";"406"
"27870";"199";"273"
"27871";"370";"514"
"27872";"266";"377"
"27873";"563";"791"
"27874";"452";"626"
"27875";"175";"236"
"27876";"136";"183"
"27877";"98";"132"
"27878";"149";"203"
"27879";"107";"146"
"27880";"335";"446"
"27881";"1505";"2001"
"27882";"324";"440"
"27883";"204";"281"
"27884";"104";"139"
"27885";"146";"194"
"27886";"144";"198"
"27887";"149";"206"
"27888";"235";"311"
"27889";"316";"420"
"27890";"187";"248"
"27891";"229";"304"
"27892";"270";"361"
"27893";"280";"371"
"27894";"487";"653"
"27895";"414";"574"
"27896";"315";"444"
"27897";"364";"512"
"27898";"634";"899"
"27899";"364";"507"
"27900";"519";"725"
"27901";"746";"1020"
"27902";"581";"795"
"27903";"686";"957"
"27904";"618";"875"
"27905";"197";"268"
"27906";"251";"339"
