"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"26238";"412";"561"
"26239";"828";"1150"
"26240";"861";"1194"
"26241";"756";"1042"
"26242";"324";"453"
"26243";"184";"257"
"26244";"422";"591"
"26245";"269";"379"
"26246";"242";"339"
"26247";"69";"95"
"26248";"67";"89"
"26249";"321";"442"
"26250";"305";"413"
"26251";"408";"550"
"26252";"398";"537"
"26253";"643";"866"
"26254";"395";"562"
"26255";"973";"1349"
"26256";"1018";"1401"
"26257";"1069";"1470"
"26258";"1070";"1473"
"26259";"670";"901"
"26260";"604";"812"
"26261";"450";"628"
"26262";"438";"616"
"26263";"401";"573"
"26264";"445";"634"
"26265";"525";"742"
"26266";"748";"1014"
"26267";"497";"679"
"26268";"844";"1101"
"26269";"910";"1200"
"26270";"916";"1209"
"26271";"926";"1222"
"26272";"224";"312"
"26273";"204";"282"
"26274";"136";"189"
"26275";"109";"153"
"26276";"126";"179"
"26277";"148";"209"
"26278";"634";"871"
"26279";"314";"428"
"26280";"662";"906"
"26281";"276";"383"
"26282";"631";"860"
"26283";"236";"326"
"26284";"224";"311"
"26285";"195";"262"
"26286";"228";"301"
"26287";"202";"271"
"26288";"208";"274"
"26289";"337";"475"
"26290";"317";"458"
"26291";"861";"1191"
"26292";"992";"1376"
"26293";"1015";"1408"
"26294";"756";"1041"
"26295";"184";"247"
"26296";"323";"441"
"26297";"302";"409"
"26298";"472";"626"
"26299";"574";"792"
"26300";"509";"676"
"26301";"562";"748"
"26302";"520";"692"
"26303";"553";"737"
"26304";"595";"796"
"26305";"649";"868"
"26306";"338";"472"
"26307";"354";"494"
"26308";"711";"964"
"26309";"308";"432"
"26310";"747";"1010"
"26311";"212";"300"
"26312";"171";"241"
"26313";"175";"245"
"26314";"111";"160"
"26315";"65";"95"
"26316";"224";"315"
"26317";"152";"217"
"26318";"112";"163"
"26319";"66";"95"
"26320";"175";"251"
"26321";"127";"179"
"26322";"202";"276"
"26323";"430";"580"
"26324";"470";"640"
"26325";"336";"468"
"26326";"263";"370"
