"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"16485";"461";"620"
"16486";"525";"691"
"16487";"91";"127"
"16488";"63";"88"
"16489";"139";"193"
"16490";"161";"223"
"16491";"452";"619"
"16492";"319";"433"
"16493";"383";"525"
"16494";"466";"620"
"16495";"549";"734"
"16496";"175";"260"
"16497";"231";"334"
"16498";"598";"838"
"16499";"432";"607"
"16500";"761";"960"
"16501";"766";"997"
"16502";"986";"1312"
"16503";"875";"1138"
"16504";"857";"1122"
"16505";"739";"905"
"16506";"761";"960"
"16507";"876";"1110"
"16508";"464";"598"
"16509";"564";"746"
"16510";"628";"837"
"16511";"725";"986"
"16512";"612";"817"
"16513";"610";"811"
"16514";"29";"39"
"16515";"229";"316"
"16516";"279";"386"
"16517";"394";"542"
"16518";"451";"627"
"16519";"457";"639"
"16520";"498";"693"
"16521";"505";"698"
"16522";"499";"693"
"16523";"540";"748"
"16524";"969";"1309"
"16525";"1077";"1463"
"16526";"1039";"1406"
"16527";"1121";"1524"
"16528";"1249";"1711"
"16529";"1229";"1673"
"16530";"886";"1159"
"16531";"258";"346"
"16532";"119";"161"
"16533";"165";"219"
"16534";"318";"417"
"16535";"76";"103"
"16536";"322";"429"
"16537";"439";"588"
"16538";"332";"442"
"16539";"379";"521"
"16540";"272";"377"
"16541";"148";"208"
"16542";"508";"679"
"16543";"445";"591"
"16544";"384";"538"
"16545";"315";"383"
"16546";"632";"865"
"16547";"440";"622"
"16548";"431";"615"
"16549";"393";"556"
"16550";"510";"726"
"16551";"233";"313"
"16552";"165";"219"
"16553";"275";"354"
"16554";"205";"271"
"16555";"35";"47"
"16556";"264";"345"
"16557";"165";"225"
"16558";"160";"218"
"16559";"90";"135"
"16560";"157";"210"
"16561";"308";"436"
"16562";"302";"421"
"16563";"269";"369"
"16564";"165";"226"
"16565";"96";"127"
"16566";"138";"195"
"16567";"368";"483"
"16568";"153";"215"
"16569";"92";"128"
"16570";"64";"82"
"16571";"167";"222"
"16572";"95";"129"
"16573";"318";"433"
"16574";"174";"249"
"16575";"325";"449"
"16576";"316";"444"
"16577";"383";"543"
"16578";"116";"156"
"16579";"123";"167"
"16580";"89";"122"
"16581";"169";"249"
"16582";"114";"169"
"16583";"338";"472"
"16584";"435";"619"
"16585";"374";"533"
"16586";"344";"492"
"16587";"207";"294"
"16588";"118";"169"
"16589";"367";"523"
"16590";"324";"435"
"16591";"185";"247"
"16592";"213";"301"
"16593";"333";"448"
"16594";"233";"313"
"16595";"290";"386"
"16596";"159";"243"
"16597";"244";"372"
"16598";"75";"124"
"16599";"52";"86"
"16600";"230";"345"
"16601";"186";"277"
"16602";"306";"438"
"16603";"245";"355"
"16604";"337";"488"
"16605";"224";"336"
"16606";"164";"246"
"16607";"111";"169"
"16608";"566";"698"
"16609";"217";"316"
"16610";"178";"257"
"16611";"76";"107"
"16612";"159";"241"
"16613";"618";"767"
"16614";"629";"779"
"16615";"160";"240"
"16616";"197";"300"
"16617";"149";"228"
"16618";"122";"173"
"16619";"73";"108"
"16620";"160";"212"
"16621";"82";"109"
"16622";"219";"304"
"16623";"215";"282"
"16624";"81";"115"
"16625";"249";"341"
"16626";"206";"288"
"16627";"70";"92"
"16628";"152";"199"
"16629";"274";"379"
"16630";"619";"765"
"16631";"588";"718"
"16632";"265";"369"
"16633";"249";"340"
"16634";"362";"496"
"16635";"395";"529"
"16636";"400";"525"
"16637";"257";"387"
"16638";"623";"785"
"16639";"422";"555"
"16640";"772";"1045"
"16641";"814";"1101"
"16642";"860";"1155"
"16643";"308";"460"
"16644";"292";"432"
"16645";"271";"403"
"16646";"325";"486"
"16647";"358";"530"
"16648";"501";"660"
"16649";"331";"428"
"16650";"130";"164"
"16651";"356";"525"
"16652";"554";"735"
"16653";"331";"447"
"16654";"312";"420"
"16655";"394";"527"
"16656";"351";"474"
"16657";"409";"540"
"16658";"430";"570"
"16659";"466";"619"
"16660";"518";"688"
"16661";"314";"416"
"16662";"345";"455"
"16663";"374";"492"
"16664";"379";"498"
"16665";"1153";"1578"
"16666";"1177";"1608"
"16667";"1211";"1649"
"16668";"1234";"1676"
"16669";"1186";"1595"
"16670";"920";"1262"
"16671";"952";"1302"
"16672";"245";"322"
"16673";"616";"806"
"16674";"616";"806"
"16675";"390";"515"
"16676";"343";"459"
"16677";"384";"513"
"16678";"333";"444"
"16679";"306";"413"
"16680";"331";"428"
"16681";"426";"561"
"16682";"412";"529"
"16683";"559";"739"
"16684";"489";"644"
"16685";"559";"733"
"16686";"158";"221"
"16687";"416";"530"
"16688";"614";"799"
"16689";"225";"310"
"16690";"191";"267"
"16691";"270";"371"
"16692";"484";"621"
"16693";"506";"650"
"16694";"548";"705"
"16695";"517";"722"
"16696";"588";"813"
"16697";"566";"768"
"16698";"325";"450"
"16699";"613";"847"
"16700";"314";"435"
"16701";"486";"679"
"16702";"211";"319"
"16703";"205";"302"
"16704";"130";"164"
"16705";"405";"599"
"16706";"373";"551"
"16707";"342";"505"
"16708";"354";"523"
"16709";"360";"532"
"16710";"319";"471"
"16711";"368";"525"
"16712";"569";"815"
"16713";"330";"486"
"16714";"330";"486"
"16715";"400";"569"
"16716";"557";"801"
"16717";"418";"614"
"16718";"109";"150"
"16719";"133";"184"
"16720";"378";"558"
"16721";"88";"121"
"16722";"70";"95"
"16723";"88";"113"
"16724";"110";"140"
"16725";"382";"504"
"16726";"502";"656"
"16727";"484";"633"
"16728";"439";"641"
"16729";"501";"655"
"16730";"525";"688"
"16731";"568";"750"
"16732";"450";"656"
"16733";"465";"675"
"16734";"500";"723"
"16735";"527";"759"
"16736";"302";"418"
"16737";"348";"482"
"16738";"284";"384"
"16739";"112";"143"
"16740";"206";"260"
"16741";"206";"260"
"16742";"267";"342"
"16743";"267";"342"
"16744";"565";"757"
"16745";"756";"1016"
"16746";"443";"612"
"16747";"696";"951"
"16748";"381";"513"
"16749";"972";"1317"
"16750";"1079";"1462"
"16751";"81";"122"
"16752";"558";"736"
"16753";"1391";"1873"
"16754";"1260";"1700"
"16755";"1256";"1695"
"16756";"1154";"1571"
"16757";"1210";"1639"
"16758";"1234";"1668"
"16759";"1051";"1448"
"16760";"944";"1298"
"16761";"787";"1070"
"16762";"782";"1063"
"16763";"948";"1305"
"16764";"714";"975"
"16765";"713";"977"
"16766";"738";"1012"
"16767";"967";"1321"
"16768";"921";"1263"
"16769";"967";"1336"
"16770";"284";"384"
"16771";"303";"409"
"16772";"329";"444"
"16773";"354";"477"
"16774";"273";"386"
"16775";"250";"352"
"16776";"259";"351"
"16777";"112";"143"
"16778";"187";"270"
"16779";"91";"128"
"16780";"253";"340"
"16781";"73";"94"
"16782";"134";"171"
"16783";"234";"298"
"16784";"562";"747"
"16785";"50";"74"
"16786";"106";"137"
"16787";"206";"260"
"16788";"241";"306"
"16789";"109";"141"
"16790";"267";"342"
"16791";"168";"223"
"16792";"357";"487"
"16793";"657";"882"
"16794";"500";"663"
"16795";"666";"903"
"16796";"687";"934"
"16797";"704";"967"
"16798";"617";"818"
"16799";"706";"970"
"16800";"557";"734"
"16801";"644";"855"
"16802";"619";"820"
"16803";"670";"892"
"16804";"565";"757"
"16805";"646";"858"
"16806";"698";"932"
"16807";"675";"899"
"16808";"669";"895"
"16809";"758";"1020"
"16810";"784";"1057"
"16811";"778";"1049"
"16812";"624";"845"
"16813";"604";"814"
"16814";"643";"869"
"16815";"635";"861"
"16816";"665";"902"
"16817";"615";"832"
"16818";"700";"953"
"16819";"836";"1141"
"16820";"246";"344"
"16821";"226";"316"
"16822";"224";"313"
"16823";"205";"285"
"16824";"178";"246"
"16825";"211";"292"
"16826";"233";"322"
"16827";"236";"326"
"16828";"255";"353"
"16829";"327";"464"
"16830";"256";"353"
"16831";"278";"384"
"16832";"281";"388"
"16833";"297";"409"
"16834";"302";"416"
"16835";"344";"475"
"16836";"356";"491"
"16837";"354";"489"
"16838";"399";"550"
"16839";"374";"516"
"16840";"421";"582"
"16841";"399";"550"
"16842";"417";"576"
"16843";"464";"640"
"16844";"446";"615"
"16845";"309";"438"
"16846";"502";"693"
"16847";"290";"409"
"16848";"285";"402"
"16849";"267";"376"
"16850";"465";"613"
"16851";"487";"644"
"16852";"547";"721"
"16853";"591";"779"
"16854";"612";"806"
"16855";"447";"605"
"16856";"654";"863"
"16857";"530";"692"
"16858";"376";"506"
"16859";"259";"357"
"16860";"338";"452"
"16861";"283";"385"
"16862";"383";"505"
"16863";"391";"517"
"16864";"598";"819"
"16865";"625";"857"
"16866";"647";"890"
"16867";"529";"699"
"16868";"506";"669"
"16869";"556";"738"
"16870";"583";"778"
"16871";"500";"675"
"16872";"584";"779"
"16873";"616";"824"
"16874";"617";"825"
"16875";"640";"858"
"16876";"640";"859"
"16877";"668";"899"
"16878";"696";"940"
"16879";"726";"982"
"16880";"550";"750"
"16881";"531";"721"
"16882";"584";"794"
"16883";"553";"758"
"16884";"596";"816"
"16885";"49";"67"
"16886";"27";"38"
"16887";"8";"10"
"16888";"43";"60"
"16889";"29";"39"
"16890";"90";"122"
"16891";"44";"61"
"16892";"116";"157"
"16893";"139";"193"
"16894";"70";"96"
"16895";"135";"182"
"16896";"158";"213"
"16897";"122";"169"
"16898";"97";"135"
"16899";"93";"129"
"16900";"70";"97"
"16901";"49";"68"
"16902";"443";"612"
"16903";"566";"785"
"16904";"491";"649"
"16905";"585";"790"
"16906";"479";"636"
"16907";"603";"816"
"16908";"529";"708"
"16909";"651";"885"
"16910";"553";"742"
"16911";"478";"672"
"16912";"696";"951"
"16913";"589";"793"
"16914";"671";"917"
"16915";"613";"832"
"16916";"643";"876"
"16917";"671";"917"
"16918";"473";"658"
"16919";"524";"729"
"16920";"521";"722"
"16921";"421";"555"
"16922";"518";"721"
"16923";"516";"689"
"16924";"541";"752"
"16925";"281";"387"
"16926";"282";"380"
"16927";"305";"411"
"16928";"325";"438"
"16929";"326";"439"
"16930";"259";"356"
"16931";"234";"321"
"16932";"235";"318"
"16933";"257";"346"
"16934";"560";"756"
"16935";"523";"700"
"16936";"503";"670"
"16937";"418";"555"
"16938";"557";"750"
"16939";"528";"715"
"16940";"592";"800"
"16941";"601";"813"
"16942";"652";"888"
"16943";"682";"932"
"16944";"713";"973"
"16945";"543";"729"
"16946";"524";"701"
"16947";"425";"587"
"16948";"430";"586"
"16949";"456";"620"
"16950";"474";"643"
"16951";"402";"555"
"16952";"380";"525"
"16953";"385";"527"
"16954";"404";"552"
"16955";"426";"574"
"16956";"426";"574"
"16957";"245";"328"
"16958";"294";"394"
"16959";"282";"378"
"16960";"271";"363"
"16961";"302";"404"
"16962";"279";"373"
"16963";"330";"442"
"16964";"305";"409"
"16965";"331";"444"
"16966";"426";"574"
"16967";"384";"517"
"16968";"373";"500"
"16969";"428";"575"
"16970";"425";"571"
"16971";"512";"687"
"16972";"472";"636"
"16973";"443";"597"
"16974";"381";"513"
"16975";"489";"661"
"16976";"467";"630"
"16977";"557";"747"
"16978";"513";"694"
"16979";"489";"660"
"16980";"513";"694"
"16981";"601";"806"
"16982";"572";"773"
"16983";"607";"816"
"16984";"338";"454"
"16985";"361";"485"
"16986";"318";"427"
"16987";"343";"460"
"16988";"299";"400"
