"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"2501";"429";"580"
"2502";"209";"283"
"2503";"472";"645"
"2504";"535";"729"
"2505";"529";"709"
"2506";"316";"422"
"2507";"396";"538"
"2508";"318";"426"
"2509";"634";"857"
"2510";"426";"591"
"2511";"468";"640"
"2512";"568";"773"
"2513";"529";"721"
"2514";"425";"590"
"2515";"34";"46"
"2516";"474";"655"
"2517";"544";"747"
"2518";"492";"681"
"2519";"193";"256"
"2520";"118";"159"
"2521";"118";"159"
"2522";"12";"17"
"2523";"553";"772"
"2524";"499";"697"
"2525";"216";"295"
"2526";"39";"56"
"2527";"318";"438"
"2528";"94";"125"
"2529";"210";"293"
"2530";"322";"435"
"2531";"201";"265"
"2532";"273";"364"
"2533";"288";"386"
"2534";"233";"307"
"2535";"153";"198"
"2536";"143";"186"
"2537";"201";"265"
"2538";"230";"305"
"2539";"303";"399"
"2540";"357";"479"
"2541";"323";"435"
"2542";"290";"392"
"2543";"278";"371"
"2544";"287";"384"
"2545";"291";"381"
"2546";"336";"453"
"2547";"391";"524"
"2548";"339";"448"
"2549";"405";"555"
"2550";"233";"307"
"2551";"249";"326"
"2552";"318";"421"
"2553";"445";"609"
"2554";"265";"357"
"2555";"249";"334"
"2556";"251";"335"
"2557";"207";"273"
"2558";"361";"488"
"2559";"308";"416"
"2560";"221";"297"
"2561";"499";"692"
"2562";"398";"553"
"2563";"400";"554"
"2564";"455";"626"
"2565";"379";"521"
"2566";"319";"440"
"2567";"155";"208"
"2568";"175";"232"
"2569";"100";"131"
"2570";"194";"260"
"2571";"648";"888"
"2572";"752";"1030"
"2573";"593";"842"
"2574";"411";"589"
"2575";"454";"602"
"2576";"502";"683"
"2577";"300";"426"
"2578";"335";"479"
"2579";"192";"275"
"2580";"285";"403"
"2581";"175";"250"
"2582";"281";"396"
"2583";"416";"581"
"2584";"428";"597"
"2585";"384";"536"
"2586";"384";"536"
"2587";"365";"512"
"2588";"385";"513"
"2589";"304";"403"
"2590";"247";"328"
"2591";"205";"262"
"2592";"140";"173"
"2593";"176";"224"
"2594";"279";"382"
"2595";"179";"246"
"2596";"205";"276"
"2597";"187";"254"
"2598";"236";"318"
"2599";"949";"1273"
"2600";"963";"1297"
"2601";"228";"313"
"2602";"168";"234"
"2603";"249";"322"
"2604";"71";"104"
"2605";"135";"190"
"2606";"99";"144"
"2607";"75";"107"
"2608";"56";"79"
"2609";"142";"194"
"2610";"220";"292"
"2611";"196";"276"
"2612";"83";"115"
"2613";"129";"171"
"2614";"576";"792"
"2615";"542";"749"
"2616";"512";"702"
"2617";"465";"645"
"2618";"419";"590"
"2619";"301";"423"
"2620";"235";"328"
"2621";"334";"469"
"2622";"325";"450"
"2623";"268";"364"
"2624";"461";"619"
"2625";"505";"683"
"2626";"358";"498"
"2627";"363";"498"
"2628";"316";"431"
"2629";"495";"691"
"2630";"431";"603"
"2631";"544";"760"
"2632";"1169";"1597"
"2633";"486";"680"
"2634";"645";"906"
"2635";"633";"892"
"2636";"597";"842"
"2637";"607";"858"
"2638";"502";"713"
"2639";"379";"533"
"2640";"439";"624"
"2641";"425";"603"
"2642";"716";"1000"
"2643";"1104";"1515"
"2644";"738";"1033"
"2645";"714";"1003"
"2646";"678";"956"
"2647";"638";"906"
"2648";"499";"703"
"2649";"502";"697"
"2650";"513";"724"
"2651";"417";"591"
"2652";"572";"808"
"2653";"1087";"1495"
"2654";"616";"875"
"2655";"388";"554"
"2656";"515";"734"
"2657";"412";"591"
"2658";"369";"534"
"2659";"494";"704"
"2660";"338";"482"
"2661";"326";"463"
"2662";"573";"813"
"2663";"472";"643"
"2664";"4";"5"
"2665";"62";"78"
"2666";"188";"253"
"2667";"162";"223"
"2668";"478";"648"
"2669";"500";"685"
"2670";"208";"275"
"2671";"525";"719"
"2672";"215";"284"
"2673";"519";"707"
"2674";"125";"166"
"2675";"211";"275"
"2676";"104";"144"
"2677";"182";"236"
"2678";"111";"142"
"2679";"181";"236"
"2680";"131";"178"
"2681";"166";"221"
"2682";"137";"181"
"2683";"396";"548"
"2684";"500";"711"
"2685";"232";"307"
"2686";"88";"121"
"2687";"236";"314"
"2688";"302";"418"
"2689";"265";"369"
"2690";"141";"200"
"2691";"79";"113"
"2692";"235";"332"
"2693";"199";"268"
"2694";"267";"386"
"2695";"96";"127"
"2696";"270";"366"
"2697";"188";"245"
"2698";"165";"223"
"2699";"226";"307"
"2700";"436";"610"
"2701";"183";"256"
"2702";"350";"481"
"2703";"196";"271"
"2704";"313";"438"
"2705";"208";"280"
"2706";"225";"313"
"2707";"214";"285"
"2708";"334";"452"
"2709";"293";"403"
"2710";"200";"279"
"2711";"342";"479"
"2712";"513";"699"
"2713";"455";"625"
"2714";"523";"723"
"2715";"546";"755"
"2716";"336";"457"
"2717";"226";"302"
"2718";"259";"343"
"2719";"298";"396"
"2720";"117";"162"
"2721";"310";"417"
"2722";"326";"448"
"2723";"326";"448"
"2724";"326";"448"
"2725";"304";"399"
"2726";"196";"271"
"2727";"470";"659"
"2728";"283";"391"
"2729";"228";"306"
"2730";"259";"347"
"2731";"280";"379"
"2732";"202";"270"
"2733";"354";"483"
"2734";"372";"510"
"2735";"13";"18"
"2736";"168";"233"
"2737";"110";"155"
"2738";"373";"513"
"2739";"145";"211"
"2740";"212";"300"
"2741";"231";"327"
"2742";"178";"254"
"2743";"176";"256"
"2744";"370";"527"
"2745";"421";"569"
