OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
5015;Москва, Толстопальцево, Центральная ул, д.14;32478;37.209;55.609028;88;0.013528;37.214527;55.621377
5016;Москва, Толстопальцево, Центральная ул, д.15;32479;37.210141;55.608799;88;0.013319;37.214527;55.621377
5017;Москва, Толстопальцево, Центральная ул, д.16;32480;37.216475;55.595327;88;0.026121;37.214527;55.621377
5018;Москва, Толстопальцево, Центральная ул, д.16, стр.Б/Н;32481;37.208802;55.609375;88;0.013297;37.214527;55.621377
5019;Москва, Толстопальцево, Центральная ул, д.16А;32482;37.208622;55.609557;88;0.013211;37.214527;55.621377
5020;Москва, Толстопальцево, Центральная ул, д.16Б;32483;37.208802;55.609375;88;0.013297;37.214527;55.621377
5021;Москва, Толстопальцево, Центральная ул, д.17;32484;37.210266;55.608561;88;0.013504;37.214527;55.621377
5022;Москва, Толстопальцево, Центральная ул, д.17, стр.1;32485;37.210294;55.608556;88;0.013501;37.214527;55.621377
5023;Москва, Толстопальцево, Центральная ул, д.18;32486;37.209495;55.608592;88;0.013739;37.214527;55.621377
5024;Москва, Толстопальцево, Центральная ул, д.19;32487;37.210419;55.608327;88;0.01368;37.214527;55.621377
5025;Москва, Толстопальцево, Центральная ул, д.19, стр.1;32488;37.210429;55.608358;88;0.013648;37.214527;55.621377
5026;Москва, Толстопальцево, Центральная ул, д.2;32489;37.207968;55.610655;88;0.012568;37.214527;55.621377
5027;Москва, Толстопальцево, Центральная ул, д.20;32490;37.209485;55.608404;88;0.013917;37.214527;55.621377
5028;Москва, Толстопальцево, Центральная ул, д.21;32491;37.210564;55.608174;88;0.013783;37.214527;55.621377
5029;Москва, Толстопальцево, Центральная ул, д.22;32492;37.209665;55.608159;88;0.014082;37.214527;55.621377
5030;Москва, Толстопальцево, Центральная ул, д.23, стр.1;32493;37.210518;55.607992;88;0.013972;37.214527;55.621377
5031;Москва, Толстопальцево, Центральная ул, д.23, стр.2;32494;37.210769;55.607936;88;0.013956;37.214527;55.621377
5032;Москва, Толстопальцево, Центральная ул, д.24;32495;37.209809;55.607946;88;0.014235;37.214527;55.621377
5033;Москва, Толстопальцево, Центральная ул, д.24, стр.1;32496;37.209853;55.608068;88;0.014105;37.214527;55.621377
5034;Москва, Толстопальцево, Центральная ул, д.24, стр.7;32497;37.20979;55.607899;88;0.014284;37.214527;55.621377
5035;Москва, Толстопальцево, Центральная ул, д.25;32498;37.210842;55.607762;88;0.014103;37.214527;55.621377
5036;Москва, Толстопальцево, Центральная ул, д.26;32499;37.209952;55.607753;88;0.014371;37.214527;55.621377
5037;Москва, Толстопальцево, Центральная ул, д.28, стр.1;32500;37.210131;55.607544;88;0.014514;37.214527;55.621377
5038;Москва, Толстопальцево, Центральная ул, д.28, стр.2;32501;37.210115;55.607641;88;0.014427;37.214527;55.621377
5039;Москва, Толстопальцево, Центральная ул, д.29;32502;37.211579;55.607081;88;0.014595;37.214527;55.621377
5040;Москва, Толстопальцево, Центральная ул, д.29, стр.Б/Н;32503;37.211579;55.607081;88;0.014595;37.214527;55.621377
5041;Москва, Толстопальцево, Центральная ул, д.3;32504;37.208919;55.610428;88;0.012301;37.214527;55.621377
5042;Москва, Толстопальцево, Центральная ул, д.31;32505;37.211642;55.60673;88;0.014927;37.214527;55.621377
5043;Москва, Толстопальцево, Центральная ул, д.32;32506;37.210715;55.606811;88;0.015055;37.214527;55.621377
5044;Москва, Толстопальцево, Центральная ул, д.33;32507;37.21174;55.606512;88;0.015124;37.214527;55.621377
5045;Москва, Толстопальцево, Центральная ул, д.34;32508;37.210842;55.606563;88;0.015265;37.214527;55.621377
5046;Москва, Толстопальцево, Центральная ул, д.35;32509;37.21174;55.606512;88;0.015124;37.214527;55.621377
5047;Москва, Толстопальцево, Центральная ул, д.36;32510;37.210995;55.606375;88;0.015412;37.214527;55.621377
5048;Москва, Толстопальцево, Центральная ул, д.37;32511;37.212036;55.606109;88;0.015468;37.214527;55.621377
5049;Москва, Толстопальцево, Центральная ул, д.38;32512;37.211102;55.606136;88;0.01562;37.214527;55.621377
5050;Москва, Толстопальцево, Центральная ул, д.39;32513;37.212189;55.605891;88;0.01566;37.214527;55.621377
5051;Москва, Толстопальцево, Центральная ул, д.4;32514;37.20767;55.610407;88;0.012936;37.214527;55.621377
5052;Москва, Толстопальцево, Центральная ул, д.40;32515;37.211254;55.605931;88;0.015787;37.214527;55.621377
5053;Москва, Толстопальцево, Центральная ул, д.41;32516;37.212314;55.605729;88;0.015803;37.214527;55.621377
5054;Москва, Толстопальцево, Центральная ул, д.42;32517;37.211345;55.605718;88;0.015978;37.214527;55.621377
5055;Москва, Толстопальцево, Центральная ул, д.43;32518;37.212485;55.605499;88;0.016007;37.214527;55.621377
5056;Москва, Толстопальцево, Центральная ул, д.44;32519;37.211462;55.605443;88;0.016225;37.214527;55.621377
5057;Москва, Толстопальцево, Центральная ул, д.44, стр.4;32520;37.211507;55.605607;88;0.016056;37.214527;55.621377
5058;Москва, Толстопальцево, Центральная ул, д.45;32521;37.21262;55.605317;88;0.016172;37.214527;55.621377
5059;Москва, Толстопальцево, Центральная ул, д.46;32522;37.211678;55.605362;88;0.016265;37.214527;55.621377
5060;Москва, Толстопальцево, Центральная ул, д.47, стр.1;32523;37.212799;55.605083;88;0.016385;37.214527;55.621377
5061;Москва, Толстопальцево, Центральная ул, д.47, стр.2;32524;37.212989;55.605185;88;0.016264;37.214527;55.621377
5062;Москва, Толстопальцево, Центральная ул, д.48;32525;37.211838;55.605113;88;0.016483;37.214527;55.621377
5063;Москва, Толстопальцево, Центральная ул, д.49;32526;37.212962;55.604874;88;0.016576;37.214527;55.621377
5064;Москва, Толстопальцево, Центральная ул, д.5;32527;37.208929;55.610401;88;0.01232;37.214527;55.621377
5065;Москва, Толстопальцево, Центральная ул, д.50;32528;37.212;55.604935;88;0.016633;37.214527;55.621377
5066;Москва, Толстопальцево, Центральная ул, д.51, стр.1;32529;37.213069;55.604656;88;0.016784;37.214527;55.621377
5067;Москва, Толстопальцево, Центральная ул, д.52;32530;37.212198;55.604726;88;0.016811;37.214527;55.621377
5068;Москва, Толстопальцево, Центральная ул, д.53;32531;37.213949;55.603999;88;0.017386;37.214527;55.621377
5069;Москва, Толстопальцево, Центральная ул, д.53А;32532;37.213204;55.604472;88;0.016955;37.214527;55.621377
5070;Москва, Толстопальцево, Центральная ул, д.53А, стр.Б/Н;32533;37.213204;55.604472;88;0.016955;37.214527;55.621377
5071;Москва, Толстопальцево, Центральная ул, д.53Б, стр.1;32534;37.2135;55.604168;88;0.017239;37.214527;55.621377
5072;Москва, Толстопальцево, Центральная ул, д.54;32535;37.21235;55.604498;88;0.017018;37.214527;55.621377
