"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"27464";"726";"1016"
"27465";"74";"106"
"27466";"697";"981"
"27467";"314";"460"
"27468";"682";"966"
"27469";"546";"774"
"27470";"504";"713"
"27471";"429";"604"
"27472";"626";"879"
"27473";"414";"599"
"27474";"74";"102"
"27475";"599";"837"
"27476";"545";"759"
"27477";"515";"716"
"27478";"564";"777"
"27479";"473";"667"
"27480";"691";"960"
"27481";"1048";"1449"
"27482";"481";"687"
"27483";"389";"550"
"27484";"423";"597"
"27485";"366";"524"
"27486";"389";"550"
"27487";"481";"687"
"27488";"306";"422"
"27489";"269";"367"
"27490";"235";"320"
"27491";"103";"143"
"27492";"393";"533"
"27493";"517";"717"
"27494";"519";"715"
"27495";"74";"106"
"27496";"458";"637"
"27497";"527";"743"
"27498";"512";"717"
"27499";"572";"805"
"27500";"660";"930"
"27501";"155";"226"
"27502";"112";"158"
"27503";"68";"95"
"27504";"195";"253"
"27505";"299";"427"
"27506";"177";"251"
"27507";"142";"213"
"27508";"112";"166"
"27509";"553";"671"
"27510";"464";"635"
"27511";"372";"502"
"27512";"441";"584"
"27513";"464";"635"
"27514";"755";"1094"
"27515";"497";"730"
"27516";"338";"494"
"27517";"334";"490"
"27518";"289";"405"
"27519";"246";"331"
"27520";"219";"298"
"27521";"798";"1148"
"27522";"595";"881"
"27523";"551";"813"
"27524";"471";"688"
"27525";"424";"646"
"27526";"162";"187"
"27527";"208";"263"
"27528";"134";"186"
"27529";"58";"67"
"27530";"62";"72"
"27531";"62";"72"
"27532";"97";"140"
"27533";"158";"223"
"27534";"176";"249"
"27535";"392";"538"
"27536";"475";"655"
"27537";"135";"197"
"27538";"458";"628"
"27539";"261";"367"
"27540";"249";"348"
"27541";"190";"258"
"27542";"284";"387"
"27543";"341";"458"
"27544";"209";"294"
"27545";"164";"224"
"27546";"210";"282"
"27547";"245";"329"
"27548";"2345";"3157"
"27549";"2161";"2906"
"27550";"1429";"1761"
"27551";"1331";"1637"
"27552";"1443";"1774"
"27553";"1244";"1560"
"27554";"1290";"1606"
"27555";"1337";"1651"
"27556";"1320";"1635"
"27557";"1370";"1683"
"27558";"1532";"1901"
"27559";"720";"1057"
"27560";"595";"720"
"27561";"512";"627"
"27562";"666";"981"
"27563";"627";"803"
"27564";"653";"966"
"27565";"429";"565"
"27566";"640";"946"
"27567";"624";"926"
"27568";"0";"0"
"27569";"754";"1117"
"27570";"732";"1082"
"27571";"840";"1214"
"27572";"744";"1090"
"27573";"1541";"2075"
"27574";"812";"1178"
"27575";"795";"1172"
"27576";"877";"1082"
"27577";"917";"1130"
"27578";"1567";"2107"
"27579";"1008";"1394"
"27580";"370";"558"
"27581";"327";"481"
"27582";"1628";"2187"
"27583";"1723";"2289"
"27584";"1663";"2229"
"27585";"1733";"2269"
"27586";"1786";"2347"
"27587";"1840";"2425"
"27588";"297";"441"
"27589";"382";"531"
"27590";"240";"349"
"27591";"64";"86"
"27592";"147";"187"
"27593";"139";"190"
"27594";"398";"615"
"27595";"208";"278"
"27596";"202";"277"
"27597";"292";"388"
"27598";"1658";"2222"
"27599";"488";"730"
"27600";"379";"588"
"27601";"413";"636"
"27602";"271";"422"
"27603";"316";"484"
"27604";"246";"372"
"27605";"271";"396"
"27606";"951";"1367"
"27607";"378";"543"
"27608";"600";"853"
"27609";"2345";"3157"
"27610";"2161";"2906"
"27611";"1502";"2021"
"27612";"1502";"2021"
"27613";"2161";"2906"
"27614";"1429";"1761"
"27615";"640";"945"
"27616";"1541";"2075"
"27617";"1008";"1394"
"27618";"874";"1254"
"27619";"888";"1267"
"27620";"757";"1100"
"27621";"721";"1044"
"27622";"627";"896"
"27623";"588";"834"
"27624";"1733";"2269"
"27625";"1733";"2269"
"27626";"382";"531"
"27627";"252";"350"
"27628";"413";"636"
"27629";"416";"592"
"27630";"416";"592"
"27631";"495";"645"
"27632";"242";"354"
"27633";"259";"381"
"27634";"269";"390"
"27635";"423";"567"
"27636";"431";"597"
"27637";"322";"453"
"27638";"256";"355"
"27639";"240";"329"
"27640";"347";"480"
"27641";"151";"206"
"27642";"151";"206"
"27643";"219";"326"
"27644";"252";"375"
"27645";"156";"216"
"27646";"162";"226"
"27647";"124";"171"
"27648";"203";"273"
"27649";"172";"254"
"27650";"6";"9"
"27651";"198";"276"
"27652";"96";"132"
"27653";"89";"124"
"27654";"256";"353"
"27655";"298";"406"
"27656";"340";"459"
"27657";"480";"660"
"27658";"353";"494"
"27659";"473";"649"
"27660";"402";"555"
"27661";"105";"160"
"27662";"127";"191"
"27663";"306";"432"
"27664";"276";"386"
"27665";"375";"523"
"27666";"384";"543"
"27667";"482";"683"
"27668";"533";"757"
"27669";"293";"414"
"27670";"162";"240"
"27671";"214";"323"
"27672";"412";"579"
"27673";"214";"308"
"27674";"465";"669"
"27675";"438";"617"
"27676";"401";"577"
"27677";"261";"390"
"27678";"432";"601"
"27679";"495";"646"
"27680";"332";"443"
