OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
1;Москва, Зеленоград, корп.1001;45573;37.180237;55.988072;23;0.003768;37.176544;55.987322
2;Москва, Зеленоград, корп.1002;45574;37.177909;55.987633;23;0.001401;37.176544;55.987322
3;Москва, Зеленоград, корп.1003;45575;37.179508;55.987028;23;0.002979;37.176544;55.987322
4;Москва, Зеленоград, корп.1004;45576;37.179733;55.985145;23;0.00386;37.176544;55.987322
5;Москва, Зеленоград, корп.1004, стр.1;45577;37.214381;55.991892;44;0.00303;37.21582;55.994561
6;Москва, Зеленоград, корп.1005;45578;37.177021;55.985735;23;0.001657;37.176544;55.987322
7;Москва, Зеленоград, корп.1006;45579;37.175043;55.984703;38;0.002831;37.174975;55.987534
8;Москва, Зеленоград, корп.1006, стр.1;45580;37.214381;55.991892;44;0.00303;37.21582;55.994561
9;Москва, Зеленоград, корп.1007;45581;37.1734;55.985004;38;0.002979;37.174975;55.987534
10;Москва, Зеленоград, корп.1007, стр.2;45582;37.214381;55.991892;44;0.00303;37.21582;55.994561
11;Москва, Зеленоград, корп.1011;45583;37.181135;55.987381;65;0.004458;37.184139;55.984088
12;Москва, Зеленоград, корп.1012;45584;37.169394;55.988766;22;0.004456;37.173804;55.988126
13;Москва, Зеленоград, корп.1012, стр.1;45585;37.214381;55.991892;44;0.00303;37.21582;55.994561
14;Москва, Зеленоград, корп.1013;45586;37.169851;55.989586;63;0.003701;37.171232;55.993022
15;Москва, Зеленоград, корп.1013, стр.1;45587;37.214381;55.991892;44;0.00303;37.21582;55.994561
16;Москва, Зеленоград, корп.1014;45588;37.172637;55.988413;22;0.001202;37.173804;55.988126
17;Москва, Зеленоград, корп.1015;45589;37.173005;55.987053;22;0.001337;37.173804;55.988126
18;Москва, Зеленоград, корп.1015, стр.1;45590;37.214381;55.991892;44;0.00303;37.21582;55.994561
19;Москва, Зеленоград, ул. Гоголя, д.11А;45591;37.171477;55.987542;22;0.002397;37.173804;55.988126
20;Москва, Зеленоград, ул. Гоголя, д.11Б;45592;37.171198;55.987004;22;0.002836;37.173804;55.988126
21;Москва, Зеленоград, ул. Гоголя, д.11В;45593;37.171774;55.986224;22;0.002781;37.173804;55.988126
22;Москва, Зеленоград, ул. Панфилова, д.15;45594;37.170282;55.983358;37;0.004136;37.16876;55.979512
23;Москва, Зеленоград, ул. Панфилова, д.15А;45595;37.170965;55.982894;37;0.004038;37.16876;55.979512
24;Москва, Зеленоград, ул. Панфилова, д.17;45596;37.169789;55.98381;31;0.004415;37.166146;55.981316
25;Москва, Зеленоград, корп.200А;45597;37.200924;56.006698;39;0.002966;37.199908;56.003911
26;Москва, Зеленоград, корп.200Б;45598;37.200206;56.005943;39;0.002053;37.199908;56.003911
27;Москва, Зеленоград, корп.200В;45599;37.199522;56.005228;39;0.001373;37.199908;56.003911
28;Москва, Зеленоград, корп.200Г;45600;37.198831;56.004528;39;0.00124;37.199908;56.003911
29;Москва, Зеленоград, корп.205;45601;37.200295;56.005058;39;0.00121;37.199908;56.003911
30;Москва, Зеленоград, корп.207;45602;37.200295;56.005058;39;0.00121;37.199908;56.003911
31;Москва, Зеленоград, корп.219;45603;37.206035;56.001177;91;0.001975;37.206366;55.999229
32;Москва, Зеленоград, корп.231;45604;37.203332;56.003361;42;0.002234;37.201654;56.001886
33;Москва, Зеленоград, корп.232;45605;37.202828;56.003058;42;0.00166;37.201654;56.001886
34;Москва, Зеленоград, корп.234;45606;37.204033;56.001402;42;0.002427;37.201654;56.001886
35;Москва, Зеленоград, корп.235;45607;37.203647;56.002384;42;0.002054;37.201654;56.001886
36;Москва, Зеленоград, корп.236;45608;37.205686;56.001916;91;0.002772;37.206366;55.999229
37;Москва, Зеленоград, корп.237;45609;37.206673;56.001936;91;0.002725;37.206366;55.999229
38;Москва, Зеленоград, корп.238;45610;37.204319;56.002707;42;0.002789;37.201654;56.001886
39;Москва, Зеленоград, корп.239;45611;37.206261;56.002566;91;0.003338;37.206366;55.999229
40;Москва, Зеленоград, корп.239, стр.1;45612;37.206261;56.002566;91;0.003338;37.206366;55.999229
41;Москва, Зеленоград, корп.240;45613;37.207203;56.001438;91;0.002362;37.206366;55.999229
42;Москва, Зеленоград, корп.241;45614;37.207617;56.002359;91;0.003371;37.206366;55.999229
43;Москва, Зеленоград, корп.247;45615;37.201652;56.005511;39;0.002366;37.199908;56.003911
44;Москва, Зеленоград, корп.248;45616;37.20273;56.004534;41;0.002686;37.200687;56.002789
45;Москва, Зеленоград, корп.249;45617;37.204266;56.004942;55;0.003225;37.204671;56.008142
46;Москва, Зеленоград, корп.250;45618;37.203171;56.005907;55;0.00269;37.204671;56.008142
47;Москва, Зеленоград, корп.251;45619;37.202263;56.006511;55;0.002907;37.204671;56.008142
48;Москва, Зеленоград, корп.303;45620;37.213114;55.999158;43;0.002617;37.21078;56.00034
49;Москва, Зеленоград, корп.301А;45621;37.210733;56.000346;43;0.000046;37.21078;56.00034
50;Москва, Зеленоград, корп.301Б;45622;37.211335;55.999374;43;0.001113;37.21078;56.00034
51;Москва, Зеленоград, корп.302А;45623;37.212449;55.997521;43;0.003275;37.21078;56.00034
52;Москва, Зеленоград, корп.302Б;45624;37.213007;55.996576;44;0.00346;37.21582;55.994561
53;Москва, Зеленоград, корп.303;45625;37.213114;55.999158;43;0.002617;37.21078;56.00034
54;Москва, Зеленоград, корп.303, стр.1;45626;37.212711;55.999882;43;0.001984;37.21078;56.00034
55;Москва, Зеленоград, корп.303, стр.2;45627;37.212711;55.999882;43;0.001984;37.21078;56.00034
56;Москва, Зеленоград, корп.305;45628;37.211838;55.998494;43;0.002128;37.21078;56.00034
