"ID","WALKING_DURATION","WALKING_DISTANCE"
"1","2959","3999"
"2","2803","3798"
"3","2580","3479"
"4","2663","3594"
"5","2566","3461"
"6","2614","3540"
"7","2634","3570"
"8","2700","3672"
"9","2536","3431"
"10","2622","3559"
"11","2713","3678"
"12","2443","3298"
"13","2541","3433"
"14","2736","3705"
"15","2695","3649"
"16","2672","3617"
"17","2560","3460"
"18","2518","3402"
"19","2474","3339"
"20","2474","3339"
"21","2556","3449"
"22","2560","3459"
"23","2527","3413"
"24","2544","3432"
"25","2550","3453"
"26","2589","3449"
"27","2828","3831"
"28","2755","3720"
"29","2719","3672"
"30","2704","3656"
"31","2855","3869"
"32","2782","3755"
"33","2752","3731"
"34","2735","3716"
"35","2702","3670"
"36","2764","3761"
"37","2885","3896"
"38","2884","3909"
"39","2730","3689"
"40","2731","3684"
"41","2663","3596"
"42","2662","3594"
"43","2626","3543"
"44","2926","3951"
"45","2614","3527"
"46","2617","3529"
"47","2617","3538"
"48","2601","3518"
"49","2769","3739"
"50","2700","3642"
"51","2742","3701"
"52","2662","3591"
"53","2670","3601"
"54","2666","3595"
"55","2753","3716"
"56","2718","3680"
"57","2702","3660"
"58","2649","3589"
"59","2699","3658"
"60","2622","3551"
"61","2844","3853"
"62","1886","2493"
"63","2124","2832"
"64","2078","2760"
"65","2037","2707"
"66","2039","2708"
"67","1886","2483"
"68","1999","2645"
"69","1900","2531"
"70","1801","2387"
"71","1958","2606"
"72","1971","2637"
"73","1971","2637"
"74","1971","2637"
"75","1826","2435"
"76","1723","2302"
"77","1856","2488"
"78","1887","2534"
"79","1816","2422"
"80","1832","2443"
"81","1887","2516"
"82","1903","2537"
"83","1963","2614"
"84","1904","2517"
"85","1955","2582"
"86","1939","2581"
"87","1925","2563"
"88","1796","2363"
"89","1844","2428"
"90","1865","2453"
"91","1949","2570"
"92","1838","2442"
"93","1838","2442"
"94","1879","2508"
"95","1786","2367"
"96","1700","2234"
"97","1736","2296"
"98","1723","2272"
"99","1707","2250"
"100","1752","2320"
"101","1693","2242"
"102","1682","2226"
"103","1682","2226"
"104","1682","2226"
"105","1682","2226"
"106","1682","2226"
"107","1648","2176"
"108","1435","1898"
"109","1482","1963"
"110","1511","2006"
"111","1634","2164"
"112","1565","2073"
"113","1425","1887"
"114","1986","2659"
"115","1886","2523"
"116","1871","2503"
"117","1957","2620"
"118","1919","2565"
"119","1908","2550"
"120","1785","2392"
"121","1768","2381"
"122","1869","2525"
"123","1745","2356"
"124","1840","2463"
"125","1887","2526"
"126","1819","2428"
"127","1912","2560"
"128","1688","2276"
"129","1815","2431"
"130","1728","2331"
"131","1757","2371"
"132","1838","2465"
"133","1747","2340"
"134","1860","2490"
"135","1860","2491"
"136","1821","2437"
"137","1620","2179"
"138","1728","2310"
