"ID","WALKING_DURATION_215","WALKING_DISTANCE_215"
"1","1756","2423"
"2","1599","2223"
"3","1377","1904"
"4","1429","1975"
"5","1328","1834"
"6","1092","1512"
"7","1090","1510"
"8","1155","1608"
"9","991","1367"
"10","1077","1495"
"11","1218","1688"
"12","947","1308"
"13","1046","1443"
"14","1533","2131"
"15","1492","2074"
"16","1469","2042"
"17","1357","1886"
"18","1315","1827"
"19","1271","1764"
"20","1271","1764"
"21","1217","1682"
"22","1065","1469"
"23","1032","1423"
"24","1067","1473"
"25","1005","1389"
"26","727","1008"
"27","1624","2256"
"28","1552","2145"
"29","1516","2097"
"30","1473","2038"
"31","1341","1855"
"32","1346","1857"
"33","1257","1741"
"34","1235","1713"
"35","1172","1629"
"36","1094","1524"
"37","1681","2322"
"38","1680","2334"
"39","1527","2114"
"40","1527","2107"
"41","1460","2019"
"42","1459","2019"
"43","1423","1968"
"44","1723","2376"
"45","1280","1767"
"46","1260","1738"
"47","1122","1548"
"48","1106","1528"
"49","1566","2164"
"50","1497","2067"
"51","1539","2126"
"52","1459","2016"
"53","1379","1903"
"54","1378","1900"
"55","1279","1762"
"56","1222","1689"
"57","1207","1669"
"58","1154","1598"
"59","1203","1667"
"60","1127","1560"
"61","1641","2278"
"62","234","316"
"63","1074","1469"
"64","1028","1398"
"65","1101","1502"
"66","1054","1435"
"67","1026","1385"
"68","1015","1374"
"69","1204","1649"
"70","1105","1505"
"71","1262","1724"
"72","1448","1990"
"73","1448","1990"
"74","1448","1990"
"75","1379","1893"
"76","1435","1983"
"77","1496","2069"
"78","1528","2116"
"79","1455","2000"
"80","1471","2020"
"81","1526","2093"
"82","1542","2115"
"83","761","1045"
"84","849","1148"
"85","900","1213"
"86","710","969"
"87","696","951"
"88","848","1141"
"89","845","1137"
"90","1005","1353"
"91","899","1207"
"92","692","940"
"93","692","940"
"94","635","869"
"95","742","1002"
"96","911","1229"
"97","1067","1451"
"98","969","1313"
"99","841","1132"
"100","776","1049"
"101","833","1132"
"102","1128","1542"
"103","1128","1542"
"104","1128","1542"
"105","1128","1542"
"106","1128","1542"
"107","889","1206"
"108","1100","1519"
"109","1147","1585"
"110","1176","1627"
"111","862","1173"
"112","1041","1432"
"113","1007","1394"
"114","372","508"
"115","471","643"
"116","484","662"
"117","568","774"
"118","565","773"
"119","555","759"
"120","394","549"
"121","465","657"
"122","331","479"
"123","411","593"
"124","399","564"
"125","500","684"
"126","607","828"
"127","525","719"
"128","455","646"
"129","134","193"
"130","422","601"
"131","407","587"
"132","307","442"
"133","197","285"
"134","191","279"
"135","190","278"
"136","152","225"
"137","539","762"
"138","634","873"
"139","811","1139"
"140","283","409"
"141","808","1138"
"142","819","1154"
"143","442","627"
"144","443","633"
"145","345","498"
"146","350","500"
"147","316","457"
"148","285","415"
"149","616","855"
"150","764","1041"
"151","784","1072"
"152","790","1092"
"153","816","1155"
"154","737","1040"
"155","368","519"
"156","790","1111"
"157","677","962"
"158","699","998"
"159","692","985"
"160","778","1105"
"161","773","1097"
"162","857","1213"
"163","863","1221"
"164","592","784"
"165","647","834"
"166","882","1139"
"167","900","1165"
