"ID","WALKING_DURATION_1","WALKING_DISTANCE_1","WALKING_DURATION_2","WALKING_DISTANCE_2","WALKING_DURATION_3","WALKING_DISTANCE_3","WALKING_DURATION_4","WALKING_DISTANCE_4","WALKING_DURATION_5","WALKING_DISTANCE_5"
"3","377","520","868","1203","1135","1561","1508","2089","1106","1516"
"4","313","433","804","1117","1072","1474","1444","2002","1043","1429"
"12","1625","2181","1320","1776","1056","1431","1235","1687","1018","1355"
"15","529","745","1148","1600","1415","1957","1788","2485","1261","1752"
"16","442","628","1061","1483","1328","1840","1701","2369","1344","1871"
"17","289","432","909","1287","1176","1645","1549","2173","1365","1906"
"18","427","614","1046","1469","1314","1827","1686","2355","1503","2088"
"32","561","801","1180","1656","1448","2013","1820","2542","1637","2275"
"60","547","762","375","531","682","948","1015","1418","654","889"
"61","455","628","276","388","584","805","916","1275","732","984"
"63","492","684","213","306","520","723","853","1193","843","1133"
"64","492","684","213","306","520","723","853","1193","843","1133"
"102","2186","2960","1892","2573","1628","2227","1807","2484","1590","2151"
"103","1637","2210","1332","1805","1068","1460","1247","1716","1030","1384"
"104","2550","3438","2239","3025","1975","2680","1717","2345","1936","2603"
"105","2369","3207","2059","2797","1795","2452","1799","2480","1757","2376"
"106","2419","3271","2110","2861","1846","2515","1850","2544","1807","2439"
"107","2501","3376","2191","2966","1927","2621","1916","2623","1889","2545"
"108","2448","3317","2143","2913","1879","2568","1652","2275","1841","2492"
"109","1808","2436","1506","2033","1241","1688","1421","1944","1203","1612"
"114","504","700","190","275","498","691","830","1161","867","1165"
"136","1638","2192","1333","1787","1069","1442","1248","1698","1031","1366"
"137","1600","2139","1295","1734","1031","1389","1210","1645","993","1312"
"138","1673","2236","1369","1831","1104","1486","1284","1742","1066","1410"
"139","1712","2292","1408","1887","1143","1542","1323","1798","1105","1466"
"140","1735","2325","1431","1920","1166","1575","1346","1831","1128","1499"
"141","1625","2181","1320","1776","1056","1431","1235","1687","1018","1355"
"142","1565","2097","1261","1692","996","1347","1176","1604","958","1271"
"143","1563","2086","1258","1681","994","1336","1173","1592","956","1260"
"144","1610","2150","1306","1745","1041","1400","1221","1657","1003","1324"
"145","1565","2097","1261","1692","996","1347","1176","1604","958","1271"
"146","2039","2751","1746","2365","1482","2020","1661","2276","1444","1944"
"147","2055","2774","1763","2388","1499","2043","1678","2299","1460","1967"
"148","1991","2684","1699","2298","1434","1953","1614","2209","1396","1877"
"149","2023","2729","1730","2343","1466","1997","1645","2254","1428","1921"
"150","2009","2708","1716","2323","1452","1977","1631","2234","1414","1901"
