"ID";"WALKING_DURATION";"WALKING_DISTANCE"
"2";"1676";"2259"
"3";"1643";"2207"
"10";"1206";"1618"
"11";"1226";"1655"
"12";"1200";"1616"
"13";"1270";"1710"
"20";"1276";"1712"
"21";"1426";"1912"
"22";"1218";"1641"
"23";"1315";"1766"
"24";"1370";"1843"
"25";"1406";"1886"
"26";"1021";"1379"
"27";"1276";"1719"
"28";"1143";"1539"
"29";"1325";"1794"
"30";"1899";"2538"
"31";"2013";"2719"
"39";"1157";"1559"
"40";"1230";"1654"
"41";"1062";"1433"
"42";"1464";"1974"
"44";"1828";"2470"
"47";"1081";"1455"
"48";"1327";"1783"
"49";"1355";"1815"
"50";"1273";"1703"
"51";"1256";"1682"
"52";"1230";"1653"
"53";"1333";"1791"
"54";"1367";"1836"
"55";"1366";"1833"
"56";"1308";"1756"
"57";"1400";"1897"
"58";"1334";"1803"
"59";"1325";"1789"
"60";"1486";"2001"
"61";"1456";"1955"
"68";"1699";"2288"
"69";"1706";"2290"
"74";"1664";"2229"
"75";"1536";"2074"
"76";"1487";"2009"
"77";"1523";"2047"
"78";"1481";"1998"
"79";"1464";"1992"
"80";"1403";"1887"
"81";"1465";"1966"
"82";"1676";"2259"
"83";"1600";"2158"
"84";"1652";"2228"
"85";"1387";"1860"
"86";"1290";"1730"
"87";"1473";"1977"
"88";"1694";"2301"
"89";"1658";"2251"
"90";"1663";"2252"
"91";"1619";"2193"
"92";"1646";"2227"
"93";"1523";"2053"
"94";"1681";"2267"
"117";"384";"550"
"118";"573";"836"
"119";"750";"1087"
"120";"491";"701"
"121";"598";"841"
"122";"480";"668"
"123";"308";"428"
"124";"269";"373"
"125";"482";"679"
"126";"400";"554"
"127";"301";"413"
"128";"366";"539"
"129";"506";"709"
"130";"530";"740"
"131";"555";"772"
"132";"361";"526"
"133";"385";"559"
"134";"408";"590"
"135";"443";"612"
"136";"401";"552"
"144";"156";"218"
"145";"308";"424"
"146";"366";"503"
"147";"431";"588"
"148";"485";"662"
"149";"380";"521"
"150";"137";"188"
"151";"131";"173"
"152";"94";"121"
"153";"171";"226"
"167";"590";"851"
"168";"243";"350"
"169";"184";"272"
"170";"165";"241"
"171";"144";"209"
"172";"250";"369"
"173";"100";"147"
"174";"201";"286"
"215";"649";"949"
"216";"771";"1080"
"217";"736";"1021"
"218";"799";"1104"
"219";"658";"914"
"220";"760";"1047"
"221";"853";"1178"
"222";"663";"921"
"223";"731";"1011"
"224";"830";"1129"
"225";"936";"1266"
"226";"1023";"1392"
"227";"833";"1138"
"228";"930";"1269"
"229";"1015";"1384"
"230";"1073";"1462"
"231";"660";"936"
"232";"717";"1006"
"233";"766";"1067"
"234";"891";"1217"
"235";"1014";"1390"
"236";"1151";"1578"
"237";"1233";"1685"
"238";"982";"1343"
"239";"752";"1052"
"240";"884";"1226"
"241";"641";"886"
"242";"634";"869"
"243";"701";"962"
"244";"766";"1046"
"245";"822";"1121"
"246";"819";"1122"
"247";"924";"1261"
"248";"1036";"1421"
"249";"989";"1378"
"250";"959";"1337"
"251";"910";"1265"
"252";"855";"1183"
"253";"986";"1366"
"254";"1013";"1409"
"255";"1131";"1563"
"256";"825";"1162"
"257";"1167";"1601"
"258";"1387";"1895"
"259";"1345";"1851"
"260";"1191";"1625"
"261";"1135";"1548"
"262";"1383";"1904"
"263";"1459";"2007"
"264";"1505";"2066"
"265";"944";"1310"
"266";"850";"1180"
"267";"804";"1113"
"268";"1011";"1415"
"269";"977";"1336"
"270";"815";"1112"
"271";"863";"1171"
"272";"923";"1256"
"273";"695";"990"
"274";"1446";"1970"
"310";"1525";"2086"
"332";"1262";"1722"
"333";"1331";"1820"
"334";"1401";"1918"
"335";"1316";"1788"
"336";"1364";"1850"
"347";"1463";"2000"
"349";"1534";"2093"
"351";"1549";"2118"
"352";"1596";"2183"
"353";"1602";"2190"
"354";"1554";"2131"
"356";"1859";"2541"
"357";"1808";"2467"
