"ID","WALKING_DURATION","WALKING_DISTANCE"
"1","1211","1611"
"2","1143","1531"
"3","1372","1840"
"4","1522","2042"
"5","1449","1940"
"6","1760","2378"
"7","1787","2419"
"8","1883","2565"
"9","1719","2324"
"10","1806","2452"
"11","1813","2453"
"12","1629","2195"
"13","1666","2244"
"14","1058","1410"
"15","1087","1454"
"16","1167","1564"
"17","1223","1642"
"18","1260","1693"
"19","1312","1763"
"20","1312","1763"
"21","1450","1950"
"22","1584","2131"
"23","1601","2153"
"24","1446","1940"
"25","1734","2346"
"26","1811","2448"
"27","1419","1909"
"28","1472","1972"
"29","1508","2020"
"30","1554","2089"
"31","1709","2311"
"32","1627","2186"
"33","1724","2327"
"34","1806","2452"
"35","1857","2521"
"36","1919","2612"
"37","1314","1754"
"38","1363","1831"
"39","1230","1643"
"40","1260","1676"
"41","1303","1744"
"42","1360","1824"
"43","1399","1877"
"44","1272","1693"
"45","1498","2006"
"46","1510","2028"
"47","1641","2210"
"48","1675","2258"
"49","1441","1927"
"50","1372","1831"
"51","1413","1889"
"52","1430","1913"
"53","1521","2040"
"54","1524","2043"
"55","1612","2163"
"56","1623","2183"
"57","1636","2203"
"58","1686","2274"
"59","1685","2273"
"60","1714","2313"
"61","1129","1506"
"62","2462","3343"
"63","1443","1926"
"64","1500","1994"
"65","1551","2067"
"66","1553","2066"
"67","1707","2272"
"68","1587","2110"
"69","1659","2224"
"70","1802","2417"
"71","1666","2228"
"72","1852","2493"
"73","1852","2493"
"74","1852","2493"
"75","1719","2299"
"76","1840","2486"
"77","1901","2573"
"78","1932","2620"
"79","1793","2404"
"80","1780","2383"
"81","1726","2305"
"82","1711","2284"
"83","1705","2294"
"84","1779","2381"
"85","1837","2453"
"86","1797","2417"
"87","1807","2433"
"88","1793","2392"
"89","1747","2327"
"90","1743","2319"
"91","1711","2274"
"92","1948","2626"
"93","1948","2626"
"94","1968","2654"
"95","2037","2746"
"96","1882","2521"
"97","1841","2469"
"98","1830","2449"
"99","1928","2584"
"100","2043","2754"
"101","2033","2744"
"102","1888","2539"
"103","1888","2539"
"104","1888","2539"
"105","1888","2539"
"106","1888","2539"
"107","2006","2702"
"108","2116","2869"
"109","2077","2815"
"110","2045","2771"
"111","2056","2780"
"112","2171","2942"
"113","2219","3016"
"114","2114","2865"
"115","2025","2744"
"116","2009","2718"
"117","1912","2584"
"118","1961","2652"
"119","1928","2606"
"120","2073","2813"
"121","2208","3012"
"122","2331","3184"
"123","2350","3215"
"124","2461","3362"
"125","2071","2804"
"126","2021","2731"
