OBJECTID;X;Y;OBJECTID_1;ID
7;37,791239;55,815252;86887650,000000;6
16;37,775078;55,806500;86887647,000000;13
34;37,779592;55,808077;86914824,000000;24
36;37,793137;55,793755;86893865,000000;26
39;37,695666;55,783343;86911296,000000;28
40;37,767692;55,803259;86911311,000000;28
41;37,786341;55,805667;87029180,000000;28
207;37,831778;55,816787;86890346,000000;119
211;37,810385;55,807575;86930407,000000;122
212;37,827347;55,810362;86931112,000000;123
213;37,833479;55,802589;87029013,000000;123
214;37,825843;55,799273;87029014,000000;123
215;37,827850;55,804892;87029015,000000;123
217;37,795689;55,793866;86914886,000000;125
218;37,802662;55,792062;87029380,000000;125
275;37,829541;55,824675;86914890,000000;153
276;37,829177;55,819328;87029985,000000;153
301;37,796661;55,806174;86911280,000000;163
324;37,810634;55,806269;86911281,000000;182
341;37,815245;55,803975;86931113,000000;194
342;37,814659;55,808460;87029787,000000;194
370;37,820941;55,809096;86930650,000000;219
374;37,812644;55,789710;86914838,000000;222
406;37,792679;55,804911;86914845,000000;249
471;37,818367;55,813290;86914812,000000;294
472;37,828032;55,824510;86914813,000000;295
473;37,808793;55,819459;86914814,000000;296
523;37,817683;55,828058;86914815,000000;332
557;37,821053;55,828027;86914816,000000;352
608;37,814753;55,828931;86914817,000000;382
609;37,813967;55,827956;87029648,000000;382
840;37,815758;55,796135;86911284,000000;554
874;37,821136;55,818930;86911285,000000;579
875;37,792382;55,814816;86911286,000000;580
876;37,759787;55,806644;86911287,000000;581
877;37,794435;55,821087;87029356,000000;581
893;37,776908;55,803186;86911288,000000;594
894;37,801055;55,808806;86911289,000000;595
895;37,815581;55,799952;86911291,000000;596
901;37,822136;55,808025;86911293,000000;599
911;37,757135;55,828905;86911298,000000;604
913;37,808078;55,813581;86911300,000000;606
928;37,790635;55,801758;86911314,000000;620
944;37,796319;55,799659;86911325,000000;630
955;37,789415;55,812344;86911328,000000;636
973;37,781189;55,793549;86911336,000000;644
1113;37,788295;55,807604;86911340,000000;729
1129;37,785321;55,797647;86911344,000000;739
1162;37,779514;55,788753;86911387,000000;760
1169;37,773857;55,796826;86911388,000000;767
1170;37,773543;55,797176;87029372,000000;767
1181;37,811868;55,791717;86911389,000000;776
1194;37,800820;55,796294;86911390,000000;789
1195;37,801584;55,795411;87029373,000000;789
1218;37,815893;55,816809;86911391,000000;808
1361;37,778904;55,810849;86914804,000000;893
1362;37,780015;55,811783;87029083,000000;893
1434;37,753970;55,820145;86914811,000000;936
1481;37,752986;55,827205;86911401,000000;955
1520;37,761216;55,829164;86914875,000000;981
1528;37,806253;55,807370;86914877,000000;988
1551;37,804043;55,813322;86914883,000000;1003
1585;37,819877;55,822132;86930447,000000;1027
1586;37,817842;55,822171;87029696,000000;1027
1587;37,814986;55,819014;87029697,000000;1027
1673;37,797131;55,791282;86914909,000000;1070
1674;37,796330;55,790621;87029653,000000;1070
1848;37,822719;55,815688;86914851,000000;1197
1856;37,793722;55,790653;86890284,000000;1203
1857;37,792557;55,790154;87029493,000000;1203
1906;37,815046;55,794234;86914926,000000;1228
1907;37,808852;55,795909;87029084,000000;1228
1908;37,814725;55,793934;87029085,000000;1228
1909;37,806797;55,795732;87029086,000000;1228
1985;37,824180;55,801402;86914925,000000;1262
1986;37,821235;55,799909;87029197,000000;1262
2004;37,783469;55,800362;86887723,000000;1276
2032;37,791241;55,815344;86887662,000000;1300
2144;37,800345;55,801923;86931189,000000;1395
