"","OBJECTID","name","adress","okrug","rayon","form_of_incorporation","submission","tip_uchrezhdeniya","vid_uchrezhdeniya","telephone","web_site","e_mail","ID","ORIG_FID","POINT_X","POINT_Y","r500","r800","r1000"
"1",1,"Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» № 1138","129329, город Москва, Тенистый проезд, д. 8, строение 1","Северо-Восточный административный округ","район Свиблово","Государственное","Северо-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа ""Школа Здоровья""","(499) 180-23-98","schz1138.svao.mskobr.ru","sch1138@yandex.ru",19,19,37.639435,55.860373,270.531031042802,360.102787410775,397.860314200924
"2",2,"Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 398","109542, Москва, ул. Хлобыстова, д. 14, корп. 3","Юго-Восточный административный округ","район Выхино-Жулебино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","371-09-81","sch398uv.mskobr.ru","SH_398@mail.ru",20,20,37.80481,55.717562,206.085656672195,291.941616789543,331.879350152675
"3",3,"Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 745","127562 г. Москва, Алтуфьевское шоссе, д. 30а","Северо-Восточный административный округ","район Отрадное","Государственное","Северо-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 903-00-01","sch745sv.mskobr.ru","schkola745@yandex.ru",21,21,37.587545,55.865836,210.909269317195,279.710307553217,340.059117355188
"4",4,"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""","115582 г.Москва, ул. Домодедовская д35, к.2","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Центр образования","393-43-81","cou548.mskobr.ru","sch548@sinergi.ru",22,22,37.702347,55.623761,208.948540285047,298.183733417897,372.995126875264
"5",5,"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""","115582 г.Москва, ул. Домодедовская д35, к.2","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Центр образования","393-43-81","cou548.mskobr.ru","sch548@sinergi.ru",22,22,37.717174,55.601996,200.609071644221,272.536549921906,304.360061756131
"6",6,"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""","115582 г.Москва, ул. Домодедовская д35, к.2","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Центр образования","393-43-81","cou548.mskobr.ru","sch548@sinergi.ru",22,22,37.733096,55.620373,155.699676091459,207.111096213116,211.49421467301
"7",7,"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""","115582 г.Москва, ул. Домодедовская д35, к.2","Южный административный округ","район Орехово-Борисово Северное","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Центр образования","393-43-81","cou548.mskobr.ru","sch548@sinergi.ru",22,22,37.738183,55.602586,211.182275614829,342.065237600216,363.34060990371
"8",8,"Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554","127490, г. Москва, ул. Пестеля, д.5,9А","Северо-Восточный административный округ","район Отрадное","Государственное","Северо-Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 203-17-90","gum1554sv.mskobr.ru","Gymn-1554@yandex.ru",23,23,37.606217,55.869329,228.136526916871,276.258099162631,340.078322167338
"9",9,"Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554","127490, г. Москва, ул. Пестеля, д.5,9А","Северо-Восточный административный округ","район Отрадное","Государственное","Северо-Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 203-17-90","gum1554sv.mskobr.ru","Gymn-1554@yandex.ru",23,23,37.611873,55.865627,189.156865792699,244.670572913823,297.724310965719
"10",10,"Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554","127490, г. Москва, ул. Пестеля, д.5,9А","Северо-Восточный административный округ","район Отрадное","Государственное","Северо-Восточное окружное управление образования","Общеобразовательное учреждение","Гимназия","(499) 203-17-90","gum1554sv.mskobr.ru","Gymn-1554@yandex.ru",23,23,37.613411,55.864558,193.178518769966,246.225453060371,281.159378963617
