"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID";"ORIG_FID";"POINT_X";"POINT_Y"
1;"Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» № 1138";"129329, город Москва, Тенистый проезд, д. 8, строение 1";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 180-23-98";"schz1138.svao.mskobr.ru";"sch1138@yandex.ru";19;19;37,639435;55,860373
2;"Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 398";"109542, Москва, ул. Хлобыстова, д. 14, корп. 3";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"371-09-81";"sch398uv.mskobr.ru";"SH_398@mail.ru";20;20;37,804810;55,717562
3;"Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 745";"127562 г. Москва, Алтуфьевское шоссе, д. 30а";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 903-00-01";"sch745sv.mskobr.ru";"schkola745@yandex.ru";21;21;37,587545;55,865836
4;"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""";"115582 г.Москва, ул. Домодедовская д35, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"393-43-81";"cou548.mskobr.ru";"sch548@sinergi.ru";22;22;37,702347;55,623761
5;"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""";"115582 г.Москва, ул. Домодедовская д35, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"393-43-81";"cou548.mskobr.ru";"sch548@sinergi.ru";22;22;37,717174;55,601996
6;"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""";"115582 г.Москва, ул. Домодедовская д35, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"393-43-81";"cou548.mskobr.ru";"sch548@sinergi.ru";22;22;37,733096;55,620373
7;"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""";"115582 г.Москва, ул. Домодедовская д35, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"393-43-81";"cou548.mskobr.ru";"sch548@sinergi.ru";22;22;37,738183;55,602586
8;"Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554";"127490, г. Москва, ул. Пестеля, д.5,9А";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 203-17-90";"gum1554sv.mskobr.ru";"Gymn-1554@yandex.ru";23;23;37,606217;55,869329
9;"Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554";"127490, г. Москва, ул. Пестеля, д.5,9А";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 203-17-90";"gum1554sv.mskobr.ru";"Gymn-1554@yandex.ru";23;23;37,611873;55,865627
10;"Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554";"127490, г. Москва, ул. Пестеля, д.5,9А";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 203-17-90";"gum1554sv.mskobr.ru";"Gymn-1554@yandex.ru";23;23;37,613411;55,864558
