ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 90";"125130, г. Москва, 4-й Новоподмосковный пер., д. 2а";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"450-95-10";"schsv90.mskobr.ru";"vschool_90@mail.ru";"37,504158";"55,822096";"86887466";
2;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 166";"117152 г. Москва,Севастопольский проспект ,д. 5А";"Южный административный округ";"Нагорный район";"Государственное";"Южное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(499) 123-15-96; (499) 127-66-53";"schvu166.mskobr.ru";"sch166@sinergi.ru";"37,611503";"55,691341";"86893809";
3;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 112";"109316, г.Москва, Волгоградский проспект, д.27";"Юго-Восточный административный округ";"Нижегородский район";"Государственное";"Юго-Восточное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"676-03-11";"schuvv112.mskobr.ru";"vssh112@mail.ru";"37,662656";"55,728937";"86899776";
4;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 185";"""111033, г.Москва, Танковый пр-д, д.6";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(495) 362-32-21";"schuvv185.mskobr.ru";"school185@mail.ru";"37,689739";"55,755939";"86899777";
5;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 182";"117449, г.Москва, ул. Гримау, дом 11а";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"126-06-73";"";"sch182@mosuzedu.ru";"37,578583";"55,688189";"86907813";
6;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 115";"117485, г. Москва, улица Бутлерова, дом 5Б, строение 1";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"334-99-10";"";"dir115@bk.ru";"37,527095";"55,6533";"86907814";
7;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 148";"107564, г. Москва, ул. 2-я Гражданская, дом 8.";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(499) 169-42-70";"schsv148.mskobr.ru";"bcow148@mail.ru";"37,701057";"55,813659";"86914847";
8;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа №2081";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(495) 867-83-61";"sch2081tn.mskobr.ru";"";"37,721088";"55,78135";"86931019";
9;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 148";"107564, г. Москва, ул. 2-я Гражданская, дом 8.";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(499) 169-42-70";"schsv148.mskobr.ru";"bcow148@mail.ru";"37,819533";"55,721148";"87028763";
10;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 112";"109316, г.Москва, Волгоградский проспект, д.27";"Юго-Восточный административный округ";"Нижегородский район";"Государственное";"Юго-Восточное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"676-03-11";"schuvv112.mskobr.ru";"vssh112@mail.ru";"37,693118";"55,724154";"87029841";
