ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id
1;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1505 ""Московская городская педагогическая  гимназия-лаборатория""";107061, г. Москва, улица  2-я Пугачевская, дом 6А;Восточный административный округ;район Преображенское;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;963-76-77;gymg1505.mskobr.ru;gym1505@mail.ru;37,728587;55,795602;86660640
10;Частное учреждение Центр образования «Европейская гимназия»;107014, г. Москва, ул.3-я Сокольническая, дом 3;Восточный административный округ;район Сокольники;Негосударственное;Негосударственное;Общеобразовательное учреждение;Гимназия;269-07-10,268-44-04;;info@eurogym.ru;37,68392;55,786494;86887646
22;Государственное бюджетное образовательное учреждение города Москвы Гимназия №1504;111555, город Москва, улица Сталеваров, дом 10 А;Восточный административный округ;район Ивановское;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;307-59-30;gymg1504.mskobr.ru;goy1504@mail.ru;37,838039;55,762339;86890310
31;Государственное бюджетное образовательное учреждение города Москвы Гимназия №1516;107589, г. Москва, ул. Хабаровская, д. 4а;Восточный административный округ;район Гольяново;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;460-43-77;gymv1516.mskobr.ru;info@gogi1516.ru;37,831778;55,816787;86890346
34;Государственное бюджетное образовательное  учреждение города Москвы гимназия  №1290;105043, г. Москва, ул. Первомайская, д.59, строение 1;Восточный административный округ;район Измайлово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;165-52-42;gymv1290.mskobr.ru;gym1290@yandex.ru;37,793137;55,793755;86893865
54;Государственное бюджетное образовательное учреждение города Москвы Измайловская гимназия №1508;105043, Первомайская улица, 65;Восточный административный округ;район Измайлово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 465-58-22; (495) 465-08-43; (495) 465-38-76";gymv1508.mskobr.ru;ooig1508@yandex.ru;37,795689;55,793866;86914886
55;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1512;111538, г. Москва, ул. Косинская, д.24А;Восточный административный округ;район Вешняки;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;374-77-44;gymv1512.mskobr.ru/;gym 1512@mail.ru;37,830356;55,718465;86914887
56;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1530 ""Школа Ломоносова""";107014, Москва, ул. Егерская, д. 4;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;603-09-62;gymv1530.mskobr.ru;gym1530@yandex.ru;37,683637;55,788006;86914888
57;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1591;111672, Москва, ул.Новокосинская, д. 40 А;Восточный административный округ;район Новокосино;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 702-32-39; (495) 702-32-40; (495) 702-40-01";gymv1591.mskobr.ru;vagsch1591@yandex.ru;37,872467;55,741779;86914889
59;Государственное бюджетное образовательное учреждение города Москвы гимназия №1563;105215,  Москва, ул. 13-я  Парковая,  д. 33;Восточный административный округ;район Северное Измайлово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;468-09-44;gym1563.mskobr.ru/;gymn1563@rambler.ru;37,810385;55,807575;86930407
73;Государственное бюджетное образовательное учреждение города Москвы Московская международная гимназия;111123, Москва,  3-я Владимирская улица  дом 5;Восточный административный округ;район Перово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;304-37-94;gymmg.mskobr.ru;mmg@goummg.ru;37,786712;55,76233;86930651
77;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,686971;55,807906;86931061
82;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 ""Вертикаль""";105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3;Восточный административный округ;район Северное Измайлово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 461-75-73; (499) 461-82-07";co1748.mskobr.ru;center_vertikal@mail.ru;37,827347;55,810362;86931112
88;Государственное бюджетное образовательное учреждение города Москвы гимназия № 1926;111672, г. Москва, ул. Салтыковская, д. 5А;Восточный административный округ;район Новокосино;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;702-75-40;cov1926.mskobr.ru;ds2351@yandex.ru;37,857971;55,732117;86931222
89;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1452 ""Богородская""";107564, г. Москва, ул. 1-я Гражданская, д.96;Восточный административный округ;район Богородское;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(495) 964-88-01;co1452.mskobr.ru;co1452@mail.ru;37,709005;55,807256;86931223
99;Государственное бюджетное образовательное учреждение города Москвы Московская международная гимназия;111123, Москва,  3-я Владимирская улица  дом 5;Восточный административный округ;район Перово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;304-37-94;gymmg.mskobr.ru;mmg@goummg.ru;37,801074;55,756373;87028628
100;Государственное бюджетное образовательное учреждение города Москвы Московская международная гимназия;111123, Москва,  3-я Владимирская улица  дом 5;Восточный административный округ;район Перово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;304-37-94;gymmg.mskobr.ru;mmg@goummg.ru;37,801192;55,756024;87028629
115;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 ""Вертикаль""";105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3;Восточный административный округ;район Северное Измайлово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 461-75-73; (499) 461-82-07";co1748.mskobr.ru;center_vertikal@mail.ru;37,833479;55,802589;87029013
116;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 ""Вертикаль""";105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3;Восточный административный округ;район Северное Измайлово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 461-75-73; (499) 461-82-07";co1748.mskobr.ru;center_vertikal@mail.ru;37,825843;55,799273;87029014
117;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 ""Вертикаль""";105484, г. Москва, Сиреневый бульвар, д. 73, корп. 3;Восточный административный округ;район Северное Измайлово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 461-75-73; (499) 461-82-07";co1748.mskobr.ru;center_vertikal@mail.ru;37,82785;55,804892;87029015
118;Частное учреждение Центр образования «Европейская гимназия»;107014, г. Москва, ул.3-я Сокольническая, дом 3;Восточный административный округ;район Сокольники;Негосударственное;Негосударственное;Общеобразовательное учреждение;Гимназия;269-07-10,268-44-04;;info@eurogym.ru;37,66792;55,791102;87029035
133;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1452 ""Богородская""";107564, г. Москва, ул. 1-я Гражданская, д.96;Восточный административный округ;район Богородское;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;(495) 964-88-01;co1452.mskobr.ru;co1452@mail.ru;37,708281;55,807815;87029282
138;Государственное бюджетное образовательное учреждение города Москвы Измайловская гимназия №1508;105043, Первомайская улица, 65;Восточный административный округ;район Измайлово;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(495) 465-58-22; (495) 465-08-43; (495) 465-38-76";gymv1508.mskobr.ru;ooig1508@yandex.ru;37,802662;55,792062;87029380
139;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1530 ""Школа Ломоносова""";107014, Москва, ул. Егерская, д. 4;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;603-09-62;gymv1530.mskobr.ru;gym1530@yandex.ru;37,684761;55,793388;87029381
148;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1404 ""Гамма""";107014, Москва,  ул. Большая Оленья,  д. 3;Восточный административный округ;район Сокольники;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Гимназия;"(499) 269-02-19; (499) 268-46-80; (499) 269-02-96";cov1404.mskobr.ru;gamma1404@list.ru;37,685853;55,798076;87029570
