ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniyz;telephone;web_site;e_mail;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы Лицей № 1546 ""Плехановец""";"Центральный, Якиманка, ул. Донская, д. 21";"Центральный административный округ";"район Якиманка";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 236-50-40";"lycc1546.mskobr.ru";"gym1546@mail.ru";"37,608043";"55,721823";"86887489";
2;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1523";"115142 г. Москва, Кленовый б-р, д. 21";"Южный административный округ";"район Нагатинский Затон";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 614-50-94";"http://lycu1523.mskobr.ru";"sch1523@sinergi.ru";"37,681319";"55,676895";"86887558";
3;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1553 ""Лицей на Донской""";"115114 г. Москва, ул. Дербеневская д.13";"Южный административный округ";"Даниловский район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 959-77-38; (495) 959-76-71";"lycu1553.mskobr.ru/";"sch1553@sinergi.ru";"37,649058";"55,720986";"86887560";
4;"Негосударственная международная образовательная некоммерческая организация ""Международный университет в Москве"". Лицей";"";"Северный административный округ";"район Беговой";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Лицей";"(495) 946-10-67,(495) 946-05-20";"";"liceуmum@gmail.com";"37,570733";"55,781992";"86887600";
5;"Государственное бюджетное образовательное учреждение Московский  культурологический лицей № 1310";"111141 г. Москва, ул. Перовская, д. 44а";"Восточный административный округ";"район Новогиреево";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"770-25-24";"lyc1310v.mskobr.ru";"secretar@lgo.ru";"37,782105";"55,743298";"86887672";
6;"Государственное бюджетное образовательное учреждение города Москвы многопрофильный технический лицей № 1501";"127055 г. Москва, Тихвинский пер., д. 3";"Центральный административный округ";"Тверской район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 973-02-83";"lycc1501.mskobr.ru";"lyceum1501@mail.ru";"37,595734";"55,787712";"86887673";
7;"Лицей духовной культуры во имя преподобного Серафима Саровского";"";"Восточный административный округ";"район Измайлово";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Лицей";"163-15-41,164-79-60";"noupravoslavie.mskobr.ru";"praoslaie-licey@rambler.ru";"37,783469";"55,800362";"86887723";
8;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1586";"119330 г.Москва, ул.Дружбы, д. 8";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 147-45-81; (499) 143-16-20";"";"lyceum1586@gmail.com";"37,513556";"55,709343";"86887772";
9;"Негосударственное образовательное учреждение средняя общеобразовательная школа «Московский лицей «Ступени»";"";"Центральный административный округ";"Мещанский район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Лицей";"(495) 680-54-83,(495) 680-89-55";"noustupeni.mskobr.ru";"stupeni@dol.ru";"37,640437";"55,782602";"86887785";
10;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1594";"127486, г.Москва,  Дегунинская улица, дом 2";"Северный административный округ";"район Западное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 489-90-87; (495) 487-20-04";"lycs1594.mskobr.ru";"sch186@mail.ru";"37,540485";"55,864313";"86890305";
11;"Государственное бюджетное образовательное учреждение города Москвы Лицей № 1580 при МГТУ имени Н.Э.Баумана";"117639 г. Москва, Балаклавский  проспект д. 6А";"Южный административный округ";"Нагорный район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 619-48-40";"lycu1580.mskobr.ru";"sch1580@sinergi.ru";"37,612885";"55,642603";"86890338";
12;"Государственное бюджетное образовательное учреждение города Москвы лицей ""Вторая школа""";"119333, город Москва, улица Фотиевой, дом 18";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"137-69-31";"http://lycuz2.mskobr.ru/";"moscowsch2@yandex.ru";"37,556414";"55,698002";"86899623";
