ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1723";"119571 г.Москва, Ленинский проспект, д. 156, корпус 2";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"428-45-01";"";"1723@bk.ru";"37,485594";"55,653627";"86887437";
2;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1728";"119620 г.Москва, ул. Авиаторов, д.28";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 727-74-52";"pgym1728.mskzapad.ru";"progimnaziya1728@yandex.ru";"37,408218";"55,642369";"86887439";
3;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1754";"119415 г.Москва, Проспект Вернадского, д. 55";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"431-50-58";"pgym1754.mskzapad.ru";"progimnazia1754@mail.ru";"37,50441";"55,672762";"86887440";
4;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1736";"115580 г.Москва, ул.Мусы Джалиля, д.29,к.3";"Южный административный округ";"район Зябликово";"Государственное";"Южное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"394-01-66";"pgym1736.mskobr.ru";"sch1736@sinergi.ru";"37,747264";"55,616781";"86887748";
5;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1611";"127591, г. Москва, ул 800-летия Москвы, дом 5, корпус 2";"Северный административный округ";"район Восточное Дегунино";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 480-77-11; (499) 480-31-14";"pgym1611.mskobr.ru";"gou1611@mail.ru";"37,558363";"55,881801";"86890278";
6;"Негосударственное образовательное учреждение Прогимназия ""Белоснежка""";"";"Северо-Западный административный округ";"район Куркино";"Негосударственное";"Негосударственное";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(495) 744-15-52";"";"pgbelosnezhka@mail.ru";"37,395649";"55,886611";"86890358";
7;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1782";"125310, г. Москва, ул. Барышиха, д. 42, корп. 1";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(495) 794-89-32; (495) 794-89-37";"pgym1782.mskobr.ru";"sch1782@szouo.ru";"37,345821";"55,854661";"86904041";
8;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1642";"111250, г.Москва, ул. Солдатская, д. 12а";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"362-69-66";"pgym1642.mskobr.ru";"progimnaziyan1642@yandex.ru";"37,703448";"55,763365";"86904147";
9;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1882";"109444, г. Москва ул. Ферганская, д. 16, корп. 3";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"376-42-11";"pgym1882.mskobr.ru";"progimnazia-1882@mail.ru";"37,812469";"55,705987";"86904153";
10;"Государственное бюджетное образовательное учреждение города Москвы  прогимназия № 1893";"109388, г. Москва, ул. Гурьянова, д. 59";"Юго-Восточный административный округ";"район Печатники";"Государственное";"Юго-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"354-90-06";"http://pgymuv1893.mskobr.ru/";"progimnaz1893@mail.ru";"37,720103";"55,67985";"86904157";
11;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1644";"117461, г.Москва, ул. Херсонская, д. 5, корп. 1";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"122-84-70";"";"gou@1644.ru";"37,573853";"55,650179";"86904196";
12;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1733";"119311, Москва, ул. Крупской, д.10";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"432-67-92";"";"progimnaziya1733@mail.ru";"37,52835";"55,686308";"86904201";
13;"Государственное бюджетное образовательное учреждение города Москвы прогимназия  №1718";"105425, г. Москва, ул. Константина Федина, д.14";"Восточный административный округ";"район Северное Измайлово";"Государственное";"Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"163-12-46";"pgym1718.mskobr.ru";"scool1718@mail.ru";"37,796661";"55,806174";"86911280";
