ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 384 имени Д.К.Корнеева";"121353 г.Москва, ул. Беловежская, д. 67 а";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(495) 446-01-52; (495) 446-25-90";"schz384.mskzapad.ru";"sch384@narod.ru";"37,397695";"55,709019";"86660665";
2;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 712";"121374 г.Москва, Кутузовский проспект, д. 80";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"445-43-51";"schz712.mskzapad.ru";"schol712@yandex.ru";"37,455522";"55,725771";"86660675";
3;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1008";"119027 г.Москва, ул. Интернациональная, д. 10";"Западный административный округ";"район Внуково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"436-77-07";"schz1008.mskzapad.ru";"sch1008@mail.ru";"37,253143";"55,613992";"86660698";
4;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 137";"119331, г. Москва, улица Кравченко, дом 14, корпус 1";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 138-38-28";"http://schz137uz.mskobr.ru/";"sch137ifo@mail.ru";"37,519157";"55,678878";"86887584";
5;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 901";"117535 Москва, ул. Подольских Курсантов д.18 Б";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"381-77-13";"schzu901.mskobr.ru";"sch901@sinergi.ru";"37,617062";"55,605145";"86887745";
6;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1061";"121351 г.Москва, ул.Молодогвардейская, д. 19, корпус 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"417-92-29";"schz1061.mskzapad.ru";"school1061@mail.ru";"37,422032";"55,732322";"86887755";
7;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 29";"119607 г.Москва, ул. Удальцова, д. 87, корпус 1";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"931-40-72";"29.mskzapad.ru";"29_sch@list.ru";"37,485407";"55,684693";"86887773";
8;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 239";"121353, г.Москва, ул.Вяземская, д. 7";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"446-20-68";"schz239.mskzapad.ru";"school_239@mail.ru";"37,405432";"55,71274";"86887774";
9;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 659";"121552 г.Москва, ул. Ельнинская, д. 24";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 141-75-03; (499) 149-79-47; (499) 140-14-18; (499) 141-02-58";"schz659.mskzapad.ru";"659school@mail.ru";"37,420337";"55,740165";"86890231";
10;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 60 имени В.С. Опариной";"121351 г.Москва, ул.Партизанская, д. 30, корпус 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 141-24-17; (499) 141-41-20; (499) 141-30-60";"schz60.mskzapad.ru";"sch60@mtu-net.ru";"37,414112";"55,736447";"86890237";
