ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id
1;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1690 ""Преображенская школа""";107061, г. Москва,  2-я Пугачевская улица, дом 10;Восточный административный округ;район Преображенское;Государственное;Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;161-13-40;sch1690.mskobr.ru;preobrazh-1690@yandex.ru;37,725353;55,79245;86660642
2;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1238;119634 г.Москва, ул. Чоботовская, дом 19;Западный административный округ;район Ново-Переделкино;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;731-11-82;schu1238.mskzapad.ru;school1238@mail.ru;37,345594;55,645191;86660711
3;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1214;119330  г.Москва, ул. Мосфильмовская, д.21;Западный административный округ;район Раменки;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 143-03-06;schu1214.mskzapad.ru/;sch1214@yandex.ru;37,514593;55,714203;86660712
4;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1248;121352 г.Москва, ул. Давыдковская, д. 2, корпус 6;Западный административный округ;район Фили-Давыдково;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;445-25-50;dskv1148.mskzapad.ru;sch1248@mail.ru;37,473692;55,725532;86660713
5;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1293;121552 г.Москва, ул. Оршанская, д. 10, корп.1;Западный административный округ;район Кунцево;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;140-34-89;schu1293.mskzapad.ru/;school1293@mail.ru;37,410482;55,74289;86660714
6;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики и английского языка № 1307;119602 г.Москва, ул. Академика Анохина, д. 48;Западный административный округ;район Тропарёво-Никулино;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 438-67-10;schu1307.mskzapad.ru;sch1307@mail.ru;37,469634;55,653299;86660715
7;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского и немецкого языка № 1308;119602 г.Москва, ул.Академика Анохина, дом 2, корпус 5;Западный административный округ;район Тропарёво-Никулино;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;430-63-03;schu1308.mskzapad.ru;school1308@ya.ru;37,473321;55,673453;86660716
8;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1973;119454 г.Москва, ул. Лобачевского, д. 92;Западный административный округ;район Проспект Вернадского;Государственное;Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;932-87-09;1973.mskzapad.ru;sch_1973@list.ru;37,484519;55,680675;86660725
9;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1220;129075, г. Москва, Аргуновская ул., д. 12, корп. 2, стр. 1, 2, 3;Северо-Восточный административный округ;Останкинский район;Государственное;Северо-Восточное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 683-09-08;schu1220.svao.mskobr.ru;Sch1220@yandex.ru;37,621487;55,81736;86887472
10;"Автономная некоммерческая организация средняя общеобразовательная школа с углубленным изучением языков ""Международная общеобразовательная школа ""Интеграция XXI век""";123592, г. Москва,  ул. Маршала Катукова, д.16, к.3;Северо-Западный административный округ;район Строгино;Негосударственное;Негосударственное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(499) 194-72-90,(495) 750-31-02;nouintegracija21.mskobr.ru;Teacher_ostrov@mail.ru;37,403453;55,806745;86887480
11;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка № 1207;115582 г. Москва, ул. Домодедовская, д. 24, корп. 7;Южный административный округ;район Орехово-Борисово Южное;Государственное;Южное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;391-59-10;schu575.mskobr.ru;sch1207@sinergi.ru;37,713202;55,601045;86887555
12;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1242;117546, г. Москва, Востряковский проезд, д.3А;Южный административный округ;район Бирюлёво Западное;Государственное;Южное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 383-97-81;schuu1242.mskobr.ru;sch1242@sinergi.ru;37,643253;55,58349;86887556
13;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1263;119071 г. Москва, Ленинский пр., д.18 А;Южный административный округ;Донской район;Государственное;Южное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;"(495) 952-11-30; (495) 954-47-04; (495) 954-49-07; (495) 952-27-00";schuu1263.mskobr.ru;sch1263@sinergi.ru;37,593168;55,718051;86887557
14;"Негосударственное образовательное учреждение ""Православная школа искусств""";;Центральный административный округ;Мещанский район;Негосударственное;Негосударственное;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;(495) 681-95-71;nouoschart.mskobr.ru;pshi@list.ru;37,633311;55,782214;86887592
