ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (греческим) компонентом образования № 551";"117556 г.Москва, Чонгарский б-р, д.12";"Южный административный округ";"Нагорный район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"(499) 610-56-98; (499) 619-37-19";"scheu551.mskobr.ru";"sch551@sinergi.ru";"37,612074";"55,653808";"86887508";
2;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 838";"115487 г. Москва, ул. Новинки,дом 8";"Южный административный округ";"район Нагатинский Затон";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"(499) 618-13-03";"schu838.mskobr.ru";"sch838@sinergi.ru";"37,670531";"55,676112";"86887516";
3;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 868";"115516 г. Москва, ул. Севанская, дом №13 корп.2";"Южный административный округ";"район Царицыно";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"325-28-66";"scheu868.mskobr.ru";"sch868@sinergi.ru";"37,653289";"55,621235";"86887522";
4;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа города Москвы с этнокультурным (русским) компонентом образования № 996";"115563, г.Москва, Борисовский проезд, д. 13";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"390-07-09";"scheu996.mskobr.ru";"sch996@sinergi.ru";"37,723392";"55,626879";"86887769";
5;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 877";"115404 Москва,ул.Бирюлевская, д.23 корп.1";"Южный административный округ";"район Бирюлёво Восточное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"(495) 327-19-41";"scheu877.mskobr.ru";"sch877@sinergi.ru";"37,665794";"55,59358";"86890265";
6;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным русским компонентом  образования № 1148 имени Ф.М.Достоевского";"109387, г. Москва, ул. Краснодонская д.2, кор.4";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"350-56-88";"schuve1148.mskobr.ru";"sch1148@uvuo.ru";"37,751076";"55,686548";"86899644";
7;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным татарским компонентом образования № 1186 имени Мусы Джалиля";"109559, г. Москва, ул. Белореченская, д. 19, корп. 2";"Юго-Восточный административный округ";"район Люблино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"359-57-47";"schuve1186.mskobr.ru/";"infotatschool@yandex.ru";"37,767612";"55,671987";"86899645";
8;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным корейским компонентом образования № 1086";"117279, г.Москва, ул.Введенского, д.32-А";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"420-23-66";"http://scheuz1086.mskobr.ru/";"koreanschl@mosuzedu.ru";"37,528347";"55,635173";"86899757";
9;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования № 1107";"117593, г.Москва, Соловьиный проезд, дом 4, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"426-95-11";"http://scheuz1107.mskobr.ru/";"gou1107@mail.ru";"37,547978";"55,615021";"86899763";
10;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (грузинским) компонентом образования № 1331";"121002 г.Москва, Сивцев Вражек пер., д.18";"Центральный административный округ";"район Арбат";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"(499) 978-97-58; (499) 973-56-55; (499) 978-70-58";"schec1331.mskobr.ru";"school1331@rambler.ru";"37,594666";"55,747715";"86904112";
11;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (еврейским) компонентом образования № 1621";"107078 Москва, Малый Козловский пер., д.3";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"624-01-58";"schec1621.mskobr.ru";"1621sch@couo.ru";"37,653486";"55,766594";"86904119";
12;"Государственное бюджетное образовательное учреждение города Москвы средняя  общеобразовательная  школа с этнокультурным (национальным) компонентом образования №1650";"109240, г. Москва, ул. Солянка, дом 14А";"Центральный административный округ";"Таганский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"(495) 623-74-93; (495) 625-12-02; (495) 623-13-95";"schec1650.mskobr.ru";"sch-arakelyan@narod.ru";"37,637364";"55,75233";"86904120";
13;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным(еврейским)компонентом образования № 1871";"101000 г. Москва, ул. Мясницкая, д.40";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"730-87-51";"schec1871.mskobr.ru";"at1871ku@yahoo.ru";"37,641398";"55,766798";"86904123";
14;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным русским компонентом образования № 1316";"127221, г. Москва, улица Молодцова, дом 4, строение 1";"Северо-Восточный административный округ";"район Северное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"(495) 477-00-72; (495) 477-31-10; (495) 477-45-41";"schn1316.svao.mskobr..ru";"schn1316@mail.ru";"37,642249";"55,880273";"86907888";
15;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным  (русским) компонентом образования № 1022";"111621, г.Москва, Муромская ул., д.1А";"Восточный административный округ";"район Косино-Ухтомский";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"700-00-80";"schev1022.mskobr.ru";"hand2007@rambler.ru";"37,852625";"55,71343";"86914828";
16;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным русским компонентом образования № 141";"123308,  г. Москва, ул. Зорге, д. 4";"Северный административный округ";"Хорошёвский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"(499) 943-07-88";"schse141.mskobr.ru";"school-141@mail.ru";"37,514085";"55,778896";"86930464";
