ROWNUM;name;adress;okryg;rayon;org_prav_forma;podchinenie;tip_ychregdenia;vid_ychregdenia;telefon;sait;email;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1434";"119607 г.Москва, ул Раменки д.15 к1";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 932-00-00; (495) 932-08-01";"co1434.mskzapad.ru";"coe1434@mail.ru";"37,500362";"55,69076";"86660709";
2;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1816";"121096 г. Москва, ул. Кастанаевская, д. 9А";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 144-37-82";"co1816.mskzapad.ru";"gou1816@rambler.ru";"37,491154";"55,735511";"86660727";
3;"Частное учреждение ""Православный центр образования Святителя Николая Чудотворца""";"117403 г. Москва, Булатниковский пр., д. 16, к. 3";"Южный административный округ";"район Бирюлёво Западное";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(495) 383-89-56";"noupcosnch.mskobr.ru";"revdimitri@inbox.ru";"37,657325";"55,578072";"86887462";
4;"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""";"115582 г.Москва, ул. Домодедовская д35, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"393-43-81";"cou548.mskobr.ru";"sch548@sinergi.ru";"37,702347";"55,623761";"86887505";
5;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 936";"115682 г. Москва, Задонский пр. д.34,к.3";"Южный административный округ";"район Зябликово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"395-92-64";"cou936.mskobr.ru";"sch936@sinergi.ru";"37,754942";"55,620614";"86887538";
6;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 975";"115408 Москва, ул. Алма-Атиинская д.9,к.3";"Южный административный округ";"район Братеево";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"341-86-83";"cou975.mskobr.ru";"sch975@sinergi.ru";"37,774136";"55,639744";"86887544";
7;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1862";"117452 г. Москва, ул. Черноморский бульвар д.6";"Южный административный округ";"Нагорный район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 610-77-66";"cou1862.mskobr.ru";"sch1862@sinergi.ru";"37,614265";"55,646502";"86887580";
8;"Автономная некоммерческая организация Центр образования ""Знак""";"127576 Москва ул. Абрамцевская д.6а";"Северо-Восточный административный округ";"район Лианозово";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(499) 200-05-08";"nouznak.mskobr.ru";"lic@bk.ru";"37,575491";"55,893846";"86887613";
9;"Некоммерческое партнерство Центр образования Лицей ""Столичный""";"115470, г. Москва, ул. Кленовый бульвар, д.6, корпус 2, строение 1";"Южный административный округ";"район Чертаново Центральное";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(495) 313-49-79,(495) 315-31-56";"noustolichnyj.mskobr.ru";"lycee@lstol.ru";"37,588365";"55,616705";"86887615";
10;"Частное учреждение Центр образования ""Личность""";"";"Юго-Восточный административный округ";"Рязанский район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(495) 371-55-92,(495) 371-59-00,(495) 643-89-60";"noulichnost.mskobr.ru";"info@school-lichnost.ru";"37,789439";"55,719402";"86887628";
11;"Негосударственное образовательное учреждение Средняя общеобразовательная школа Образовательный центр ОАО ""Газпром""";"";"Юго-Западный административный округ";"район Черёмушки";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(495) 719-17-10";"nougazprom.mskobr.ru";"ocgaz@mail.ru";"37,558987";"55,662815";"86887640";
12;"Автономная некоммерческая организация образовательный центр ""ЭОС""";"";"Восточный административный округ";"район Ивановское";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"305-77-22,304-73-86";"noueos.mskobr.ru";"eos-center@yandex.ru";"37,806119";"55,75925";"86887648";
13;"Частное учреждение Центр образования ""Школа Ретро""";"107370 Москва 4-я Гражданская ул., д.43, к.8";"Восточный административный округ";"район Богородское";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(499) 160-86-25,(495) 646-95-94";"";"retro@retro-school.com";"37,722008";"55,807493";"86887649";
14;"Некоммерческое образовательное учреждение ""Центр ЮССТ""";"";"Западный административный округ";"Можайский район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"446-34-78,(495) 970-06-89";"";"info@usst.ru";"37,440425";"55,715802";"86887666";
15;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 825";"109125, г. Москва, ул. Окская, д. 16, корп. 3";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 177-62-77";"cog825.mskobr.ru";"sch_825@gor.educom.ru";"37,757253";"55,710975";"86887669";
16;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1329";"119602, г. Москва, ул. Никулинская, д.10";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"651-33-97";"co1329.mskzapad.ru/";"info@sch1329.ru";"37,464914";"55,668921";"86887711";
17;"Негосударственное образовательное учреждение образовательный центр ""Солнечный ветер""";"";"Юго-Западный административный округ";"район Тёплый Стан";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"500-82-59,338-25-55";"";"sunnywind@mtu-net.ru";"37,476879";"55,632324";"86887725";
18;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1433";"115573 г. Москва, Шипиловская, ул., д.46 корп.3";"Южный административный округ";"район Зябликово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 390-02-28; (495) 390-34-50; (495) 393-01-02";"cou1433.mskobr.ru/";"sch1433@sinergi.ru";"37,735904";"55,61952";"86887746";
19;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1861 ""Загорье""";"115598 Москва, Загорьевский пр., 13";"Южный административный округ";"район Бирюлёво Восточное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"392-71-22";"cou1861.mskobr.ru";"sch1861@sinergi.ru";"37,680195";"55,578116";"86887747";
