ROWNUM;name;UID;okryg;rayon;org_prav_forma;podchinenie;tip_ychregdenia;vid_ychregdenia;telefon;sait;email;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 379";"121609 г.Москва, ул. Крылатские холмы, д.13";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"413-27-75";"shnd379.mskzapad.ru";"shnd379@mail.ru";"37,41927";"55,750467";"86660664";
2;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 542";"119602 г.Москва, ул.Покрышкина, д. 9";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 792-08-51";"shnd542.mskzapad.ru";"school542@mail.ru";"37,466571";"55,663692";"86660668";
3;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 1975";"119634 г.Москва, ул. Шолохова, д.9, корп.3";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"732-96-80";"http://shnd1975.mskzapad.ru/";"sch1975@bk.ru";"37,344631";"55,637714";"86660726";
4;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" №196";"119334 г. Москва, 5-ый  Донской пр-д, д.21А, корп.29";"Южный административный округ";"Донской район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(495) 954-47-47; (495) 954-41-75; (495) 954-52-02";"schdu196.mskobr.ru/";"sch196@sinergi.ru";"37,601589";"55,701507";"86887758";
5;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 370";"119449, г. Москва, улица Винокурова, дом 3Б";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 126-75-23";"http://schnuz370.mskobr.ru";"sch370@mosuzedu.ru";"37,584526";"55,69028";"86899674";
6;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа надомного обучения» № 265";"127562, г. Москва, Алтуфьевское шоссе, д. 24 А";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 201-01-01";"scnd265.svao.mskobr.ru";"sch2651@yandex.ru";"37,587372";"55,86175";"86907911";
7;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 388";"127349, город Москва, Шенкурский проезд, дом 9";"Северо-Восточный административный округ";"район Бибирево";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"909-15-98";"shnd388.svao.mskobr.ru";"sch388@yandex.ru";"37,590199";"55,893836";"86907912";
8;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 410";"129226, г. Москва, ул. Докукина, д. 5 А";"Северо-Восточный административный округ";"район Ростокино";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 187-89-97";"shnd410sv.mskobr.ru/";"sch410@yandex.ru";"37,653366";"55,837363";"86907913";
9;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 367";"124527, г. Москва, Зеленоград, корп. 864";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 729-81-82";"schzg367.mskobr.ru";"s367@zou.ru";"37,202688";"55,973131";"86911319";
10;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 334";"105425, г. Москва, ул. 7-я Парковая, д.33, кор.5";"Восточный административный округ";"район Северное Измайлово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 164-57-59";"schv334.mskobr.ru";"nadom334@yandex.ru";"37,792679";"55,804911";"86914845";
