ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат ""Навигацкая школа""";"121108 г.Москва, ул. Кастанаевская, д. 59, корп.1";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"(499) 144-07-63";"kdsch.mskzapad.ru";"navy-school@mail.ru";"37,456259";"55,731252";"86887467";
2;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 69 ""Второй Московский кадетский корпус"" (МЧС)";"119421, г.Москва, Ленинский проспект, дом 97, корпус 4";"Юго-Западный административный округ";"Обручевский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"(499) 132-89-69";"http://schkuz69.mskobr.ru/";"2mckk@mail.ru";"37,523108";"55,670405";"86887709";
3;"Государственное бюджетное образовательное учреждение города Москвы Кадетская школа-интернат № 11 ""Московский дипломатический кадетский корпус""";"121552, г.Москва, ул.Оршанская, д. 14, строения 1,2,3";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"141-45-01";"mdkk11.mskzapad.ru";"schin38@gmail.com";"37,408298";"55,741723";"86890288";
4;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 5 ""Преображенский кадетский корпус""";"107150, г. Москва, ул. Лосиноостровская, д.22а";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"160-85-53";"kadv5.mskobr.ru";"kk-5@ya.ru";"37,709933";"55,825264";"86893896";
5;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 7 ""Московский казачий кадетский корпус"" имени М.А. Шолохова";"109462, г. Москва, ул. Маршала Чуйкова, д. 28";"Юго-Восточный административный округ";"район Кузьминки";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"(499) 175-32-83";"schuvi7.mskobr.ru";"info@moskadet.ru";"37,757892";"55,696666";"86899773";
6;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат № 9 ""Московский пансион государственных воспитанниц""";"109263 г. Москва, Волжский бульвар, дом 52/29";"Юго-Восточный административный округ";"район Текстильщики";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"179-41-10";"schuvk9.mskobr.ru";"mpgvkk9@yandex.ru";"37,752816";"55,694461";"86899774";
7;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 8 ""Московский кадетский корпус юстиции""";"123154, г. Москва, ул. Маршала Тухачевского, д. 46";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"(499) 199-01-37";"schisz8.mskobr.ru";"mkk8@szouo.ru";"37,465912";"55,786374";"86904048";
8;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 6 ""Московский Георгиевский кадетский корпус""";"127276, г. Москва, ул. Малая Ботаническая, д. 24б";"Северо-Восточный административный округ";"район Марфино";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"619-94-30";"kdsch6sv.mskobr.ru";"mgkk@mail.ru";"37,583278";"55,83256";"86907939";
9;"Государственное бюджетное образовательное учреждение города Москвы Кадетская школа-интернат № 1 ""Первый Московский кадетский корпус""";"127206, город Москва, улица Вучетича, д. 30, строение 1";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"611-29-43";"kdsch1s.mskobr.ru";"mkkorpus1@yandex.ru";"37,559172";"55,815073";"86930585";
10;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат № 10 ""Московский кадетский корпус полиции""";"125183, г. Москва, 4-й Новомихалковский проезд, дом № 14, строение № 3";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"153-81-91";"";"secretary@moscadet.ru";"37,544785";"55,844621";"86930586";
11;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат № 9 ""Московский пансион государственных воспитанниц""";"109263 г. Москва, Волжский бульвар, дом 52/29";"Юго-Восточный административный округ";"район Текстильщики";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"179-41-10";"schuvk9.mskobr.ru";"mpgvkk9@yandex.ru";"37,750947";"55,695691";"87028735";
12;"Государственное бюджетное образовательное учреждение города Москвы кадетская школа - интернат № 9 ""Московский пансион государственных воспитанниц""";"109263 г. Москва, Волжский бульвар, дом 52/29";"Юго-Восточный административный округ";"район Текстильщики";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Кадетская школа-интернат";"179-41-10";"schuvk9.mskobr.ru";"mpgvkk9@yandex.ru";"37,751793";"55,695761";"87028736";
