ROWNUM;name;adress;okryg;rayon;org_prav_forma;podchinenie;tip_ychregdenia;vid_ychregdenia;telefon;sait;email;X;Y;global_id;
1;"Негосударственное образовательное учреждение средняя общеобразовательная школа ""Гармония""";"124498 Москва, Зеленоград, корпус 421 ""А""";"Зеленоградский административный округ";"район Матушкино";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 734-27-59";"";"shkolagarmonia@mail.ru";"37,205531";"55,997156";"86660639";
2;"Некоммерческое партнерство Международная школа ""Глобус"" (НП МШ ""Глобус"")";"г. Москва, г. Зеленоград, корп. 430А";"Зеленоградский административный округ";"район Матушкино";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 735-03-85";"";"sch-globus@mail.ru";"37,20909";"55,994797";"86660641";
3;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 37";"119192, г. Москва, ул. Столетова, д. 3";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 739-35-28";"http://sch37.mskzapad.ru";"sch37@list.ru";"37,504043";"55,703341";"86660645";
4;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 38";"119192 г.Москва, Мичуринский проспект, д. 42";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"931-54-00";"sch38.mskzapad.ru";"sch_38@inbox.ru";"37,49003";"55,696974";"86660646";
5;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 41";"119027 г.Москва, ул Большая Внуковская, д. 4";"Западный административный округ";"район Внуково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"436-24-50";"ds2569.mskzapad.ru";"shk4155@yandex.ru";"37,294653";"55,614268";"86660647";
6;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 65";"121354,г.Москва, ул.Кутузова, д.20";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"447-12-57";"sch65.mskzapad.ru";"school65.05@mail.ru";"37,414445";"55,722811";"86660651";
7;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 261";"121108 г.Москва, ул. Кастанаевская, д. 29, корпус 1";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"144-59-42";"";"sch261@sch261.edu.ru";"37,48004";"55,73503";"86660661";
8;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 737";"121309 Москва,ул. Новозаводская д. 19";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 148-54-42; (499) 148-36-61; (499) 148-14-47; (499) 148-35-27";"sch737.mskzapad.ru";"MoscowSchool737@yandex.ru";"37,504302";"55,752146";"86660680";
9;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 811";"121353, г.Москва, ул.Беловежская, д.7";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 446-23-94";"sch811.mskzapad.ru";"school811@mail.ru";"37,399562";"55,711761";"86660687";
10;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1000";"119619 г. Москва, ул.Наро-Фоминская, д.1";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 435-14-23; (495) 435-04-68; (495) 435-08-18; (495) 439-10-33";"sch1000.mskzapad.ru";"school1000@mail.ru";"37,412584";"55,654444";"86660692";
