ROWNUM;name;UID;okryg;rayon;org_prav_forma;podchinenie;tip_ychregdenia;vid_ychregdenia;telefon;sait;email;X;Y;global_id;
1;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования № 42";"125057, г. Москва, улица Острякова, д. 15 А";"Северный административный округ";"Хорошёвский район";"Государственное";"Северное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат среднего (полного)  общего образования";"157-56-66";"schsi42.mskobr.ru";"sch-int42@narod.ru";"37,523251";"55,798554";"86887469";
2;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования с углубленным изучением физической культуры № 33";"127273, г.Москва, ул. Березовая аллея, д. 15Б";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат среднего (полного)  общего образования";"402-02-15";"schi33sv.mskobr.ru";"Sch-i33@yandex.ru";"37,615676";"55,850937";"86887474";
3;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования с углубленным изучением китайского языка № 11";"123423, г. Москва, Карамышевская наб., д. 38";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная школа-интернат среднего (полного) общего образования  с углубленным изучением отдельных предметов";"(499) 199-64-21; (499) 199-27-16";"schisz11.mskobr.ru";"sch11@szouo.ru";"37,471637";"55,7696";"86887475";
4;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования с углубленным изучением отдельных предметов № 19";"117418, г. Москва, ул. Новочеремушкинская, д. 48";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная школа-интернат среднего (полного) общего образования  с углубленным изучением отдельных предметов";"(499) 128-08-45";"http://schuzu19.mskobr.ru/";"hindy19@front.ru";"37,566931";"55,672659";"86907809";
5;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования № 56 ""Московская международная школа-интернат""";"117418, Москва, ул. Новочеремушкинская, д.48 строение 2";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат среднего (полного)  общего образования";"135-12-61";"";"mischool@mail.ru";"37,574532";"55,702879";"86907810";
6;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования № 58";"119313, Москва, ул. Вавилова, д. 84, кор. 2";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат среднего (полного)  общего образования";"134-15-20";"";"www.schiuz58.mskobr.ru";"37,539632";"55,67846";"86907811";
7;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования с углубленным изучением предметной области ""Искусство"" № 61";"117418, г. Москва, ул. Цюрупы, дом 10, корп. 1,2,4";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная школа-интернат среднего (полного) общего образования  с углубленным изучением отдельных предметов";"120-00-98";"http://schiuz61.mskobr.ru";"int61@mosuzedu.ru";"37,575678";"55,669728";"86907812";
8;"Государственное бюджетное образовательное учреждение города Москвы школа-интернат среднего (полного) общего образования ""Интеллектуал""";"121357, г. Москва, ул. Кременчугская д. 13";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат среднего (полного)  общего образования";"445-52-10";"schigi.mskobr.ru";"Sch_intelekt@gor.educom.ru";"37,46448";"55,718199";"86914937";
9;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа - интернат среднего (полного) общего образования с углубленным изучением отдельных предметов № 16";"129223 Мира проспект, д. 123";"Северо-Восточный административный округ";"Останкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная школа-интернат среднего (полного) общего образования  с углубленным изучением отдельных предметов";"(495) 682-62-34";"schisv16.mskobr.ru";"sch-int16@yandex.ru";"37,643429";"55,825236";"86914940";
10;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат основного общего образования № 95";"117452, г. Москва, Симферопольский бульвар, д. 20";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат основного  общего образования";"310-57-00";"http://schu95.mskobr.ru/";"sch95@mosuzedu.ru";"37,604138";"55,649906";"86930772";
11;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования № 58";"119313, Москва, ул. Вавилова, д. 84, кор. 2";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат среднего (полного)  общего образования";"134-15-20";"";"www.schiuz58.mskobr.ru";"37,540109";"55,678081";"87013780";
12;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования № 58";"119313, Москва, ул. Вавилова, д. 84, кор. 2";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат среднего (полного)  общего образования";"134-15-20";"";"www.schiuz58.mskobr.ru";"37,540539";"55,678404";"87013781";
13;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования № 58";"119313, Москва, ул. Вавилова, д. 84, кор. 2";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат среднего (полного)  общего образования";"134-15-20";"";"www.schiuz58.mskobr.ru";"37,538574";"55,677951";"87013782";
14;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования № 58";"119313, Москва, ул. Вавилова, д. 84, кор. 2";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат среднего (полного)  общего образования";"134-15-20";"";"www.schiuz58.mskobr.ru";"37,540653";"55,678744";"87013783";
15;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования с углубленным изучением отдельных предметов № 19";"117418, г. Москва, ул. Новочеремушкинская, д. 48";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная школа-интернат среднего (полного) общего образования  с углубленным изучением отдельных предметов";"(499) 128-08-45";"http://schuzu19.mskobr.ru/";"hindy19@front.ru";"37,566187";"55,672513";"87028943";
16;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования с углубленным изучением отдельных предметов № 19";"117418, г. Москва, ул. Новочеремушкинская, д. 48";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная школа-интернат среднего (полного) общего образования  с углубленным изучением отдельных предметов";"(499) 128-08-45";"http://schuzu19.mskobr.ru/";"hindy19@front.ru";"37,567513";"55,672796";"87028944";
17;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат основного общего образования № 95";"117452, г. Москва, Симферопольский бульвар, д. 20";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат основного  общего образования";"310-57-00";"http://schu95.mskobr.ru/";"sch95@mosuzedu.ru";"37,603104";"55,649352";"87029126";
18;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат основного общего образования № 95";"117452, г. Москва, Симферопольский бульвар, д. 20";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат основного  общего образования";"310-57-00";"http://schu95.mskobr.ru/";"sch95@mosuzedu.ru";"37,603709";"55,649669";"87029127";
19;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат основного общего образования № 95";"117452, г. Москва, Симферопольский бульвар, д. 20";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат основного  общего образования";"310-57-00";"http://schu95.mskobr.ru/";"sch95@mosuzedu.ru";"37,604423";"55,649362";"87029128";
20;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования с углубленным изучением предметной области ""Искусство"" № 61";"117418, г. Москва, ул. Цюрупы, дом 10, корп. 1,2,4";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная школа-интернат среднего (полного) общего образования  с углубленным изучением отдельных предметов";"120-00-98";"http://schiuz61.mskobr.ru";"int61@mosuzedu.ru";"37,57667";"55,669738";"87029899";
21;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования с углубленным изучением предметной области ""Искусство"" № 61";"117418, г. Москва, ул. Цюрупы, дом 10, корп. 1,2,4";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная школа-интернат среднего (полного) общего образования  с углубленным изучением отдельных предметов";"120-00-98";"http://schiuz61.mskobr.ru";"int61@mosuzedu.ru";"37,575892";"55,669277";"87029900";
22;"Государственное бюджетное образовательное учреждение города Москвы общеобразовательная школа-интернат среднего (полного) общего образования № 56 ""Московская международная школа-интернат""";"117418, Москва, ул. Новочеремушкинская, д.48 строение 2";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательная школа-интернат";"Общеобразовательная  школа-интернат среднего (полного)  общего образования";"135-12-61";"";"mischool@mail.ru";"37,567137";"55,672191";"87029972";
