"OBJECTID";"OPL_G";"DISTRICT_ID";"POPUL";"STUDENTS";"ID_1";"ADDRESS_1";"DISTRICT_1";"POINT_X_1";"POINT_Y_1";"NEAR_FID_1";"NEAR_X_1";"NEAR_Y_1";"NEAR_DIST_1";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
10468;10212,000000;30;496,481717;42,873754;34449;"Москва, Рублёвское шоссе, д.12, корп.1";"Кунцево";37,438817;55,738737;147;2705423,003937;6501171,971857;781,711218;878,000000;1249,000000
15306;30432,000000;30;1479,527185;127,764796;34450;"Москва, Рублёвское шоссе, д.14, корп.1";"Кунцево";37,436462;55,739072;147;2705423,003937;6501171,971857;602,857301;880,000000;1254,000000
15312;24882,000000;30;1209,700164;104,463842;34451;"Москва, Рублёвское шоссе, д.14, корп.3";"Кунцево";37,438206;55,740004;147;2705423,003937;6501171,971857;706,451160;972,000000;1380,000000
15337;20983,000000;30;1020,140606;88,094397;34452;"Москва, Рублёвское шоссе, д.16, корп.1";"Кунцево";37,434370;55,740188;147;2705423,003937;6501171,971857;436,304886;561,000000;760,000000
15338;8459,000000;30;411,255272;35,514011;34453;"Москва, Рублёвское шоссе, д.16, корп.2";"Кунцево";37,434936;55,741271;147;2705423,003937;6501171,971857;495,233246;432,000000;623,000000
15339;17210,000000;30;836,706849;72,253947;34454;"Москва, Рублёвское шоссе, д.16, корп.3";"Кунцево";37,436031;55,740998;147;2705423,003937;6501171,971857;558,812172;477,000000;683,000000
15353;24384,000000;30;1185,488659;102,373054;34455;"Москва, Рублёвское шоссе, д.18, корп.1";"Кунцево";37,432231;55,741070;147;2705423,003937;6501171,971857;325,704882;454,000000;632,000000
15360;25615,000000;30;1245,336778;107,541247;34456;"Москва, Рублёвское шоссе, д.18, корп.3";"Кунцево";37,433677;55,742119;147;2705423,003937;6501171,971857;468,295250;395,000000;562,000000
15376;19017,000000;30;924,558638;79,840402;34457;"Москва, Рублёвское шоссе, д.20, корп.1";"Кунцево";37,429868;55,742433;149;2705252,264435;6501833,925538;311,374386;230,000000;318,000000
15378;25484,000000;30;1238,967888;106,991261;34458;"Москва, Рублёвское шоссе, д.20, корп.3";"Кунцево";37,430964;55,743552;149;2705252,264435;6501833,925538;196,578220;112,000000;161,000000
15390;32450,000000;30;1577,637262;136,237106;34459;"Москва, Рублёвское шоссе, д.22, корп.1";"Кунцево";37,427838;55,743193;149;2705252,264435;6501833,925538;245,426422;302,000000;423,000000
15413;6339,000000;30;308,186212;26,613467;34460;"Москва, Рублёвское шоссе, д.24, корп.1";"Кунцево";37,426715;55,744115;148;2705144,940642;6501856,301448;195,245928;190,000000;267,000000
15417;33319,000000;30;1619,885853;139,885490;34461;"Москва, Рублёвское шоссе, д.24, корп.2";"Кунцево";37,428207;55,744722;148;2705144,940642;6501856,301448;84,344070;173,000000;244,000000
15435;25865,000000;30;1257,491148;108,590840;34462;"Москва, Рублёвское шоссе, д.26, корп.1";"Кунцево";37,426294;55,745787;148;2705144,940642;6501856,301448;203,095871;270,000000;358,000000
15438;20376,000000;30;990,629795;85,545987;34463;"Москва, Рублёвское шоссе, д.26, корп.4";"Кунцево";37,427748;55,746507;148;2705144,940642;6501856,301448;178,280738;181,000000;226,000000
