"OBJECTID";"OPL_G";"DISTRICT_ID";"POPUL";"STUDENTS";"ID_1";"ADDRESS_1";"DISTRICT_1";"POINT_X_1";"POINT_Y_1";"NEAR_FID_1";"NEAR_X_1";"NEAR_Y_1";"NEAR_DIST_1";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
363;20263,000000;22;1060,329849;87,951726;14688;"Москва, Академика Варги ул, д.1";"Тёплый Стан";37,479906;55,630944;354;2715241,241027;6489779,624253;347,480948;452,000000;608,000000
364;0,000000;22;0,000000;0,000000;15289;"Москва, Академика Виноградова ул, д.1";"Тёплый Стан";37,483220;55,631940;1742;2715500,401789;6490173,737530;338,871907;347,000000;460,000000
367;11836,000000;22;619,358638;51,374260;15290;"Москва, Академика Виноградова ул, д.1, корп.1";"Тёплый Стан";37,481442;55,632642;459;2714689,233644;6490251,757015;311,413673;312,000000;434,000000
369;29135,000000;22;1524,587186;126,460719;15277;"Москва, Академика Варги ул, д.2";"Тёплый Стан";37,476751;55,632586;459;2714689,233644;6490251,757015;107,849051;373,000000;513,000000
370;20005,000000;22;1046,829128;86,831875;14689;"Москва, Академика Варги ул, д.3";"Тёплый Стан";37,478127;55,629449;354;2715241,241027;6489779,624253;296,739595;500,000000;665,000000
372;11769,000000;22;615,852637;51,083446;15291;"Москва, Академика Виноградова ул, д.3, корп.1";"Тёплый Стан";37,483094;55,633617;459;2714689,233644;6490251,757015;390,020158;708,000000;951,000000
375;7254,000000;22;379,590027;31,486049;15285;"Москва, Академика Варги ул, д.4";"Тёплый Стан";37,477704;55,631111;459;2714689,233644;6490251,757015;289,197663;915,000000;1255,000000
377;15811,000000;22;827,363926;68,627782;14685;"Москва, Тёплый Стан ул, д.4, корп.1";"Тёплый Стан";37,488871;55,627320;1742;2715500,401789;6490173,737530;505,629819;594,000000;837,000000
378;4180,000000;22;218,732604;18,143326;14694;"Москва, Академика Виноградова ул, д.4, корп.1";"Тёплый Стан";37,486589;55,632479;1742;2715500,401789;6490173,737530;189,435754;117,000000;162,000000
379;4232,000000;22;221,453680;18,369032;14695;"Москва, Академика Виноградова ул, д.4, корп.2";"Тёплый Стан";37,486696;55,632169;1742;2715500,401789;6490173,737530;149,186794;85,000000;125,000000
5324;4226,000000;22;221,139709;18,342989;14696;"Москва, Академика Виноградова ул, д.4, корп.3";"Тёплый Стан";37,486086;55,631924;1742;2715500,401789;6490173,737530;152,747676;104,000000;150,000000
5325;22059,000000;22;1154,311609;95,747280;14690;"Москва, Академика Варги ул, д.5";"Тёплый Стан";37,475531;55,628646;354;2715241,241027;6489779,624253;439,663529;520,000000;719,000000
5332;7291,000000;22;381,526177;31,646648;15287;"Москва, Академика Варги ул, д.6";"Тёплый Стан";37,476411;55,630776;459;2714689,233644;6490251,757015;321,673871;859,000000;1174,000000
5333;14468,000000;22;757,086919;62,798479;14697;"Москва, Академика Виноградова ул, д.6";"Тёплый Стан";37,487936;55,632408;1742;2715500,401789;6490173,737530;153,160279;369,000000;497,000000
5335;7090,000000;22;371,008174;30,774206;14719;"Москва, Тёплый Стан ул, д.6";"Тёплый Стан";37,487065;55,627777;1742;2715500,401789;6490173,737530;413,643715;487,000000;684,000000
5343;7265,000000;22;380,165639;31,533795;15288;"Москва, Академика Варги ул, д.8";"Тёплый Стан";37,475018;55,630857;459;2714689,233644;6490251,757015;332,173433;805,000000;1097,000000
5344;7105,000000;22;371,793099;30,839313;14698;"Москва, Академика Виноградова ул, д.8";"Тёплый Стан";37,487317;55,633358;1742;2715500,401789;6490173,737530;277,459936;415,000000;557,000000
