"OBJECTID";"OPL_G";"DISTRICT_ID";"POPUL";"STUDENTS";"ID_1";"ADDRESS_1";"DISTRICT_1";"POINT_X_1";"POINT_Y_1";"NEAR_FID_1";"NEAR_X_1";"NEAR_Y_1";"NEAR_DIST_1";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
4760;8535,000000;141;618,292347;49,745018;27281;"Москва, Капотня, 4-й квартал, д.9";"Капотня";37,792581;55,636341;352;2736482,070108;6496551,699762;435,083754;452,000000;587,000000
4763;14093,000000;141;1020,924904;82,139021;27273;"Москва, Капотня, 4-й квартал, д.1";"Капотня";37,795223;55,634375;682;2736845,008268;6495716,910561;380,800062;368,000000;499,000000
4764;8672,000000;141;628,216900;50,543503;27282;"Москва, Капотня, 5-й квартал, д.1, стр.1";"Капотня";37,797990;55,629276;682;2736845,008268;6495716,910561;322,598113;294,000000;411,000000
4765;8460,000000;141;612,859199;49,307891;27283;"Москва, Капотня, 5-й квартал, д.1, стр.2";"Капотня";37,797145;55,628723;682;2736845,008268;6495716,910561;369,829860;356,000000;491,000000
4766;4256,000000;141;308,313091;24,805483;27284;"Москва, Капотня, 5-й квартал, д.1, стр.3";"Капотня";37,796525;55,628550;682;2736845,008268;6495716,910561;382,207105;381,000000;524,000000
4770;3654,000000;141;264,703015;21,296812;27274;"Москва, Капотня, 4-й квартал, д.2";"Капотня";37,794261;55,635371;352;2736482,070108;6496551,699762;468,172637;403,000000;562,000000
4771;5305,000000;141;384,304734;30,919428;27287;"Москва, Капотня, 5-й квартал, д.2";"Капотня";37,795510;55,628260;682;2736845,008268;6495716,910561;413,358594;474,000000;644,000000
4774;3483,000000;141;252,315436;20,300164;27275;"Москва, Капотня, 4-й квартал, д.3";"Капотня";37,794019;55,635923;352;2736482,070108;6496551,699762;416,496850;419,000000;565,000000
4775;5314,000000;141;384,956712;30,971883;27288;"Москва, Капотня, 5-й квартал, д.3";"Капотня";37,794990;55,628683;682;2736845,008268;6495716,910561;366,255949;539,000000;715,000000
4778;7121,000000;141;515,859380;41,503723;27276;"Москва, Капотня, 4-й квартал, д.4";"Капотня";37,794665;55,633525;682;2736845,008268;6495716,910561;306,899869;271,000000;352,000000
4779;5289,000000;141;383,145662;30,826174;27289;"Москва, Капотня, 5-й квартал, д.4";"Капотня";37,794505;55,629098;682;2736845,008268;6495716,910561;327,464087;505,000000;652,000000
9760;13054,000000;141;945,657681;76,083359;27290;"Москва, Капотня, 5-й квартал, д.5";"Капотня";37,794144;55,629714;682;2736845,008268;6495716,910561;276,515797;422,000000;542,000000
9762;3498,000000;141;253,402065;20,387589;24914;"Москва, Капотня, 3-й квартал, д.6";"Капотня";37,798429;55,636721;352;2736482,070108;6496551,699762;307,487606;220,000000;312,000000
9763;17454,000000;141;1264,402418;101,728125;27277;"Москва, Капотня, 4-й квартал, д.6";"Капотня";37,793103;55,634065;682;2736845,008268;6495716,910561;442,480172;347,000000;438,000000
9766;5284,000000;141;382,783452;30,797033;27279;"Москва, Капотня, 4-й квартал, д.7";"Капотня";37,792420;55,635193;352;2736482,070108;6496551,699762;539,001760;443,000000;571,000000
9769;5071,000000;141;367,353309;29,555593;27280;"Москва, Капотня, 4-й квартал, д.8";"Капотня";37,792348;55,635649;352;2736482,070108;6496551,699762;500,851566;439,000000;579,000000
9770;9812,000000;141;710,800763;57,187829;27291;"Москва, Капотня, 5-й квартал, д.8";"Капотня";37,795026;55,630425;682;2736845,008268;6495716,910561;179,618002;307,000000;403,000000
14712;5296,000000;141;383,652756;30,866973;27292;"Москва, Капотня, 5-й квартал, д.9";"Капотня";37,794154;55,631045;682;2736845,008268;6495716,910561;192,479469;294,000000;368,000000
14715;5321,000000;141;385,463805;31,012682;27286;"Москва, Капотня, 5-й квартал, д.10";"Капотня";37,794665;55,631670;682;2736845,008268;6495716,910561;157,404598;240,000000;297,000000
14725;12444,000000;141;901,468070;72,528062;27265;"Москва, Капотня, 3-й квартал, д.13";"Капотня";37,795556;55,635558;352;2736482,070108;6496551,699762;427,128409;387,000000;531,000000
19665;3626,000000;141;262,674640;21,133618;27266;"Москва, Капотня, 3-й квартал, д.15";"Капотня";37,796875;55,634725;682;2736845,008268;6495716,910561;381,978770;309,000000;437,000000
19667;3648,000000;141;264,268363;21,261842;27267;"Москва, Капотня, 3-й квартал, д.16";"Капотня";37,797064;55,634389;682;2736845,008268;6495716,910561;337,722780;235,000000;334,000000
19669;7140,000000;141;517,235777;41,614461;27268;"Москва, Капотня, 3-й квартал, д.17";"Капотня";37,798251;55,634246;682;2736845,008268;6495716,910561;316,923111;237,000000;342,000000
19670;7135,000000;141;516,873568;41,585320;27269;"Москва, Капотня, 3-й квартал, д.18";"Капотня";37,799418;55,634226;682;2736845,008268;6495716,910561;333,318386;243,000000;360,000000
19671;7071,000000;141;512,237280;41,212305;27270;"Москва, Капотня, 3-й квартал, д.19";"Капотня";37,800550;55,634231;682;2736845,008268;6495716,910561;369,396845;284,000000;426,000000
25165;7056,000000;141;511,150651;41,124880;27271;"Москва, Капотня, 3-й квартал, д.20";"Капотня";37,801718;55,634222;682;2736845,008268;6495716,910561;418,675922;327,000000;495,000000
25167;7168,000000;141;519,264153;41,777655;27272;"Москва, Капотня, 3-й квартал, д.21";"Капотня";37,802068;55,635116;682;2736845,008268;6495716,910561;505,982979;549,000000;782,000000
