ID;NAME;COMPLEX_ID;NUMB;TYPE
1251;Государственное бюджетное образовательное учреждение города Москвы гимназия №1257;348;1257;
1311;Государственное бюджетное образовательное учреждение города Москвы гимназия №1272;360;1272;
1805;Государственное бюджетное образовательное учреждение города Москвы гимназия №1274 имени В.В.Маяковского;496;1274;
2712;Государственное бюджетное образовательное учреждение города Москвы гимназия №1306;774;1306;
2422;Государственное бюджетное образовательное учреждение города Москвы гимназия №1504;691;1504;
2358;Государственное бюджетное образовательное учреждение города Москвы гимназия №1505 «Московская городская педагогическая гимназия-лаборатория»;674;1505;
2017;Государственное бюджетное образовательное учреждение города Москвы гимназия №1507;571;1507;
2377;Государственное бюджетное образовательное учреждение города Москвы гимназия №1508 «Измайловская»;679;1508;
2395;Государственное бюджетное образовательное учреждение города Москвы гимназия №1512;684;1512;
52;Государственное бюджетное образовательное учреждение города Москвы гимназия №1513 «Московская городская лингвистическая гимназия»;21;1513;
1997;Государственное бюджетное образовательное учреждение города Москвы гимназия №1514;565;1514;
455;Государственное бюджетное образовательное учреждение города Москвы гимназия №1515;130;1515;
217;Государственное бюджетное образовательное учреждение города Москвы гимназия №1517;55;1517;
980;Государственное бюджетное образовательное учреждение города Москвы гимназия №1518;278;1518;
439;Государственное бюджетное образовательное учреждение города Москвы гимназия №1519 ;124;1519;
164;Государственное бюджетное образовательное учреждение города Москвы гимназия №1521;43;1521;
2739;Государственное бюджетное образовательное учреждение города Москвы гимназия №1528;783;1528;
66;Государственное бюджетное образовательное учреждение города Москвы гимназия №1529 имени А.С. Грибоедова;25;1529;
770;Государственное бюджетное образовательное учреждение города Москвы гимназия №1531 «Лингвистическая»;226;1531;
1874;Государственное бюджетное образовательное учреждение города Москвы гимназия №1532;523;1532;
2101;Государственное бюджетное образовательное учреждение города Москвы гимназия №1534;588;1534;
1984;Государственное бюджетное образовательное учреждение города Москвы гимназия №1536;561;1536;
238;Государственное бюджетное образовательное учреждение города Москвы гимназия №1538 ;62;1538;
1039;Государственное бюджетное образовательное учреждение города Москвы гимназия №1539;294;1539;
140;Государственное бюджетное образовательное учреждение города Москвы гимназия №1540;37;1540;
2533;Государственное бюджетное образовательное учреждение города Москвы гимназия №1541;718;1541;
2726;Государственное бюджетное образовательное учреждение города Москвы гимназия №1542;779;1542;
379;Государственное бюджетное образовательное учреждение города Москвы гимназия №1544 ;107;1544;
413;Государственное бюджетное образовательное учреждение города Москвы гимназия №1549;117;1549;
289;Государственное бюджетное образовательное учреждение города Москвы гимназия №1551;79;1551;
1028;Государственное бюджетное образовательное учреждение города Москвы гимназия №1554;291;1554;
899;Государственное бюджетное образовательное учреждение города Москвы гимназия №1558 имени Росалии де Кастро;259;1558;
1557;Государственное бюджетное образовательное учреждение города Москвы гимназия №1562 имени Артёма Боровика;433;1562;
2345;Государственное бюджетное образовательное учреждение города Москвы гимназия №1563;669;1563;
1033;Государственное бюджетное образовательное учреждение города Москвы гимназия №1565 «Свиблово»;293;1565;
1659;Государственное бюджетное образовательное учреждение города Москвы гимназия №1566;459;1566;
564;Государственное бюджетное образовательное учреждение города Москвы гимназия №1570 ;175;1570;
952;Государственное бюджетное образовательное учреждение города Москвы гимназия №1572;269;1572;
809;Государственное бюджетное образовательное учреждение города Москвы гимназия №1573;238;1573;
574;Государственное бюджетное образовательное учреждение города Москвы гимназия №1576 ;177;1576;
818;Государственное бюджетное образовательное учреждение города Москвы гимназия №1577;240;1577;
1406;Государственное бюджетное образовательное учреждение города Москвы гимназия №1579;383;1579;
1410;Государственное бюджетное образовательное учреждение города Москвы гимназия №1582;384;1582;
543;Государственное бюджетное образовательное учреждение города Москвы гимназия №1583;169;1583;
2493;Государственное бюджетное образовательное учреждение города Москвы гимназия №1584;704;1584;
611;Государственное бюджетное образовательное учреждение города Москвы гимназия №1590 ;182;1590;
2626;Государственное бюджетное образовательное учреждение города Москвы гимназия №1593;745;1593;
1511;Государственное бюджетное образовательное учреждение города Москвы гимназия №1595;420;1595;
2666;Государственное бюджетное образовательное учреждение города Москвы гимназия №1596;759;1596;
1598;Государственное бюджетное образовательное учреждение города Москвы гимназия №1597 ;442;1597;
1483;Государственное бюджетное образовательное учреждение города Москвы гимназия №1599;415;1599;
1313;Государственное бюджетное образовательное учреждение города Москвы гимназия №1636 «НИКА»;361;1636;
2413;Государственное бюджетное образовательное учреждение города Москвы гимназия №1748 «Вертикаль»;689;1748;
1969;Государственное бюджетное образовательное учреждение города Москвы гимназия №1786;555;1786;
699;Государственное бюджетное образовательное учреждение города Москвы гимназия №201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских;202;201;
1837;Государственное бюджетное образовательное учреждение города Москвы гимназия №45 имени Л.И. Мильграма;505;45;
1902;Государственное бюджетное образовательное учреждение города Москвы гимназия №625;534;625;
870;Государственное бюджетное образовательное учреждение города Москвы Государственная столичная гимназия;250;;
440;Государственное бюджетное образовательное учреждение города Москвы кадетская школа №1721;124;1721;
1303;Государственное бюджетное образовательное учреждение города Москвы лицей №1158 ;359;1158;
166;Государственное бюджетное образовательное учреждение города Москвы лицей №1500 «Пушкинский»;44;1500;
1810;Государственное бюджетное образовательное учреждение города Москвы лицей №1524;497;1524;
2162;Государственное бюджетное образовательное учреждение города Москвы лицей №1533 (информационных технологий);605;1533;
925;Государственное бюджетное образовательное учреждение города Москвы лицей №1537 (информационных технологий);263;1537;
