"OBJECTID";"ID";"NAME";"NUMB";"WEBSITE";"TYPE";"OKRUG";"FOUNDATION";"SCHOOLS_COUNT"
1;934;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №555";555;"";"школа";"Центральный административный округ";"присоединение";1
2;823;"Государственное бюджетное образовательное учреждение города Москвы «Первый Московский Образовательный Комплекс»";0;"http://1-mok.mskobr.ru/";"образовательный комплекс";"Северо-Восточный административный округ";"слияние";2
3;737;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением естественных наук №1376 ";1376;"http://1376.mskobr.ru/";"школа";"Западный административный округ";"присоединение";1
4;768;"Государственное бюджетное образовательное учреждение города Москвы лицей №1586";1586;"http://1586.mskobr.ru/";"лицей";"Западный административный округ";"присоединение";2
5;837;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1798 «Феникс»";1798;"http://1798.mskobr.ru/";"гимназия";"Восточный административный округ";"слияние";3
6;832;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1811 «Восточное Измайлово»";1811;"http://1811.mskobr.ru/";"центр образования";"Восточный административный округ";"присоединение";6
7;867;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1973";1973;"http://1973.mskobr.ru/";"школа";"Западный административный округ";"присоединение";2
8;881;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2123 имени Мигеля Эрнандеса";2123;"http://2123.mskobr.ru/";"школа";"Центральный административный округ";"слияние";3
9;965;"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж Архитектуры, Дизайна и Реинжиниринга №26»";0;"http://26kadr.mskobr.ru/";"колледж";"Юго-Восточный административный округ";"присоединение";1
10;966;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №109";109;"http://co109.mskobr.ru/";"школа";"Юго-Западный административный округ";"слияние";4
11;741;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1437 ";1437;"http://co1437.mskobr.ru/";"школа";"Западный административный округ";"присоединение";1
12;298;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1499 имени Героя Советского Союза И.А. Докукина";1499;"http://co1499sv-new.mskobr.ru/";"школа";"Северо-Восточный административный округ";"слияние";3
13;869;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1619 имени М.И. Цветаевой";1619;"http://co1619.mskobr.ru/";"гимназия";"Северо-Западный административный округ";"слияние";3
14;958;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1685";1685;"http://co1685c.mskobr.ru/";"центр образования";"Центральный административный округ";"присоединение";1
15;959;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1816";1816;"http://co1816.mskobr.ru/";"центр образования";"Западный административный округ";"присоединение";1
16;825;"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №287 имени С.К.Годовикова";287;"http://co287sv.mskobr.ru/";"школа";"Северо-Восточный административный округ";"слияние";2
17;302;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №953";953;"http://co953sv.mskobr.ru/";"школа";"Северо-Восточный административный округ";"слияние";2
18;883;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1239";1239;"http://coc1239.mskobr.ru/";"школа";"Центральный административный округ";"слияние";1
19;50;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2030 ";2030;"http://coc2030.mskobr.ru/";"школа";"Центральный административный округ";"присоединение";1
20;8;"Государственное бюджетное образовательное учреждение города Москвы центр образования №57 «Пятьдесят седьмая школа»";57;"http://coc57.mskobr.ru/";"центр образования";"Центральный административный округ";"присоединение";3
21;657;"Государственное бюджетное образовательное учреждение города Москвы лицей №429 «Соколиная гора»";429;"http://cog429.mskobr.ru/";"лицей";"Восточный административный округ";"слияние";3
22;961;"Государственное бюджетное образовательное учреждение города Москвы центр образования №734 «Школа самоопределения»";734;"http://cog734.mskobr.ru/";"центр образования";"Восточный административный округ";"присоединение";1
23;856;"Государственное бюджетное образовательное учреждение города Москвы колледж №57 «Технический пожарно-спасательный колледж имени Героя Российской Федерации В.М. Максимчука»";57;"http://college57.mskobr.ru/";"колледж";"Юго-Западный административный округ";"";2
24;953;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1296";1296;"http://cos1296.mskobr.ru/";"центр образования";"Северный административный округ";"присоединение";1
25;211;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1601 имени Героя Советского Союза Е.К. Лютикова";1601;"http://cos1601.mskobr.ru/";"центр образования";"Северный административный округ";"присоединение";5
26;960;"Государственное бюджетное образовательное учреждение города Москвы центр образования №686 «Класс-центр»";686;"http://cos686.mskobr.ru/";"центр образования";"Северный административный округ";"присоединение";1
27;341;"Государственное бюджетное образовательное учреждение города Москвы лицей №1828 «Сабурово»";1828;"http://cou1828.mskobr.ru/";"лицей";"Южный административный округ";"слияние";1
28;855;"Государственное автономное образовательное учреждение города Москвы центр образования №548 «Царицыно»";548;"http://cou548.mskobr.ru/";"центр образования";"Южный административный округ";"";3
29;954;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1311 «Тхия»";1311;"http://couz1311.mskobr.ru/";"центр образования";"Юго-Западный административный округ";"присоединение";1
30;955;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1456";1456;"http://couz1456.mskobr.ru/";"центр образования";"Юго-Западный административный округ";"присоединение";1
31;956;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1483";1483;"http://cov1483.mskobr.ru/";"центр образования";"Восточный административный округ";"присоединение";1
32;957;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1602";1602;"http://cov1602.mskobr.ru/";"центр образования";"Восточный административный округ";"присоединение";1
