ID;ADDRESS
1;Москва, Мясницкая ул, д.30/2
2;Москва, Фурманный пер, д.16
3;Москва, Армянский пер, д.1/8, стр.1
4;Москва, Армянский пер, д.3, стр.11
5;Москва, Архангельский пер, д.11/16, стр.1
6;Москва, Архангельский пер, д.15, стр.3
7;Москва, Архангельский пер, д.17, стр.1
8;Москва, Архангельский пер, д.3, стр.1
9;Москва, Архангельский пер, д.5
10;Москва, Архангельский пер, д.7, стр.1
11;Москва, Архангельский пер, д.9
12;Москва, Большой Козловский пер, д.10, стр.1
13;Москва, Большой Козловский пер, д.11, стр.1
14;Москва, Большой Козловский пер, д.11, стр.2
15;Москва, Большой Козловский пер, д.12
16;Москва, Большой Козловский пер, д.3/2
17;Москва, Большой Козловский пер, д.6, стр.1
18;Москва, Большой Козловский пер, д.6, стр.1Б/Н
19;Москва, Большой Козловский пер, д.6, стр.2
20;Москва, Большой Козловский пер, д.6, стр.3
21;Москва, Большой Козловский пер, д.6, стр.8
22;Москва, Большой Козловский пер, д.7
23;Москва, Большой Козловский пер, д.8
24;Москва, Большой Харитоньевский пер, д.10
25;Москва, Большой Харитоньевский пер, д.12А
26;Москва, Большой Харитоньевский пер, д.14
27;Москва, Большой Харитоньевский пер, д.16-18
28;Москва, Большой Харитоньевский пер, д.20/2
29;Москва, Большой Харитоньевский пер, д.5-7, стр.1
30;Москва, Большой Харитоньевский пер, д.9
31;Москва, Гусятников пер, д.11
32;Москва, Гусятников пер, д.13/3
33;Москва, Гусятников пер, д.3/1, стр.1
34;Москва, Гусятников пер, д.4, стр.3
35;Москва, Гусятников пер, д.4, стр.4
36;Москва, Гусятников пер, д.9
37;Москва, Жуковского ул, д.1/2/10, стр.2
38;Москва, Жуковского ул, д.10, стр.1
39;Москва, Жуковского ул, д.10, стр.2
40;Москва, Жуковского ул, д.11
41;Москва, Жуковского ул, д.12, стр.1
42;Москва, Жуковского ул, д.12, стр.2
43;Москва, Жуковского ул, д.14, стр.1
44;Москва, Жуковского ул, д.16
